Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
IMR5_rep1_R1	50.2388574366	47.0	101.0	209780575.0	27.2727272727
IMR5_rep1_R2	49.5359897533	47.0	101.0	209780575.0	18.1818181818
IMR5_rep2_R1	22.5918584344	49.0	101.0	90273666.0	18.1818181818
IMR5_rep2_R2	22.1848151131	49.0	101.0	90273666.0	18.1818181818
SHEP_rep1_R1	47.9159417633	48.0	101.0	187394497.0	18.1818181818
SHEP_rep1_R2	47.1535701958	49.0	101.0	187394497.0	18.1818181818
SHEP_rep2_R1	45.9521688082	48.0	101.0	161673971.0	18.1818181818
SHEP_rep2_R2	45.141630367	48.0	101.0	161673971.0	18.1818181818
SKNAS_rep1_R1	43.6891025267	48.0	101.0	188200803.0	18.1818181818
SKNAS_rep1_R2	43.2403390019	48.0	101.0	188200803.0	18.1818181818
SKNAS_rep2_R1	37.3734555983	49.0	101.0	172539565.0	18.1818181818
SKNAS_rep2_R2	37.4218851173	48.0	101.0	172539565.0	18.1818181818
SY5Y_rep1_R1	51.4378547166	47.0	101.0	331040711.0	27.2727272727
SY5Y_rep1_R2	51.5991263449	47.0	101.0	331040711.0	27.2727272727
SY5Y_rep2_R1	53.7972456534	47.0	101.0	253380315.0	27.2727272727
SY5Y_rep2_R2	53.0967961233	48.0	101.0	253380315.0	27.2727272727
