Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
IMR5_rep1_R1_val_1	47.1393864558	46.0	84.5454229187	209040508.0	9.09090909091
IMR5_rep1_R2_val_2	46.4598795111	46.0	84.5145075614	209040508.0	9.09090909091
IMR5_rep2_R1_val_1	19.6116336698	49.0	84.9828359939	90053918.0	9.09090909091
IMR5_rep2_R2_val_2	19.2629484876	49.0	84.9725800714	90053918.0	9.09090909091
SHEP_rep1_R1_val_1	43.2266629028	48.0	84.0265532915	186883197.0	9.09090909091
SHEP_rep1_R2_val_2	42.4985618953	48.0	83.9987798796	186883197.0	9.09090909091
SHEP_rep2_R1_val_1	40.9728631776	48.0	83.0145723473	161202718.0	9.09090909091
SHEP_rep2_R2_val_2	40.265834081	48.0	82.9813493219	161202718.0	9.09090909091
SKNAS_rep1_R1_val_1	38.6527107842	48.0	83.7645678845	187645708.0	9.09090909091
SKNAS_rep1_R2_val_2	38.2670756936	48.0	83.7470120553	187645708.0	9.09090909091
SKNAS_rep2_R1_val_1	32.4115188159	48.0	82.2496320811	172015487.0	9.09090909091
SKNAS_rep2_R2_val_2	32.4761929338	48.0	82.228484741	172015487.0	9.09090909091
SY5Y_rep1_R1_val_1	47.7466772214	46.0	84.5105777661	329936772.0	9.09090909091
SY5Y_rep1_R2_val_2	47.9367856378	46.0	84.4802480155	329936772.0	9.09090909091
SY5Y_rep2_R1_val_1	50.6757856762	47.0	85.6713620255	252421316.0	18.1818181818
SY5Y_rep2_R2_val_2	49.9920399436	47.0	85.6339735349	252421316.0	9.09090909091
