.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR10215662_1	1	1	0.25	1	0.5	0.5	1	1	0.5	1	0.25
SRR10215662_2	1	0.25	0.5	1	0.5	1	1	1	0.5	1	0.25
SRR10215663_1	1	1	1	1	0.5	0.5	1	1	0.5	1	0.25
SRR10215663_2	1	0.25	1	1	0.5	1	1	1	0.5	1	0.25
SRR10215664_1	1	1	1	1	0.5	1	1	1	0.25	1	0.25
SRR10215664_2	1	0.25	1	1	0.5	1	1	1	0.25	1	0.25
SRR10215665_1	1	1	1	1	0.5	1	1	1	0.25	1	0.25
SRR10215665_2	1	0.25	0.5	1	0.5	1	1	1	0.25	1	0.25
SRR10215666_1	1	1	1	1	0.5	0.5	1	1	0.5	0.5	0.25
SRR10215666_2	1	0.25	1	1	0.5	1	1	1	0.5	1	0.25
SRR10215667_1	1	1	0.25	1	0.5	0.5	1	1	0.5	1	0.25
SRR10215667_2	1	0.25	0.5	1	0.5	1	1	1	0.5	1	0.25
SRR10215668_1	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
SRR10215668_2	1	0.25	0.5	1	0.25	0.5	1	1	0.25	1	0.25
SRR10215669_1	1	1	1	1	0.5	0.5	1	1	0.5	1	0.25
SRR10215669_2	1	0.25	1	1	0.25	1	1	1	0.5	1	0.25
SRR10215670_1	1	1	1	1	0.25	0.5	1	1	0.25	1	0.25
SRR10215670_2	1	0.25	1	1	0.25	0.5	1	1	0.25	1	0.25
SRR10215671_1	1	1	1	1	0.25	0.5	1	1	0.25	1	0.25
SRR10215671_2	1	1	1	1	0.25	0.5	1	1	0.25	1	0.25
SRR10215672_1	1	1	1	1	0.5	0.5	1	1	0.25	0.5	0.25
SRR10215672_2	1	1	1	1	0.25	1	1	1	0.25	0.5	0.25
SRR10215673_1	1	1	1	1	0.5	0.5	1	1	0.25	0.5	0.25
SRR10215673_2	1	1	0.5	1	0.25	1	1	1	0.25	0.5	0.25
SRR10215674_1	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
SRR10215674_2	1	0.25	0.5	1	0.25	1	1	1	0.25	1	0.25
SRR10215675_1	1	1	1	1	0.25	0.5	1	1	0.25	1	0.25
SRR10215675_2	1	0.25	1	1	0.25	0.5	1	1	0.25	1	0.25
SRR10215676_1	1	1	0	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR10215676_2	1	1	0	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR10215677_1	1	1	0	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR10215677_2	1	1	0	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR10215678_1	1	1	0.25	1	0.25	0.5	0.5	1	0.25	1	0.25
SRR10215678_2	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
SRR10215679_1	1	1	0.25	1	0.25	0.5	0.5	1	0.25	1	0.25
SRR10215679_2	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
SRR10215680_1	1	1	0	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR10215680_2	1	1	0	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR10215681_1	1	1	0	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR10215681_2	1	1	0	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR10215682_1	1	1	1	1	0.5	0.5	1	1	0.25	1	0.25
SRR10215682_2	1	0.25	1	1	0.5	1	1	1	0.25	1	0.25
SRR10215683_1	1	1	1	1	0.5	0.5	1	1	0.25	1	0.25
SRR10215683_2	1	1	1	1	0.5	0.5	1	1	0.25	1	0.25
SRR10215684_1	1	1	1	1	0.25	0.5	1	1	0.5	1	0.25
SRR10215684_2	1	0.25	1	1	0.25	0.5	1	1	0.5	1	0.25
SRR10215685_1	1	1	1	1	0.5	0.5	1	1	0.5	1	0.25
SRR10215685_2	1	0.25	1	1	0.25	0.5	1	1	0.5	1	0.25
SRR10215686_1	1	1	0.25	1	0.25	0.5	0.5	1	1	1	0.25
SRR10215686_2	1	1	0.25	1	0.25	0.5	1	1	1	1	0.25
SRR10215687_1	1	1	0.25	1	0.25	0.5	0.5	1	1	1	0.25
SRR10215687_2	1	1	0.25	1	0.25	0.5	1	1	1	1	0.25
SRR10215688_1	1	1	1	1	0.5	0.5	1	1	0.5	0.5	0.25
SRR10215688_2	1	1	1	1	0.5	0.5	1	1	0.5	0.5	0.25
SRR10215689_1	1	1	1	1	0.5	0.5	1	1	0.5	0.5	0.25
SRR10215689_2	1	0.25	0.5	1	0.5	0.5	1	1	0.5	1	0.25
