Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR10215662_1 - nextera_transposase_sequence	(1, 0.00771259842026067)	(2, 0.007816483861128092)	(3, 0.007830812887454634)	(4, 0.007934698328322056)	(5, 0.007940668755958114)	(6, 0.00795260961123023)	(7, 0.007976491321774465)	(8, 0.007984849920464948)	(9, 0.008039777854716688)	(10, 0.008125752012675935)	(12, 0.008187844460090944)	(14, 0.008273818618050191)	(16, 0.008331731766119961)	(18, 0.008518009108364992)	(20, 0.009032659970593255)	(22, 0.009703736036886257)	(24, 0.011130668241904295)	(26, 0.05514704894598369)	(28, 0.16629611207543468)	(30, 0.2588460990330355)	(32, 0.36113445050781173)	(34, 0.5377396999824291)	(36, 1.0262669560891169)	(38, 1.8613160410643625)	(40, 3.1134681563361255)	(42, 5.117171134964561)	(44, 7.053854869292712)	(46, 8.779514435867128)	(48, 10.12291140261525)	(50, 11.470208252695244)	(52, 13.3314801125951)	(54, 15.084986947749623)	(56, 16.556476454215566)	(58, 17.759094916604766)	(60, 18.872849534058872)	(62, 20.146438469757904)	(64, 21.490152466213498)	(66, 22.79056115989647)	(68, 23.950725105451184)	(70, 24.951168170886056)	(72, 26.057854996104595)	(74, 27.24295144746749)	(76, 28.32954658960516)	(78, 29.297288428791816)	(80, 30.17375078802182)	(82, 31.11117778088638)	(84, 32.07530034684005)	(86, 32.96673892675234)	(88, 33.75952932491957)
SRR10215662_2 - nextera_transposase_sequence	(1, 0.007543038275396602)	(2, 0.007644535545209601)	(3, 0.007655282314954506)	(4, 0.007752003242658657)	(5, 0.007754391413713081)	(6, 0.0077591677558219285)	(7, 0.00779499032163828)	(8, 0.007805737091383187)	(9, 0.007859470940107714)	(10, 0.00793828058490369)	(12, 0.007997387818500672)	(14, 0.008128140183730356)	(16, 0.008176500647582432)	(18, 0.008359792776009437)	(20, 0.008864890954020006)	(22, 0.009519249822932042)	(24, 0.010843490672609868)	(26, 0.054145808231416646)	(28, 0.16362016640895316)	(30, 0.2548811380399289)	(32, 0.355736586882051)	(34, 0.5303130850459357)	(36, 1.0127922979572959)	(38, 1.837679118053206)	(40, 3.076557778604483)	(42, 5.059866373470906)	(44, 6.9790854128780575)	(46, 8.690468492889131)	(48, 10.022427314372091)	(50, 11.35918277741786)	(52, 13.206185315267536)	(54, 14.943981567140533)	(56, 16.406592450668896)	(58, 17.60292524684285)	(60, 18.71332746917931)	(62, 19.98531633027188)	(64, 21.329502587553485)	(66, 22.62877152660073)	(68, 23.7872744991871)	(70, 24.78790145379316)	(72, 25.894381105172727)	(74, 27.07522362684493)	(76, 28.15801202432185)	(78, 29.123395544592256)	(80, 29.999600578391146)	(82, 30.936692033222563)	(84, 31.899502896224597)	(86, 32.79051459056091)	(88, 33.58248823422752)
SRR10215663_1 - nextera_transposase_sequence	(1, 0.01365668104798402)	(2, 0.01380481059178587)	(3, 0.013816315799071449)	(4, 0.013975950550158878)	(5, 0.01398170315380167)	(6, 0.013984579455623064)	(7, 0.014019095077479804)	(8, 0.014029162133854687)	(9, 0.014126956395782122)	(10, 0.014247041996825367)	(12, 0.014331892900556524)	(14, 0.014437596992492795)	(16, 0.014497999330742091)	(18, 0.014703654910971843)	(20, 0.015260219313411798)	(22, 0.0160267537488136)	(24, 0.01774534408709718)	(26, 0.06959140349319953)	(28, 0.19924142716803983)	(30, 0.30718256284590045)	(32, 0.4233693367702456)	(34, 0.6138811879103512)	(36, 1.1392736693609369)	(38, 2.0277726499708084)	(40, 3.37152477304109)	(42, 5.540388656256793)	(44, 7.585440689419633)	(46, 9.352419772320001)	(48, 10.683963432309373)	(50, 12.026764218552227)	(52, 13.934876241073901)	(54, 15.722586269351973)	(56, 17.18501748187484)	(58, 18.3517130937255)	(60, 19.413461081018923)	(62, 20.643297270452848)	(64, 21.93748208423503)	(66, 23.17345414452945)	(68, 24.24491036954553)	(70, 25.145461773862504)	(72, 26.14934863556583)	(74, 27.248250532561663)	(76, 28.25218341509413)	(78, 29.126771161944824)	(80, 29.908669363525604)	(82, 30.765033581111396)	(84, 31.663002066392757)	(86, 32.489746846897276)	(88, 33.2196451069245)
SRR10215663_2 - nextera_transposase_sequence	(1, 0.013436643958647293)	(2, 0.013584773502449143)	(3, 0.013593402407913327)	(4, 0.013764542366286337)	(5, 0.01377460942266122)	(6, 0.013781800177214708)	(7, 0.013820630251803542)	(8, 0.013832135459089123)	(9, 0.013929929721016556)	(10, 0.014044262718417012)	(12, 0.014123361018505379)	(14, 0.014294500976878387)	(16, 0.014357060541493731)	(18, 0.014541862933518368)	(20, 0.015068226166833674)	(22, 0.01581246926311966)	(24, 0.01740450232126186)	(26, 0.06806696352786012)	(28, 0.1946299962728881)	(30, 0.3002499563808829)	(32, 0.41403286105799697)	(34, 0.6013103107999438)	(36, 1.1200002899312236)	(38, 1.9989557010977062)	(40, 3.3311738538641933)	(42, 5.4857439551784735)	(44, 7.520637609383601)	(46, 9.282770842790374)	(48, 10.614924997841335)	(50, 11.962708976989758)	(52, 13.880420656840338)	(54, 15.677345637078705)	(56, 17.149810828505508)	(58, 18.327434230051107)	(60, 19.400726973780152)	(62, 20.645282637785066)	(64, 21.95989422802734)	(66, 23.217444304585868)	(68, 24.309627160526922)	(70, 25.22639084006019)	(72, 26.246730148181893)	(74, 27.362996998348947)	(76, 28.38085046262151)	(78, 29.26789115820793)	(80, 30.061210435246018)	(82, 30.929737095083578)	(84, 31.84194039807902)	(86, 32.682241908143226)	(88, 33.42478798635459)
SRR10215664_1 - nextera_transposase_sequence	(1, 0.019979012368501473)	(2, 0.02009503450769138)	(3, 0.02009503450769138)	(4, 0.0201775391400042)	(5, 0.02018269567952375)	(6, 0.020185273949283527)	(7, 0.02020590010736173)	(8, 0.020211056646881283)	(9, 0.02027035685135612)	(10, 0.020399270339344903)	(12, 0.020468883622858848)	(14, 0.020579749222529198)	(16, 0.020664832124601795)	(18, 0.020867226300744182)	(20, 0.021382880252699313)	(22, 0.022259491971023032)	(24, 0.024472936559790423)	(26, 0.12665234540945902)	(28, 0.39035906557419187)	(30, 0.6070652171530946)	(32, 0.77972678642575)	(34, 1.0670569032644273)	(36, 2.003791294116355)	(38, 3.7155058767662856)	(40, 6.0076856674577055)	(42, 8.889715568116198)	(44, 11.404643685568555)	(46, 13.864671415891129)	(48, 16.038065162210167)	(50, 18.09024413404311)	(52, 20.576095814279597)	(54, 22.831862701153707)	(56, 24.83541292704752)	(58, 26.65510157983222)	(60, 28.331248931146042)	(62, 30.04442152534513)	(64, 31.786733724369192)	(66, 33.50085898924452)	(68, 35.11795880651996)	(70, 36.54167034392391)	(72, 37.96988354032843)	(74, 39.45880209822687)	(76, 40.8557099432082)	(78, 42.166026598307454)	(80, 43.39154525014257)	(82, 44.631551199757865)	(84, 45.895987544481926)	(86, 47.09937432869913)	(88, 48.212568080179864)
SRR10215664_2 - nextera_transposase_sequence	(1, 0.019736655011082564)	(2, 0.019837207531713814)	(3, 0.01983978580147359)	(4, 0.019924868703546185)	(5, 0.01992744697330596)	(6, 0.019930025243065738)	(7, 0.019955807940663494)	(8, 0.019966121019702597)	(9, 0.020025421224177435)	(10, 0.020165936926085207)	(12, 0.02023812847935893)	(14, 0.020418607362543223)	(16, 0.020499822859976154)	(18, 0.02069834963147888)	(20, 0.021212714448554118)	(22, 0.02207127827855941)	(24, 0.024123581007340824)	(26, 0.12545473910604324)	(28, 0.3871259152954332)	(30, 0.6026318823011604)	(32, 0.7739888470753693)	(34, 1.06035984756341)	(36, 1.9982093400864405)	(38, 3.714227054965437)	(40, 6.016095983414094)	(42, 8.9152004755567)	(44, 11.451413499010886)	(46, 13.93707567642003)	(48, 16.138666669966852)	(50, 18.220623368390328)	(52, 20.743314656089368)	(54, 23.03180365361967)	(56, 25.066035289654813)	(58, 26.915869072470805)	(60, 28.620938164814916)	(62, 30.36720542965048)	(64, 32.14585189526419)	(66, 33.89932929148296)	(68, 35.55405508849769)	(70, 37.01325006347056)	(72, 38.47554927523419)	(74, 39.993116277568376)	(76, 41.4183038744098)	(78, 42.755627905242704)	(80, 44.00921875822226)	(82, 45.277232452238)	(84, 46.57196088836966)	(86, 47.80766757316053)	(88, 48.95238453985916)
SRR10215665_1 - nextera_transposase_sequence	(1, 0.019801649898811457)	(2, 0.01991219068728174)	(3, 0.01991219068728174)	(4, 0.01994683780008586)	(5, 0.019950137525114826)	(6, 0.019956736975172754)	(7, 0.019973235600317572)	(8, 0.019986434500433428)	(9, 0.020027681063295475)	(10, 0.020146471164338167)	(12, 0.020200916627316073)	(14, 0.02030733275950015)	(16, 0.02036507794750702)	(18, 0.020530889130212445)	(20, 0.020978001871637033)	(22, 0.021695692065436648)	(24, 0.023618606826065272)	(26, 0.11888496813727767)	(28, 0.35205756251522924)	(30, 0.5321870770525886)	(32, 0.6722967015074184)	(34, 0.8770223664106734)	(36, 1.547834191655058)	(38, 2.8284459263582873)	(40, 4.672657295458583)	(42, 7.253101663158756)	(44, 9.496667203476933)	(46, 11.668207995725403)	(48, 13.583729722426636)	(50, 15.415343566297604)	(52, 17.863631471794008)	(54, 20.08386878108867)	(56, 21.949196740511816)	(58, 23.647594910444717)	(60, 25.235373923437898)	(62, 26.93320124094079)	(64, 28.64943442465524)	(66, 30.255187039881186)	(68, 31.789531130686584)	(70, 33.066461197188744)	(72, 34.386372656986936)	(74, 35.74062847981783)	(76, 36.98399044360035)	(78, 38.14936588111708)	(80, 39.24558320668301)	(82, 40.3832244553313)	(84, 41.628027574020216)	(86, 42.898330142801704)	(88, 44.074712638083795)
SRR10215665_2 - nextera_transposase_sequence	(1, 0.019448579320712336)	(2, 0.01955582038415366)	(3, 0.01955912010918262)	(4, 0.019598716809530188)	(5, 0.01960201653455915)	(6, 0.019605316259588113)	(7, 0.01962016502221845)	(8, 0.019635013784848786)	(9, 0.019687809385312206)	(10, 0.019806599486354902)	(12, 0.01986516960561901)	(14, 0.019994683813005835)	(16, 0.02005820351981339)	(18, 0.020214940458689167)	(20, 0.02065215402502686)	(22, 0.021358295181225104)	(24, 0.0231698442221262)	(26, 0.11647204420984793)	(28, 0.3451693865172675)	(30, 0.5223976178229104)	(32, 0.6603846941528593)	(34, 0.8622791949812634)	(36, 1.526215218196545)	(38, 2.796125119699588)	(40, 4.631221823338628)	(42, 7.207669399097469)	(44, 9.4524145911135)	(46, 11.630786639103185)	(48, 13.556326330992349)	(50, 15.401987929242875)	(52, 17.868915981427897)	(54, 20.10665338241366)	(56, 21.986386291450753)	(58, 23.698257238676916)	(60, 25.298152841976446)	(62, 27.006938546300532)	(64, 28.73377374653304)	(66, 30.350450926398626)	(68, 31.895758353612756)	(70, 33.18309822765004)	(72, 34.51256734099462)	(74, 35.8744711015114)	(76, 37.124731965398226)	(78, 38.29804571640338)	(80, 39.405343518616576)	(82, 40.55686506059921)	(84, 41.81949246896332)	(86, 43.10654526692309)	(88, 44.29745232685143)
SRR10215666_1 - nextera_transposase_sequence	(1, 0.11736516126617837)	(2, 0.11838699906558123)	(3, 0.11839869391879328)	(4, 0.11925241820327293)	(5, 0.11926996048309099)	(6, 0.11931089246933317)	(7, 0.11949947197737748)	(8, 0.11956964109664978)	(9, 0.11996141867925345)	(10, 0.12039193546312203)	(12, 0.12089481415124018)	(14, 0.12218417171786869)	(16, 0.12237494401089025)	(18, 0.12286758970244785)	(20, 0.12416644933731114)	(22, 0.12582346385179347)	(24, 0.12978436444904962)	(26, 0.21088670961796424)	(28, 0.4068961040935495)	(30, 0.5608595775585122)	(32, 0.7348241737293835)	(34, 1.0825859834845284)	(36, 1.974093414979002)	(38, 3.2591487374821213)	(40, 4.961821420760938)	(42, 7.5569941362006)	(44, 9.98195264870883)	(46, 12.046239695372464)	(48, 13.60277568569848)	(50, 15.10231388518227)	(52, 17.187885564691832)	(54, 19.166547281706794)	(56, 20.72468035042458)	(58, 21.94967602332889)	(60, 23.054404018585462)	(62, 24.33262808495609)	(64, 25.673885948283022)	(66, 26.914605351330934)	(68, 27.96831308759328)	(70, 28.86808220195374)	(72, 29.86226752093671)	(74, 30.923204869269085)	(76, 31.881084978311897)	(78, 32.70592443721443)	(80, 33.43859821980945)	(82, 34.21387562172763)	(84, 35.024457592708025)	(86, 35.798759205311335)	(88, 36.478922366055926)
SRR10215666_2 - nextera_transposase_sequence	(1, 0.1149823349242232)	(2, 0.11598078301720197)	(3, 0.11600124901032305)	(4, 0.11685643515145419)	(5, 0.11687397743127227)	(6, 0.11691783313081745)	(7, 0.1171166456354223)	(8, 0.11718681475469461)	(9, 0.11756835934073774)	(10, 0.11799595241130331)	(12, 0.11848932903118667)	(14, 0.12039851381805382)	(16, 0.12059805725098441)	(18, 0.12109216479919352)	(20, 0.12238956257740531)	(22, 0.12403634409532709)	(24, 0.12729628442818602)	(26, 0.20779049723007403)	(28, 0.4028160621791955)	(30, 0.5563241672972141)	(32, 0.729913797236974)	(34, 1.0773898140167495)	(36, 1.9695185345881132)	(38, 3.2548676902781857)	(40, 4.960230920724099)	(42, 7.561601908366147)	(44, 9.993649694705857)	(46, 12.065136385378159)	(48, 13.629569325335613)	(50, 15.138015348325355)	(52, 17.236189694027555)	(54, 19.226059465989614)	(56, 20.79350090693587)	(58, 22.025794899172823)	(60, 23.13601362801245)	(62, 24.419381967939728)	(64, 25.766290638153055)	(66, 27.012018362089027)	(68, 28.06982002790392)	(70, 28.97340751183812)	(72, 29.97148356229907)	(74, 31.035857735619132)	(76, 31.99375538694176)	(78, 32.81865039639705)	(80, 33.551835828820096)	(82, 34.32735809172741)	(84, 35.138046778243364)	(86, 35.912050172089764)	(88, 36.59127701364906)
