Sample	Top overrepresented sequence
SRR10215662_1	0.0
SRR10215662_2	0.0
SRR10215663_1	0.0
SRR10215663_2	0.0
SRR10215664_1	0.0
SRR10215664_2	0.0
SRR10215665_1	0.0
SRR10215665_2	0.0
SRR10215666_1	0.10028190443667646
SRR10215666_2	0.0
SRR10215667_1	0.0
SRR10215667_2	0.0
SRR10215668_1	0.0
SRR10215668_2	0.0
SRR10215669_1	0.0
SRR10215669_2	0.0
SRR10215670_1	0.0
SRR10215670_2	0.0
SRR10215671_1	0.0
SRR10215671_2	0.0
SRR10215672_1	0.36513173286334916
SRR10215672_2	0.18911586593541216
SRR10215673_1	0.3545499596585747
SRR10215673_2	0.18523241833800494
SRR10215674_1	0.0
SRR10215674_2	0.0
SRR10215675_1	0.0
SRR10215675_2	0.0
SRR10215676_1	0.8081085794930366
SRR10215676_2	0.8030754029147026
SRR10215677_1	2.273906354429475
SRR10215677_2	2.2601096226389976
SRR10215678_1	0.0
SRR10215678_2	0.0
SRR10215679_1	0.0
SRR10215679_2	0.0
SRR10215680_1	1.3769914922911335
SRR10215680_2	1.3782094686055926
SRR10215681_1	1.1340240653643572
SRR10215681_2	1.1309194764683739
SRR10215682_1	0.0
SRR10215682_2	0.0
SRR10215683_1	0.0
SRR10215683_2	0.0
SRR10215684_1	0.0
SRR10215684_2	0.0
SRR10215685_1	0.0
SRR10215685_2	0.0
SRR10215686_1	0.0
SRR10215686_2	0.0
SRR10215687_1	0.0
SRR10215687_2	0.0
SRR10215688_1	0.18034772482446912
SRR10215688_2	0.11150211764942529
SRR10215689_1	0.15446248088290856
SRR10215689_2	0.0
