Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR10215662_1	(1, 0.03366365918315356)	(2, 0.0)	(3, 0.001308717737824074)	(4, 1.7166901931367666)	(5, 0.0004704696977214281)	(6, 6.089836188779907e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00020000932580796753)	(12, 0.0)	(14, 0.0)	(16, 0.0014591725142527542)	(18, 0.0)	(20, 0.0)	(22, 0.0010090022704939258)	(24, 0.00028478939824000155)	(26, 0.007839768528908721)	(28, 0.006495228225268295)	(30, 0.025197592795222275)	(32, 0.010114501458247098)	(34, 0.029594215706415926)	(36, 0.03879345060805522)	(38, 0.03139967302356009)	(40, 0.011877568739175242)	(42, 0.008436214249750988)	(44, 0.01594163883104042)	(46, 0.00011284108232151003)	(48, 0.013518839296327786)	(50, 0.01621508441677191)	(52, 0.016499276772248307)	(54, 0.044517299582744724)	(56, 0.023699015458571532)	(58, 0.013700340296463973)	(60, 0.00663195101813404)	(62, 0.024663239521795017)	(64, 0.016794812940233213)	(66, 0.012511628154124679)	(68, 0.0328952651463928)	(70, 0.039084210433931274)	(72, 0.06822347955447952)	(74, 0.0399003678917805)	(76, 0.033230206136775686)	(78, 0.03647513355697361)	(80, 0.04993964196181326)	(82, 0.04750191635801048)	(84, 0.03813491243979794)	(86, 0.05025010419888832)	(88, 0.04961126844183003)	(90, 0.04375368188809281)	(92, 0.05190271856854937)	(94, 0.003954811266125304)	(96, 0.022953309046827793)	(98, 0.017781724628473723)	(100, 0.0)
SRR10215662_2	(1, 0.0004955454937928748)	(2, 0.0004071831647792055)	(3, 0.0007570502242522472)	(4, 0.009459545546571455)	(5, 0.008753840999989312)	(6, 0.0024598161860561974)	(7, 0.005246811806568413)	(8, 0.005194272043371097)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0006036102340055378)	(46, 0.0)	(48, 0.0)	(50, 0.003415681650589201)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.01754051935197695)	(76, 0.05624918988760013)	(78, 0.06267635523781737)	(80, 0.0008860114611911158)	(82, 0.0011791594581215996)	(84, 0.0017206772447121265)	(86, 0.0016006716492273458)	(88, 0.001416782478036737)	(90, 0.0011648304317950586)	(92, 0.0016096272906814342)	(94, 0.0008710853921009691)	(96, 0.0022663743306478947)	(98, 0.0025648957124508316)	(100, 0.005376967129034494)
SRR10215663_1	(1, 0.0054707260642935145)	(2, 0.018179665662127843)	(3, 0.0)	(4, 0.00013950063833766322)	(5, 0.00022003708933672654)	(6, 0.002289536249830514)	(7, 4.314452732092677e-05)	(8, 0.00021859893842602897)	(9, 0.000694626889866921)	(10, 3.0201169124648735e-05)	(12, 0.004430942955859179)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 1.294335819627803e-05)	(24, 0.0009017206210073695)	(26, 0.0)	(28, 0.0036111969367615703)	(30, 0.004505007727760104)	(32, 0.009490357859693191)	(34, 0.0)	(36, 0.0023456241353477184)	(38, 0.01182447678775533)	(40, 0.0037046767459569118)	(42, 0.0005457782706097237)	(44, 0.021394652022992237)	(46, 0.049687394889145316)	(48, 0.07232892375171233)	(50, 0.06759956448188342)	(52, 0.10371369107586516)	(54, 0.09009080657428253)	(56, 0.0005997089297608821)	(58, 0.017482162470439527)	(60, 0.013823506553624937)	(62, 0.004340339448485233)	(64, 0.004850883021782867)	(66, 0.026704305185287623)	(68, 0.043158908830033746)	(70, 0.031650106167176534)	(72, 0.02640516979586253)	(74, 0.02116239065091458)	(76, 0.010297160520594522)	(78, 0.038715741591433636)	(80, 0.07163070148456867)	(82, 0.0031394834380527713)	(84, 0.0015733370963031297)	(86, 0.0071814065725682615)	(88, 0.0026138392801928136)	(90, 0.008143529531824928)	(92, 0.07033348936311946)	(94, 0.08800908313104781)	(96, 0.0001610729019981266)	(98, 0.016783940203295863)	(100, 0.10189011572110065)
SRR10215663_2	(1, 0.0)	(2, 0.00017113995837300954)	(3, 0.00012224282740929253)	(4, 0.0006155285897785553)	(5, 0.0008887772628110913)	(6, 0.0005752603642790236)	(7, 0.00026174346574695575)	(8, 0.00024017120208649233)	(9, 0.0003537851240315995)	(10, 0.003679509105019705)	(12, 0.013203663511114289)	(14, 0.0057806475855488385)	(16, 0.0058115678301288365)	(18, 0.005616698381729316)	(20, 0.0011095334276031669)	(22, 9.347980919534134e-06)	(24, 0.0001294335819627803)	(26, 0.000773006114499938)	(28, 0.001346109252412915)	(30, 0.0015237208898840637)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0014561277970812786)	(44, 0.0032423112281676466)	(46, 0.00636885130802414)	(48, 0.003476729826611349)	(50, 0.005894261507493945)	(52, 0.001079332258478518)	(54, 4.8178055508368225e-05)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 6.543586643673894e-05)	(70, 0.00024232842845253868)	(72, 0.001379186723358959)	(74, 0.00046236551778926525)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.00679310582667992)	(92, 0.016445974739281936)	(94, 0.022239565683027054)	(96, 0.015280353426161566)	(98, 0.014823021436559742)	(100, 0.00402394624813177)
SRR10215664_1	(1, 0.0006419891701841357)	(2, 0.013976800367743772)	(3, 3.351750687708339e-05)	(4, 0.0005182322217149047)	(5, 0.0011318604245415082)	(6, 0.0048290992600597835)	(7, 0.0011292821547817327)	(8, 0.0)	(9, 2.578269759775645e-06)	(10, 0.0)	(12, 0.002727809405842633)	(14, 0.00037900565468701984)	(16, 0.0)	(18, 0.0)	(20, 0.0006639044631422287)	(22, 0.003492266389616111)	(24, 6.187847423461549e-05)	(26, 0.004637018162956498)	(28, 0.009552489459968765)	(30, 0.019236470677686086)	(32, 0.01721639632090187)	(34, 0.0)	(36, 0.001968508961588705)	(38, 0.0047491728975067385)	(40, 0.010295031150784152)	(42, 0.005601291053112589)	(44, 0.031124872540011585)	(46, 0.08618124499026071)	(48, 0.11765676221760178)	(50, 0.11431532460893257)	(52, 0.24060284484738334)	(54, 0.12295252830418096)	(56, 0.0004924495241171482)	(58, 0.013053779793744091)	(60, 0.03073039726676591)	(62, 0.006004790270517478)	(64, 0.007593004442539276)	(66, 0.042814747630834364)	(68, 0.06953464628626926)	(70, 0.05784219292568671)	(72, 0.05322966832544808)	(74, 0.04573592726866017)	(76, 0.02969908936285566)	(78, 0.0685781082053925)	(80, 0.13709691620631015)	(82, 0.0251845390134885)	(84, 0.00019337023198317337)	(86, 0.0010854515688655465)	(88, 0.0011176799408627422)	(90, 0.005686373955185185)	(92, 0.08069468694145815)	(94, 0.09957922379693486)	(96, 0.0017854518086446343)	(98, 0.0280116118050825)	(100, 0.1110718612511348)
SRR10215664_2	(1, 0.0016965015019323744)	(2, 0.0014928181909100986)	(3, 0.0008044201650500014)	(4, 0.01020736997895178)	(5, 0.004607368060719078)	(6, 0.0)	(7, 0.0008585638300052899)	(8, 0.00010313079039102579)	(9, 0.0)	(10, 0.0017390429529686726)	(12, 0.007968142692586631)	(14, 0.006608105394304978)	(16, 0.0059377552567633106)	(18, 0.004389504266018036)	(20, 0.0012942914194073738)	(22, 0.0003467772826898243)	(24, 0.0009539598111169887)	(26, 0.0018331497992004836)	(28, 0.00023204427837980805)	(30, 0.0012311238102928705)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 9.15285764720354e-05)	(40, 0.0)	(42, 0.00014180483678766047)	(44, 0.0006342543609048086)	(46, 0.0010519340619884632)	(48, 0.0010854515688655465)	(50, 0.0016243099486586564)	(52, 6.187847423461549e-05)	(54, 6.445674399439112e-06)	(56, 0.0001714549390250804)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.00027845313405576964)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.004700185772071001)	(92, 0.007583980498380061)	(94, 0.0051449373056322995)	(96, 0.004270903857068356)	(98, 0.004933519185330697)	(100, 0.002838675005512985)
SRR10215665_1	(1, 0.006252978929886304)	(2, 0.001633363889337056)	(3, 0.0)	(4, 0.0027354720490109477)	(5, 0.0)	(6, 0.002905407888002581)	(7, 0.008627131088225722)	(8, 0.0)	(9, 0.0002326306145419443)	(10, 6.104491303582936e-05)	(12, 2.4747937717228117e-06)	(14, 0.0022710357511843)	(16, 0.0)	(18, 0.0007572868941471804)	(20, 6.599450057927498e-06)	(22, 0.0)	(24, 0.00027057745237502745)	(26, 0.010485701210789553)	(28, 0.019209349256112465)	(30, 0.026816865310388384)	(32, 0.02849065083133025)	(34, 0.0011887259416841905)	(36, 0.003386342810974047)	(38, 0.013905866203310477)	(40, 0.02504243817606313)	(42, 0.011807241084889534)	(44, 0.036970944155767085)	(46, 0.08395242911815294)	(48, 0.11231934026089704)	(50, 0.09393492226202553)	(52, 0.29298423518420574)	(54, 0.11584592138560205)	(56, 0.000275527039918473)	(58, 0.011295783705400153)	(60, 0.00830953255418796)	(62, 0.002219890013235362)	(64, 0.01420614118094618)	(66, 0.05742016509151268)	(68, 0.06420274988854767)	(70, 0.0656826765640379)	(72, 0.06069761697653092)	(74, 0.04724216323967399)	(76, 0.037191200801450414)	(78, 0.0650458296334479)	(80, 0.0985388636086872)	(82, 0.016295692055537474)	(84, 8.249312572409372e-06)	(86, 0.0020573785555588974)	(88, 0.00173400550272045)	(90, 0.006391567381102782)	(92, 0.07329101754957107)	(94, 0.08813648045487897)	(96, 0.007353437227045714)	(98, 0.029945829569103265)	(100, 0.10460788286820878)
SRR10215665_2	(1, 0.00031182401523707423)	(2, 0.00039266727844668615)	(3, 1.6498625144818744e-05)	(4, 0.00013033913864406808)	(5, 0.0)	(6, 0.0)	(7, 0.00027057745237502745)	(8, 0.0008183318071830097)	(9, 0.0006285976180175942)	(10, 0.0004372135663376967)	(12, 0.00364372136323322)	(14, 0.009696241997609977)	(16, 0.009836480311340936)	(18, 0.012729514230484903)	(20, 0.014173968861913784)	(22, 0.008644454644627781)	(24, 0.006817231909839106)	(26, 0.009310174169221218)	(28, 0.007039963349294158)	(30, 0.0020738771807037163)	(32, 4.372135663376967e-05)	(34, 0.0)	(36, 0.0003646196157004943)	(38, 0.00035802016564256674)	(40, 0.00405783685436817)	(42, 0.014921356580974073)	(44, 0.01711154906894876)	(46, 0.019050137523464964)	(48, 0.014211915699746867)	(50, 0.018849679227955416)	(52, 0.011721448234136476)	(54, 0.00875004584555462)	(56, 0.0035059578432739833)	(58, 0.0)	(60, 4.9495875434456234e-06)	(62, 0.0001286892761295862)	(64, 0.000670669112136882)	(66, 0.0009890925774318838)	(68, 0.0009890925774318838)	(70, 0.0003340971591825796)	(72, 0.0023667277770242487)	(74, 0.0035043079807595013)	(76, 0.0029268561006908452)	(78, 0.011313107261802213)	(80, 0.01350989919983483)	(82, 0.015101191595052597)	(84, 0.0018247479410169532)	(86, 0.0003646196157004943)	(88, 0.0)	(90, 0.013944637972400803)	(92, 0.027264802983070217)	(94, 0.01997158573780309)	(96, 0.02803363891481877)	(98, 0.024200183362420136)	(100, 0.026655178783969162)
SRR10215666_1	(1, 0.0969868795441814)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.00028360019039221025)	(6, 0.00023535892089250442)	(7, 0.0)	(8, 0.0010028336629332797)	(9, 0.0)	(10, 0.0)	(12, 0.015522724854018994)	(14, 0.00011621760379474597)	(16, 0.0)	(18, 0.0)	(20, 0.004009872795081612)	(22, 0.0)	(24, 0.0)	(26, 0.00013887638189309266)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 4.970312615121212e-05)	(38, 0.002443493392992678)	(40, 0.012167763838812178)	(42, 0.0014728205763925354)	(44, 0.018386502034319716)	(46, 0.04426209569430589)	(48, 0.0075870360213173785)	(50, 0.03216303911811451)	(52, 0.07284285508790436)	(54, 0.05539998152213193)	(56, 0.023393361065728584)	(58, 0.039147790199011316)	(60, 0.06541077587164665)	(62, 0.00889978329436998)	(64, 0.03088610733302381)	(66, 0.04643880024839868)	(68, 0.03765669641447496)	(70, 0.000429054927217081)	(72, 0.0020305188889421654)	(74, 0.0030479711183905075)	(76, 0.00041809100233078427)	(78, 0.003573508584607)	(80, 0.010864518633994366)	(82, 0.007841399078679465)	(84, 0.07399041255933676)	(86, 0.11305780064251525)	(88, 0.06954709926708355)	(90, 0.012558079564764343)	(92, 0.004775885680470882)	(94, 0.0025823697748857707)	(96, 0.00020173621790786094)	(98, 0.0020612178786237967)	(100, 0.007610425727741479)
SRR10215666_2	(1, 0.074398270565107)	(2, 0.13340465244650482)	(3, 0.04685835310738097)	(4, 0.05437960557938057)	(5, 0.0448015207987117)	(6, 0.02627541145417313)	(7, 0.03077939179746385)	(8, 0.01864744344661358)	(9, 0.050448673043480295)	(10, 0.01791870790583772)	(12, 0.013627427705341158)	(14, 0.01524497209023281)	(16, 0.01610746751462149)	(18, 0.011849079088783817)	(20, 0.02845503972156893)	(22, 0.0374111044970219)	(24, 0.04768284025883049)	(26, 0.01827247721550223)	(28, 0.040418874557495994)	(30, 0.030696065968328003)	(32, 0.025032833300392833)	(34, 0.02119984516014347)	(36, 0.013886907260983513)	(38, 0.029746590073174695)	(40, 0.03036130079513307)	(42, 0.019190523192648145)	(44, 0.021167684313810334)	(46, 0.04972943957093923)	(48, 0.016765303007799298)	(50, 0.03322507797543379)	(52, 0.025481623292405244)	(54, 0.037595298435111696)	(56, 0.02031322910100494)	(58, 0.021640594940572605)	(60, 0.025270385006262594)	(62, 0.019646622467918092)	(64, 0.01731130646713688)	(66, 0.012283981442606923)	(68, 0.021636940298943835)	(70, 0.038180041095714184)	(72, 0.019517248154259793)	(74, 0.03569269200317632)	(76, 0.019708751375607108)	(78, 0.03222005152752325)	(80, 0.02639455277127089)	(82, 0.027471941123430987)	(84, 0.025383678896754327)	(86, 0.37302488547814994)	(88, 0.3919917446031176)	(90, 0.38654998321788564)	(92, 0.2731756906103193)	(94, 0.23939437617898737)	(96, 0.223023043538769)	(98, 0.21926826472937525)	(100, 0.24552174833377577)
