Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR10215662_1	(1, 31.09245386307266)	(2, 31.25615947824194)	(3, 31.30202724079254)	(4, 34.4105319418177)	(5, 34.73151718895072)	(6, 34.85489377146481)	(7, 34.796887150379966)	(8, 34.78086707207064)	(9, 36.306251975092096)	(10, 36.17075589614059)	(12, 36.08860383281154)	(14, 37.09960489501033)	(16, 37.09461488323724)	(18, 37.14995571435301)	(20, 37.19804546110478)	(22, 37.161905764083684)	(24, 37.107604957580406)	(26, 36.88704557508025)	(28, 36.810041996585035)	(30, 36.71052264586187)	(32, 36.61813866067427)	(34, 36.540761524462724)	(36, 36.4581063570785)	(38, 36.36955038918531)	(40, 36.281086455434135)	(42, 36.193060357023214)	(44, 36.08734455021455)	(46, 35.923335213421)	(48, 35.86259424394654)	(50, 35.725069485329435)	(52, 35.5706930096263)	(54, 35.374249056030614)	(56, 35.181426716075535)	(58, 34.99074793875464)	(60, 34.767427573787174)	(62, 34.48663015869576)	(64, 34.14635078208721)	(66, 33.820678761200746)	(68, 33.49743977316196)	(70, 33.124706477358735)	(72, 32.693898133399536)	(74, 32.23209573532951)	(76, 29.36397453517086)	(78, 31.287079099031423)	(80, 31.406435177664108)	(82, 31.16178159112971)	(84, 30.876451731868812)	(86, 30.5888499756317)	(88, 30.341664151624023)	(90, 30.09084797326968)	(92, 29.841777482281415)	(94, 29.39480372189294)	(96, 28.904005338995212)	(98, 28.557980649724623)	(100, 28.324785806430736)
SRR10215662_2	(1, 29.30590258566683)	(2, 29.362689591675885)	(3, 29.39624315617343)	(4, 33.0177549412901)	(5, 33.03607751501727)	(6, 33.08018161324418)	(7, 33.025683370669405)	(8, 33.00888648002035)	(9, 34.33106658883617)	(10, 34.17937767725169)	(12, 34.11154866982156)	(14, 35.041529208018595)	(16, 35.02961527340469)	(18, 34.984772991504855)	(20, 34.969589626835734)	(22, 34.87576029067385)	(24, 34.85199492585296)	(26, 34.722859406160964)	(28, 34.62728814400242)	(30, 34.557217491752894)	(32, 34.42081586610098)	(34, 34.32220024706824)	(36, 34.21737359813613)	(38, 34.12594508436483)	(40, 33.98923860867781)	(42, 33.86962780175004)	(44, 33.75725642491152)	(46, 33.624662821591855)	(48, 33.53389396245879)	(50, 32.08436454260942)	(52, 32.37703350227852)	(54, 33.04564464169941)	(56, 32.99955138803786)	(58, 32.885176610324336)	(60, 32.67934736539058)	(62, 32.35425701938699)	(64, 32.046538898321174)	(66, 31.666564512649813)	(68, 31.19807193398092)	(70, 30.684472398384663)	(72, 30.12855640015215)	(74, 29.428536715652236)	(76, 28.692762862554964)	(78, 28.060951689747444)	(80, 27.604195568760552)	(82, 27.07437930687992)	(84, 26.533314813066806)	(86, 25.92827625574661)	(88, 25.376983744734606)	(90, 24.86686777455116)	(92, 24.352537775044915)	(94, 23.840695246745533)	(96, 23.31048712778787)	(98, 22.760691874648007)	(100, 22.309514121225593)
SRR10215663_1	(1, 31.539394189283556)	(2, 31.673518947609484)	(3, 31.784007005405662)	(4, 35.31947380589323)	(5, 35.455669990501875)	(6, 35.438811597225936)	(7, 35.35085620026838)	(8, 35.33679186096325)	(9, 36.91428019425162)	(10, 36.82737577640734)	(12, 36.77827533404938)	(14, 37.95439787411382)	(16, 37.902128077923386)	(18, 37.8982721436554)	(20, 37.915460463131765)	(22, 37.86149904912338)	(24, 37.78491426290768)	(26, 37.5981797654698)	(28, 37.46575503814465)	(30, 37.33281753092154)	(32, 37.18125647275771)	(34, 37.09663704660639)	(36, 37.01149404004376)	(38, 36.906649106652296)	(40, 36.79378465548203)	(42, 36.64806020335568)	(44, 36.42406596268988)	(46, 36.1264043543643)	(48, 35.99107665470911)	(50, 35.86468746564617)	(52, 35.52667450669842)	(54, 35.33702182848462)	(56, 35.268241038752244)	(58, 35.09635726872822)	(60, 34.8415243194483)	(62, 34.523262695003915)	(64, 34.07496692396721)	(66, 33.682250558620964)	(68, 33.2224099232873)	(70, 32.835458112617914)	(72, 32.42338336593238)	(74, 31.83578716873704)	(76, 27.80732683095451)	(78, 30.863685426808388)	(80, 31.108495399038844)	(82, 30.94876237190893)	(84, 30.638467463532663)	(86, 30.318635349530787)	(88, 30.00503818779639)	(90, 29.591841230382975)	(92, 29.124308119978373)	(94, 28.726061165536173)	(96, 28.34361948241179)	(98, 27.65864753239478)	(100, 26.94234831232703)
SRR10215663_2	(1, 30.55824754235829)	(2, 30.6307207989354)	(3, 30.70912913174285)	(4, 34.2724427620252)	(5, 34.303833598346195)	(6, 34.38296557992889)	(7, 34.28981566817095)	(8, 34.22944389062851)	(9, 35.73149659218637)	(10, 35.63963576699723)	(12, 35.52898170344143)	(14, 36.6461568393884)	(16, 36.561295868600865)	(18, 36.581994462773835)	(20, 36.58568536922482)	(22, 36.53707207172484)	(24, 36.45317433127277)	(26, 36.34014866338542)	(28, 36.222782181459785)	(30, 36.126711291722415)	(32, 35.936863772823244)	(34, 35.83313925966177)	(36, 35.729885589917714)	(38, 35.62845362593223)	(40, 35.58524548200577)	(42, 35.4934611017283)	(44, 35.35694179337303)	(46, 35.20663517672257)	(48, 35.09284167287325)	(50, 33.13633111911784)	(52, 33.69946866939344)	(54, 34.62786539344674)	(56, 34.65561878657685)	(58, 34.4578491342878)	(60, 34.2401476739376)	(62, 33.95384095017366)	(64, 33.62050648309801)	(66, 33.20454474527558)	(68, 32.75863321272617)	(70, 32.22400197791771)	(72, 31.642266554885907)	(74, 31.0577103210856)	(76, 30.39680343203785)	(78, 29.799244437217897)	(80, 29.23613961206627)	(82, 28.704077403755633)	(84, 28.177475106614445)	(86, 27.63168431690104)	(88, 26.98524009181616)	(90, 26.460555734301735)	(92, 25.919889105046167)	(94, 25.43661504462323)	(96, 24.909181934891684)	(98, 24.268337107233076)	(100, 23.749754953466326)
SRR10215664_1	(1, 32.312739429409824)	(2, 32.39941183478932)	(3, 32.487978933267186)	(4, 36.0230475143404)	(5, 36.03772336098811)	(6, 36.04441827672523)	(7, 35.986771851822404)	(8, 35.96942679984049)	(9, 37.67958335985728)	(10, 37.62745826097097)	(12, 37.56542389165533)	(14, 38.93415983380061)	(16, 38.87280066176966)	(18, 38.831915658814566)	(20, 38.810047303257456)	(22, 38.73137695770923)	(24, 38.62680111157459)	(26, 38.44421223687564)	(28, 38.290825606065496)	(30, 38.129424165880096)	(32, 37.9181311045532)	(34, 37.76268988924552)	(36, 37.62359315099139)	(38, 37.45291830615618)	(40, 37.26380406273951)	(42, 37.065003904402815)	(44, 36.772250616277375)	(46, 36.48194723875172)	(48, 36.26175402888812)	(50, 36.06352998492924)	(52, 35.69321609012559)	(54, 35.48099472277167)	(56, 35.34601188463759)	(58, 35.14670272428491)	(60, 34.83564192896759)	(62, 34.475038661799616)	(64, 34.04367821017338)	(66, 33.60671189106522)	(68, 33.15138193583249)	(70, 32.70601982931802)	(72, 32.23932754238476)	(74, 31.70895765168715)	(76, 27.457553068333098)	(78, 30.757162040206516)	(80, 31.03037649106819)	(82, 30.887831639294077)	(84, 30.66373046860749)	(86, 30.422469352816393)	(88, 30.14932831818613)	(90, 29.798376803863878)	(92, 29.399855129600468)	(94, 29.045446722749706)	(96, 28.73590924655455)	(98, 28.11710135134595)	(100, 27.411304851754515)
SRR10215664_2	(1, 31.927175713544536)	(2, 32.04407075174431)	(3, 32.13124220701851)	(4, 35.650048067972264)	(5, 35.69767376384405)	(6, 35.78139392143512)	(7, 35.72003507168789)	(8, 35.69555837085425)	(9, 37.432002995124414)	(10, 37.37013491131693)	(12, 37.29273556252084)	(14, 38.670598631181115)	(16, 38.618230427239155)	(18, 38.595425773018775)	(20, 38.564729744087906)	(22, 38.49782693111567)	(24, 38.40497151256851)	(26, 38.3030769509619)	(28, 38.18706088359728)	(30, 38.07292357562392)	(32, 37.9254642322953)	(34, 37.80606203301572)	(36, 37.683767827220656)	(38, 37.55455321021528)	(40, 37.40834644190136)	(42, 37.24592906029983)	(44, 37.133129371569176)	(46, 36.975080507117816)	(48, 36.80791864506973)	(50, 34.654858100927456)	(52, 35.28901653730585)	(54, 36.26202675826331)	(56, 36.28098397654331)	(58, 36.06357101809246)	(60, 35.74586062012905)	(62, 35.4457486020428)	(64, 35.090818430740754)	(66, 34.63758041913436)	(68, 34.13775253153217)	(70, 33.60386228419593)	(72, 33.00029006823932)	(74, 32.337336084244036)	(76, 31.66039475475769)	(78, 31.046335980881203)	(80, 30.54620517236494)	(82, 30.003862763754093)	(84, 29.41728275067144)	(86, 28.805649961051365)	(88, 28.078995143081208)	(90, 27.446521361055197)	(92, 26.780519217636417)	(94, 26.163669183135298)	(96, 25.495937085164453)	(98, 24.740270789485024)	(100, 24.05769520576668)
SRR10215665_1	(1, 32.466719113596184)	(2, 32.57651472516318)	(3, 32.65512762173259)	(4, 36.1312681927246)	(5, 36.147500546558206)	(6, 36.158622616239455)	(7, 36.107288958950114)	(8, 36.09493246213553)	(9, 37.83556694745292)	(10, 37.79181471364219)	(12, 37.74863360448879)	(14, 39.17070731470341)	(16, 39.11726108270808)	(18, 39.09141593692286)	(20, 39.08759763535765)	(22, 39.02887024294935)	(24, 38.959752915599914)	(26, 38.791337499159184)	(28, 38.68009551087094)	(30, 38.54788216140767)	(32, 38.38306003828242)	(34, 38.26874720214252)	(36, 38.15817874547787)	(38, 38.034310697588104)	(40, 37.86035016748002)	(42, 37.697635793212896)	(44, 37.45553590001015)	(46, 37.20411316994338)	(48, 37.011176828618105)	(50, 36.8338115514827)	(52, 36.441400925648765)	(54, 36.28924633966865)	(56, 36.15921175739544)	(58, 35.96842886611994)	(60, 35.6823708032674)	(62, 35.326108153668386)	(64, 34.90910053603868)	(66, 34.48819138952922)	(68, 34.02975853717646)	(70, 33.60950784254722)	(72, 33.13698179035194)	(74, 32.55009515499559)	(76, 28.286755764961974)	(78, 31.462348652543263)	(80, 31.69268798752097)	(82, 31.556083215501527)	(84, 31.371892234412268)	(86, 31.19317216442378)	(88, 30.98195769749213)	(90, 30.71999743578368)	(92, 30.42598455256826)	(94, 30.16575201038635)	(96, 29.9563105764552)	(98, 29.440900093383867)	(100, 28.877547369161405)
SRR10215665_2	(1, 31.86889403825645)	(2, 31.994403072400374)	(3, 32.093127562040564)	(4, 35.58556725680214)	(5, 35.62069931369514)	(6, 35.70707438443093)	(7, 35.65454512127322)	(8, 35.55628350056147)	(9, 37.31510011423483)	(10, 37.27609316549238)	(12, 37.2099770782951)	(14, 38.56573369031298)	(16, 38.54287585159098)	(18, 38.50982197801984)	(20, 38.44559300356662)	(22, 38.406361582779766)	(24, 38.31574087133958)	(26, 38.222279913331406)	(28, 38.095952530881675)	(30, 37.99211011822568)	(32, 37.86235753870277)	(34, 37.79480715177783)	(36, 37.69162438715239)	(38, 37.56539823201723)	(40, 37.436469461845036)	(42, 37.300102905224755)	(44, 37.165284455848365)	(46, 37.04353339604681)	(48, 36.88313340766844)	(50, 34.82346471919975)	(52, 35.40522581742479)	(54, 36.34911862117162)	(56, 36.33258619859319)	(58, 36.168512354112764)	(60, 35.899809360036315)	(62, 35.5769517984912)	(64, 35.245217440412866)	(66, 34.79830691438737)	(68, 34.30032581814909)	(70, 33.812420325045686)	(72, 33.22955350546206)	(74, 32.62445549793667)	(76, 32.00480835106289)	(78, 31.444393330787157)	(80, 30.95496729964247)	(82, 30.448233674515553)	(84, 29.962553606714124)	(86, 29.439792977891464)	(88, 28.81929061653399)	(90, 28.255225481677776)	(92, 27.685522073667318)	(94, 27.16191932202002)	(96, 26.573189047796863)	(98, 25.857250686264436)	(100, 25.16744436510989)
SRR10215666_1	(1, 32.106031108894285)	(2, 32.28389704962243)	(3, 32.306234160783184)	(4, 35.8917069310717)	(5, 35.95796954543275)	(6, 35.91685925653479)	(7, 35.85785685090349)	(8, 35.84794828418961)	(9, 37.48397490810769)	(10, 37.39089136855512)	(12, 37.35216531669077)	(14, 38.76467241400482)	(16, 38.793561003862806)	(18, 38.790163619767576)	(20, 38.772102073848316)	(22, 38.711628470301505)	(24, 38.675059424472884)	(26, 38.5369456858856)	(28, 38.4324435401724)	(30, 38.315439647540515)	(32, 38.20857297062136)	(34, 38.108826142265556)	(36, 37.97524025614068)	(38, 37.82882543765064)	(40, 37.720323995675244)	(42, 37.752799645528995)	(44, 37.660949839897455)	(46, 37.57832453977829)	(48, 37.39588446420615)	(50, 37.227980513743205)	(52, 37.077147613606726)	(54, 36.95075938336547)	(56, 36.83453870236248)	(58, 36.630719755355365)	(60, 36.399909423361876)	(62, 36.26214989995053)	(64, 35.99563176035608)	(66, 35.6673276061688)	(68, 35.31859479467931)	(70, 34.84899846738949)	(72, 34.384131626450014)	(74, 33.90229687648013)	(76, 31.313184572851334)	(78, 32.99521397634365)	(80, 32.99551057974896)	(82, 32.718427090484255)	(84, 32.36301695636767)	(86, 32.09100782736525)	(88, 31.922436363918102)	(90, 31.819477302921257)	(92, 31.70062833522595)	(94, 31.52681201517524)	(96, 31.34098565099985)	(98, 31.110044431671064)	(100, 30.883588290879068)
SRR10215666_2	(1, 31.02116777202521)	(2, 31.150603264384376)	(3, 31.235557704159977)	(4, 34.7842566663587)	(5, 34.841921487772446)	(6, 34.91064363209395)	(7, 34.85616014698091)	(8, 34.86172077193048)	(9, 36.43476600645322)	(10, 36.41141471762192)	(12, 36.36333475669443)	(14, 37.59141235233786)	(16, 37.57032409800521)	(18, 37.541617414279656)	(20, 37.51727133930628)	(22, 37.4704867661041)	(24, 37.481333793623264)	(26, 37.4308548601471)	(28, 37.363715775012075)	(30, 37.28917783866248)	(32, 37.200511759467275)	(34, 37.10169556367438)	(36, 37.00359751227082)	(38, 36.90933821603201)	(40, 36.82402525591263)	(42, 36.73465950288687)	(44, 36.60568600108528)	(46, 36.446395799734994)	(48, 36.36774495893352)	(50, 34.84879575172762)	(52, 35.18059777803636)	(54, 35.937403583244546)	(56, 35.92982327176383)	(58, 35.78928661541592)	(60, 35.5605004139978)	(62, 35.24147775580445)	(64, 34.86397956704484)	(66, 34.40306012645645)	(68, 33.91501392564646)	(70, 33.3982036851652)	(72, 32.82790246521658)	(74, 32.21609585306352)	(76, 31.578529769833594)	(78, 30.969233691819568)	(80, 30.412904188745575)	(82, 29.86834894693694)	(84, 29.296426133260514)	(86, 28.653981922095902)	(88, 28.023985698071634)	(90, 27.54493718109597)	(92, 27.105854794363548)	(94, 26.678408691556434)	(96, 26.212256286568344)	(98, 25.637659042694402)	(100, 25.103838835566854)
