Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR10215662_1	(2.0, 469.0)	(3.0, 1111.0)	(4.0, 2204.0)	(5.0, 4169.0)	(6.0, 8489.0)	(7.0, 19855.0)	(8.0, 40627.0)	(9.0, 59882.0)	(10.0, 82588.0)	(11.0, 106007.0)	(12.0, 132507.0)	(13.0, 163243.0)	(14.0, 197324.0)	(15.0, 232622.0)	(16.0, 270419.0)	(17.0, 312059.0)	(18.0, 354505.0)	(19.0, 395688.0)	(20.0, 433182.0)	(21.0, 470322.0)	(22.0, 521687.0)	(23.0, 610463.0)	(24.0, 754905.0)	(25.0, 964263.0)	(26.0, 1246596.0)	(27.0, 1599062.0)	(28.0, 2017301.0)	(29.0, 2497086.0)	(30.0, 3039671.0)	(31.0, 3639593.0)	(32.0, 4340853.0)	(33.0, 5205224.0)	(34.0, 6350996.0)	(35.0, 7888318.0)	(36.0, 10248922.0)	(37.0, 13687567.0)	(38.0, 12880356.0)	(39.0, 2949258.0)	(40.0, 16702.0)
SRR10215662_2	(2.0, 2072329.0)	(3.0, 372193.0)	(4.0, 272610.0)	(5.0, 225972.0)	(6.0, 208495.0)	(7.0, 215538.0)	(8.0, 242400.0)	(9.0, 273308.0)	(10.0, 301693.0)	(11.0, 322572.0)	(12.0, 323284.0)	(13.0, 324737.0)	(14.0, 342105.0)	(15.0, 376500.0)	(16.0, 419066.0)	(17.0, 473936.0)	(18.0, 539177.0)	(19.0, 615229.0)	(20.0, 710150.0)	(21.0, 846865.0)	(22.0, 1035620.0)	(23.0, 1268068.0)	(24.0, 1527860.0)	(25.0, 1809852.0)	(26.0, 2103323.0)	(27.0, 2387500.0)	(28.0, 2655040.0)	(29.0, 2906038.0)	(30.0, 3189683.0)	(31.0, 3561783.0)	(32.0, 4063978.0)	(33.0, 4686014.0)	(34.0, 5499786.0)	(35.0, 6635210.0)	(36.0, 8357003.0)	(37.0, 10558094.0)	(38.0, 9607340.0)	(39.0, 2401740.0)	(40.0, 14004.0)
SRR10215663_1	(2.0, 456.0)	(3.0, 873.0)	(4.0, 1936.0)	(5.0, 3784.0)	(6.0, 9122.0)	(7.0, 21506.0)	(8.0, 47280.0)	(9.0, 74433.0)	(10.0, 98890.0)	(11.0, 131885.0)	(12.0, 164559.0)	(13.0, 200204.0)	(14.0, 233982.0)	(15.0, 259271.0)	(16.0, 289551.0)	(17.0, 322083.0)	(18.0, 351771.0)	(19.0, 382180.0)	(20.0, 408755.0)	(21.0, 421381.0)	(22.0, 446846.0)	(23.0, 500831.0)	(24.0, 594349.0)	(25.0, 742876.0)	(26.0, 935656.0)	(27.0, 1173761.0)	(28.0, 1449364.0)	(29.0, 1772488.0)	(30.0, 2136982.0)	(31.0, 2564965.0)	(32.0, 3089853.0)	(33.0, 3777385.0)	(34.0, 4715827.0)	(35.0, 6083793.0)	(36.0, 8376748.0)	(37.0, 12293460.0)	(38.0, 12849086.0)	(39.0, 2595434.0)	(40.0, 10126.0)
SRR10215663_2	(2.0, 1054829.0)	(3.0, 206355.0)	(4.0, 162592.0)	(5.0, 141332.0)	(6.0, 131708.0)	(7.0, 138966.0)	(8.0, 155457.0)	(9.0, 176234.0)	(10.0, 197882.0)	(11.0, 215157.0)	(12.0, 222292.0)	(13.0, 227057.0)	(14.0, 240310.0)	(15.0, 260379.0)	(16.0, 286487.0)	(17.0, 317793.0)	(18.0, 355335.0)	(19.0, 402665.0)	(20.0, 462484.0)	(21.0, 541170.0)	(22.0, 645682.0)	(23.0, 776414.0)	(24.0, 926197.0)	(25.0, 1093117.0)	(26.0, 1275772.0)	(27.0, 1464539.0)	(28.0, 1655175.0)	(29.0, 1856855.0)	(30.0, 2108842.0)	(31.0, 2450473.0)	(32.0, 2903981.0)	(33.0, 3492047.0)	(34.0, 4332266.0)	(35.0, 5572483.0)	(36.0, 7606000.0)	(37.0, 10822942.0)	(38.0, 11424150.0)	(39.0, 3210569.0)	(40.0, 19744.0)
SRR10215664_1	(2.0, 166.0)	(3.0, 295.0)	(4.0, 665.0)	(5.0, 1675.0)	(6.0, 4827.0)	(7.0, 13240.0)	(8.0, 30421.0)	(9.0, 52792.0)	(10.0, 68971.0)	(11.0, 89830.0)	(12.0, 102622.0)	(13.0, 117893.0)	(14.0, 131695.0)	(15.0, 140796.0)	(16.0, 154023.0)	(17.0, 169192.0)	(18.0, 182218.0)	(19.0, 197382.0)	(20.0, 215373.0)	(21.0, 221260.0)	(22.0, 229026.0)	(23.0, 247680.0)	(24.0, 276909.0)	(25.0, 330443.0)	(26.0, 401615.0)	(27.0, 493069.0)	(28.0, 603225.0)	(29.0, 739028.0)	(30.0, 906557.0)	(31.0, 1118482.0)	(32.0, 1404355.0)	(33.0, 1839541.0)	(34.0, 2522457.0)	(35.0, 3633132.0)	(36.0, 5384122.0)	(37.0, 7984683.0)	(38.0, 7749034.0)	(39.0, 1024350.0)	(40.0, 2657.0)
SRR10215664_2	(2.0, 205181.0)	(3.0, 43059.0)	(4.0, 40329.0)	(5.0, 41698.0)	(6.0, 40449.0)	(7.0, 41668.0)	(8.0, 45624.0)	(9.0, 50959.0)	(10.0, 57785.0)	(11.0, 62679.0)	(12.0, 66000.0)	(13.0, 69733.0)	(14.0, 74524.0)	(15.0, 81776.0)	(16.0, 91726.0)	(17.0, 103985.0)	(18.0, 119365.0)	(19.0, 140588.0)	(20.0, 167392.0)	(21.0, 202385.0)	(22.0, 247048.0)	(23.0, 299410.0)	(24.0, 360653.0)	(25.0, 430275.0)	(26.0, 514050.0)	(27.0, 602601.0)	(28.0, 700605.0)	(29.0, 810949.0)	(30.0, 963334.0)	(31.0, 1176971.0)	(32.0, 1466909.0)	(33.0, 1875367.0)	(34.0, 2512898.0)	(35.0, 3551794.0)	(36.0, 5188691.0)	(37.0, 7274175.0)	(38.0, 7504969.0)	(39.0, 1550671.0)	(40.0, 7426.0)
SRR10215665_1	(2.0, 180.0)	(3.0, 347.0)	(4.0, 789.0)	(5.0, 1822.0)	(6.0, 5230.0)	(7.0, 14359.0)	(8.0, 33107.0)	(9.0, 60249.0)	(10.0, 79648.0)	(11.0, 105607.0)	(12.0, 120765.0)	(13.0, 139520.0)	(14.0, 158599.0)	(15.0, 171044.0)	(16.0, 191548.0)	(17.0, 216223.0)	(18.0, 227486.0)	(19.0, 251553.0)	(20.0, 279318.0)	(21.0, 282621.0)	(22.0, 293244.0)	(23.0, 313678.0)	(24.0, 342687.0)	(25.0, 403429.0)	(26.0, 491417.0)	(27.0, 611403.0)	(28.0, 757713.0)	(29.0, 947851.0)	(30.0, 1183691.0)	(31.0, 1476506.0)	(32.0, 1876185.0)	(33.0, 2470602.0)	(34.0, 3436642.0)	(35.0, 5054780.0)	(36.0, 8097756.0)	(37.0, 13139241.0)	(38.0, 14826209.0)	(39.0, 2538699.0)	(40.0, 9363.0)
SRR10215665_2	(2.0, 355303.0)	(3.0, 78963.0)	(4.0, 73339.0)	(5.0, 87792.0)	(6.0, 88848.0)	(7.0, 81697.0)	(8.0, 84339.0)	(9.0, 93368.0)	(10.0, 102683.0)	(11.0, 109348.0)	(12.0, 113004.0)	(13.0, 117866.0)	(14.0, 123882.0)	(15.0, 135127.0)	(16.0, 149273.0)	(17.0, 168664.0)	(18.0, 191162.0)	(19.0, 221343.0)	(20.0, 258711.0)	(21.0, 305315.0)	(22.0, 362715.0)	(23.0, 430658.0)	(24.0, 513903.0)	(25.0, 608187.0)	(26.0, 715714.0)	(27.0, 831056.0)	(28.0, 954216.0)	(29.0, 1102602.0)	(30.0, 1303197.0)	(31.0, 1580579.0)	(32.0, 1968351.0)	(33.0, 2535509.0)	(34.0, 3483156.0)	(35.0, 5095678.0)	(36.0, 7973628.0)	(37.0, 11935207.0)	(38.0, 13191805.0)	(39.0, 3067881.0)	(40.0, 17042.0)
SRR10215666_1	(2.0, 169.0)	(3.0, 334.0)	(4.0, 644.0)	(5.0, 1346.0)	(6.0, 3172.0)	(7.0, 8226.0)	(8.0, 20244.0)	(9.0, 34661.0)	(10.0, 48533.0)	(11.0, 64040.0)	(12.0, 77996.0)	(13.0, 93520.0)	(14.0, 108532.0)	(15.0, 122738.0)	(16.0, 136052.0)	(17.0, 152825.0)	(18.0, 173537.0)	(19.0, 198099.0)	(20.0, 221375.0)	(21.0, 244301.0)	(22.0, 270580.0)	(23.0, 312163.0)	(24.0, 371999.0)	(25.0, 456535.0)	(26.0, 569844.0)	(27.0, 713899.0)	(28.0, 893489.0)	(29.0, 1097138.0)	(30.0, 1357261.0)	(31.0, 1674824.0)	(32.0, 2073531.0)	(33.0, 2625277.0)	(34.0, 3480411.0)	(35.0, 4854114.0)	(36.0, 7515158.0)	(37.0, 13436468.0)	(38.0, 18950251.0)	(39.0, 5994972.0)	(40.0, 47902.0)
SRR10215666_2	(2.0, 741844.0)	(3.0, 136498.0)	(4.0, 104468.0)	(5.0, 92943.0)	(6.0, 87711.0)	(7.0, 88499.0)	(8.0, 98216.0)	(9.0, 112906.0)	(10.0, 128725.0)	(11.0, 144905.0)	(12.0, 153227.0)	(13.0, 165124.0)	(14.0, 180116.0)	(15.0, 199559.0)	(16.0, 223566.0)	(17.0, 252298.0)	(18.0, 284276.0)	(19.0, 322875.0)	(20.0, 374483.0)	(21.0, 441078.0)	(22.0, 535787.0)	(23.0, 651814.0)	(24.0, 777608.0)	(25.0, 907274.0)	(26.0, 1043711.0)	(27.0, 1187272.0)	(28.0, 1334618.0)	(29.0, 1489079.0)	(30.0, 1684273.0)	(31.0, 1957291.0)	(32.0, 2342872.0)	(33.0, 2860157.0)	(34.0, 3649768.0)	(35.0, 4959027.0)	(36.0, 7283445.0)	(37.0, 11584657.0)	(38.0, 14598489.0)	(39.0, 5182392.0)	(40.0, 43309.0)
SRR10215667_1	(2.0, 207.0)	(3.0, 557.0)	(4.0, 1154.0)	(5.0, 2144.0)	(6.0, 4534.0)	(7.0, 10835.0)	(8.0, 22298.0)	(9.0, 33282.0)	(10.0, 45280.0)	(11.0, 58209.0)	(12.0, 72125.0)	(13.0, 88404.0)	(14.0, 105730.0)	(15.0, 125399.0)	(16.0, 145857.0)	(17.0, 169116.0)	(18.0, 194239.0)	(19.0, 217583.0)	(20.0, 239233.0)	(21.0, 257894.0)	(22.0, 281139.0)	(23.0, 319793.0)	(24.0, 390236.0)	(25.0, 496131.0)	(26.0, 641690.0)	(27.0, 828187.0)	(28.0, 1047493.0)	(29.0, 1296826.0)	(30.0, 1574994.0)	(31.0, 1887045.0)	(32.0, 2245889.0)	(33.0, 2686879.0)	(34.0, 3269504.0)	(35.0, 4050482.0)	(36.0, 5228113.0)	(37.0, 6954079.0)	(38.0, 6699486.0)	(39.0, 1499819.0)	(40.0, 8578.0)
SRR10215667_2	(2.0, 765001.0)	(3.0, 146067.0)	(4.0, 109729.0)	(5.0, 93997.0)	(6.0, 88021.0)	(7.0, 90697.0)	(8.0, 102691.0)	(9.0, 117040.0)	(10.0, 130788.0)	(11.0, 142377.0)	(12.0, 146988.0)	(13.0, 149800.0)	(14.0, 159194.0)	(15.0, 175888.0)	(16.0, 198034.0)	(17.0, 226934.0)	(18.0, 261831.0)	(19.0, 304009.0)	(20.0, 358800.0)	(21.0, 432754.0)	(22.0, 529374.0)	(23.0, 652894.0)	(24.0, 790304.0)	(25.0, 935039.0)	(26.0, 1086025.0)	(27.0, 1229895.0)	(28.0, 1362229.0)	(29.0, 1487009.0)	(30.0, 1631932.0)	(31.0, 1826775.0)	(32.0, 2087959.0)	(33.0, 2414410.0)	(34.0, 2850900.0)	(35.0, 3456100.0)	(36.0, 4358989.0)	(37.0, 5549059.0)	(38.0, 5289127.0)	(39.0, 1452320.0)	(40.0, 9463.0)
SRR10215668_1	(2.0, 382.0)	(3.0, 1039.0)	(4.0, 1922.0)	(5.0, 3361.0)	(6.0, 6726.0)	(7.0, 16087.0)	(8.0, 32739.0)	(9.0, 48364.0)	(10.0, 66890.0)	(11.0, 86238.0)	(12.0, 107898.0)	(13.0, 133392.0)	(14.0, 159439.0)	(15.0, 187509.0)	(16.0, 218433.0)	(17.0, 252874.0)	(18.0, 287290.0)	(19.0, 319023.0)	(20.0, 348595.0)	(21.0, 378678.0)	(22.0, 422556.0)	(23.0, 501734.0)	(24.0, 622648.0)	(25.0, 798082.0)	(26.0, 1026789.0)	(27.0, 1306401.0)	(28.0, 1634650.0)	(29.0, 2009960.0)	(30.0, 2427005.0)	(31.0, 2897772.0)	(32.0, 3441756.0)	(33.0, 4112488.0)	(34.0, 4995992.0)	(35.0, 6172501.0)	(36.0, 8001653.0)	(37.0, 10638898.0)	(38.0, 9514020.0)	(39.0, 1850594.0)	(40.0, 8531.0)
SRR10215668_2	(2.0, 1128828.0)	(3.0, 228701.0)	(4.0, 173842.0)	(5.0, 147697.0)	(6.0, 135742.0)	(7.0, 142181.0)	(8.0, 160313.0)	(9.0, 182511.0)	(10.0, 202856.0)	(11.0, 219679.0)	(12.0, 226026.0)	(13.0, 232794.0)	(14.0, 251928.0)	(15.0, 286317.0)	(16.0, 331077.0)	(17.0, 387540.0)	(18.0, 451861.0)	(19.0, 530921.0)	(20.0, 626407.0)	(21.0, 748488.0)	(22.0, 911851.0)	(23.0, 1107459.0)	(24.0, 1324387.0)	(25.0, 1555791.0)	(26.0, 1795397.0)	(27.0, 2018248.0)	(28.0, 2217160.0)	(29.0, 2399088.0)	(30.0, 2611452.0)	(31.0, 2894908.0)	(32.0, 3260334.0)	(33.0, 3720391.0)	(34.0, 4336150.0)	(35.0, 5183110.0)	(36.0, 6464028.0)	(37.0, 8047678.0)	(38.0, 6874022.0)	(39.0, 1516300.0)	(40.0, 7446.0)
SRR10215669_1	(2.0, 137.0)	(3.0, 194.0)	(4.0, 384.0)	(5.0, 775.0)	(6.0, 1561.0)	(7.0, 4287.0)	(8.0, 10771.0)	(9.0, 18399.0)	(10.0, 26078.0)	(11.0, 34073.0)	(12.0, 41303.0)	(13.0, 49986.0)	(14.0, 57913.0)	(15.0, 65028.0)	(16.0, 71443.0)	(17.0, 79273.0)	(18.0, 89011.0)	(19.0, 100038.0)	(20.0, 111022.0)	(21.0, 122212.0)	(22.0, 136923.0)	(23.0, 160353.0)	(24.0, 194169.0)	(25.0, 239826.0)	(26.0, 299955.0)	(27.0, 374186.0)	(28.0, 466370.0)	(29.0, 577609.0)	(30.0, 714434.0)	(31.0, 881855.0)	(32.0, 1092757.0)	(33.0, 1380899.0)	(34.0, 1836456.0)	(35.0, 2562750.0)	(36.0, 3986659.0)	(37.0, 7018790.0)	(38.0, 8747010.0)	(39.0, 2285382.0)	(40.0, 15307.0)
SRR10215669_2	(2.0, 393026.0)	(3.0, 70637.0)	(4.0, 54347.0)	(5.0, 47859.0)	(6.0, 44794.0)	(7.0, 45333.0)	(8.0, 50004.0)	(9.0, 57803.0)	(10.0, 64776.0)	(11.0, 71515.0)	(12.0, 75104.0)	(13.0, 79469.0)	(14.0, 87949.0)	(15.0, 97958.0)	(16.0, 109832.0)	(17.0, 122805.0)	(18.0, 138259.0)	(19.0, 158599.0)	(20.0, 183202.0)	(21.0, 215492.0)	(22.0, 263053.0)	(23.0, 320615.0)	(24.0, 385256.0)	(25.0, 455513.0)	(26.0, 533377.0)	(27.0, 618113.0)	(28.0, 700416.0)	(29.0, 790406.0)	(30.0, 894872.0)	(31.0, 1041013.0)	(32.0, 1243945.0)	(33.0, 1514797.0)	(34.0, 1920866.0)	(35.0, 2582785.0)	(36.0, 3774474.0)	(37.0, 5940270.0)	(38.0, 6712786.0)	(39.0, 1979622.0)	(40.0, 14636.0)
SRR10215670_1	(2.0, 193.0)	(3.0, 411.0)	(4.0, 786.0)	(5.0, 1482.0)	(6.0, 3239.0)	(7.0, 8797.0)	(8.0, 22345.0)	(9.0, 37578.0)	(10.0, 52596.0)	(11.0, 67347.0)	(12.0, 80247.0)	(13.0, 94482.0)	(14.0, 108801.0)	(15.0, 121534.0)	(16.0, 135524.0)	(17.0, 150768.0)	(18.0, 169276.0)	(19.0, 188843.0)	(20.0, 208113.0)	(21.0, 228347.0)	(22.0, 259489.0)	(23.0, 309550.0)	(24.0, 388531.0)	(25.0, 492222.0)	(26.0, 621975.0)	(27.0, 789328.0)	(28.0, 992285.0)	(29.0, 1227646.0)	(30.0, 1510978.0)	(31.0, 1860141.0)	(32.0, 2298176.0)	(33.0, 2900549.0)	(34.0, 3853512.0)	(35.0, 5325719.0)	(36.0, 8246954.0)	(37.0, 14724109.0)	(38.0, 17620784.0)	(39.0, 3167455.0)	(40.0, 12987.0)
SRR10215670_2	(2.0, 621462.0)	(3.0, 116484.0)	(4.0, 89975.0)	(5.0, 81648.0)	(6.0, 76611.0)	(7.0, 76795.0)	(8.0, 86056.0)	(9.0, 98908.0)	(10.0, 110628.0)	(11.0, 124111.0)	(12.0, 132688.0)	(13.0, 144792.0)	(14.0, 164083.0)	(15.0, 189824.0)	(16.0, 223492.0)	(17.0, 263393.0)	(18.0, 309155.0)	(19.0, 365209.0)	(20.0, 434109.0)	(21.0, 523795.0)	(22.0, 637080.0)	(23.0, 774480.0)	(24.0, 923091.0)	(25.0, 1085326.0)	(26.0, 1261929.0)	(27.0, 1435168.0)	(28.0, 1598413.0)	(29.0, 1774856.0)	(30.0, 1996584.0)	(31.0, 2301776.0)	(32.0, 2713360.0)	(33.0, 3262115.0)	(34.0, 4119508.0)	(35.0, 5477297.0)	(36.0, 7830549.0)	(37.0, 11894991.0)	(38.0, 12192994.0)	(39.0, 2757493.0)	(40.0, 12871.0)
SRR10215671_1	(2.0, 206.0)	(3.0, 397.0)	(4.0, 895.0)	(5.0, 2039.0)	(6.0, 4778.0)	(7.0, 11609.0)	(8.0, 23082.0)	(9.0, 39481.0)	(10.0, 49803.0)	(11.0, 66905.0)	(12.0, 78228.0)	(13.0, 92880.0)	(14.0, 108683.0)	(15.0, 116327.0)	(16.0, 129757.0)	(17.0, 144717.0)	(18.0, 153297.0)	(19.0, 165424.0)	(20.0, 181571.0)	(21.0, 182694.0)	(22.0, 187247.0)	(23.0, 201030.0)	(24.0, 225605.0)	(25.0, 274155.0)	(26.0, 336820.0)	(27.0, 423683.0)	(28.0, 530781.0)	(29.0, 654339.0)	(30.0, 814195.0)	(31.0, 1016609.0)	(32.0, 1288465.0)	(33.0, 1709329.0)	(34.0, 2388873.0)	(35.0, 3506534.0)	(36.0, 5756807.0)	(37.0, 10763888.0)	(38.0, 14089777.0)	(39.0, 2727607.0)	(40.0, 7483.0)
SRR10215671_2	(2.0, 308471.0)	(3.0, 61989.0)	(4.0, 53388.0)	(5.0, 51819.0)	(6.0, 50373.0)	(7.0, 51835.0)	(8.0, 55744.0)	(9.0, 62285.0)	(10.0, 68756.0)	(11.0, 74451.0)	(12.0, 77793.0)	(13.0, 82485.0)	(14.0, 86832.0)	(15.0, 94948.0)	(16.0, 105138.0)	(17.0, 117810.0)	(18.0, 130622.0)	(19.0, 148850.0)	(20.0, 172139.0)	(21.0, 201703.0)	(22.0, 240726.0)	(23.0, 289363.0)	(24.0, 345062.0)	(25.0, 410111.0)	(26.0, 481847.0)	(27.0, 563570.0)	(28.0, 651774.0)	(29.0, 753675.0)	(30.0, 890788.0)	(31.0, 1094997.0)	(32.0, 1388298.0)	(33.0, 1805440.0)	(34.0, 2485940.0)	(35.0, 3630632.0)	(36.0, 5838912.0)	(37.0, 9982464.0)	(38.0, 12225281.0)	(39.0, 3304882.0)	(40.0, 14807.0)
