Sample	Unique Reads	Duplicate Reads
SRR10215662_1	46972634.0	36773461.0
SRR10215662_2	48496302.0	35249793.0
SRR10215663_1	41269602.0	28264130.0
SRR10215663_2	42302288.0	27231444.0
SRR10215664_1	14939006.0	23846695.0
SRR10215664_2	15214607.0	23571094.0
SRR10215665_1	22706925.0	37904186.0
SRR10215665_2	23444571.0	37166540.0
SRR10215666_1	43177074.0	25229086.0
SRR10215666_2	43731473.0	24674687.0
SRR10215667_1	28336512.0	14863931.0
SRR10215667_2	28729086.0	14471357.0
SRR10215668_1	26763378.0	38277531.0
SRR10215668_2	27691745.0	37349164.0
SRR10215669_1	18851525.0	15004053.0
SRR10215669_2	19097113.0	14758465.0
SRR10215670_1	20341744.0	47941355.0
SRR10215670_2	20884906.0	47398193.0
SRR10215671_1	19896986.0	28559014.0
SRR10215671_2	20430408.0	28025592.0
SRR10215672_1	18665130.0	26472278.0
SRR10215672_2	19410570.0	25726838.0
SRR10215673_1	18277841.0	26378489.0
SRR10215673_2	19047241.0	25609089.0
SRR10215674_1	27689883.0	46437272.0
SRR10215674_2	28503434.0	45623721.0
SRR10215675_1	36968670.0	64400973.0
SRR10215675_2	38503453.0	62866190.0
SRR10215676_1	13094752.0	30078778.0
SRR10215676_2	13402000.0	29771530.0
SRR10215677_1	12258276.0	34093281.0
SRR10215677_2	12626403.0	33725154.0
SRR10215678_1	23398923.0	27648828.0
SRR10215678_2	22227500.0	28820251.0
SRR10215679_1	13530395.0	15847262.0
SRR10215679_2	12947293.0	16430364.0
SRR10215680_1	13664264.0	20983372.0
SRR10215680_2	13996060.0	20651576.0
SRR10215681_1	15105210.0	26349554.0
SRR10215681_2	15596007.0	25858757.0
SRR10215682_1	25827506.0	29844423.0
SRR10215682_2	26625650.0	29046279.0
SRR10215683_1	25515313.0	26955802.0
SRR10215683_2	26056432.0	26414683.0
SRR10215684_1	31323303.0	30240384.0
SRR10215684_2	31682304.0	29881383.0
SRR10215685_1	23831741.0	19478619.0
SRR10215685_2	24396271.0	18914089.0
SRR10215686_1	23488027.0	5160546.0
SRR10215686_2	23330469.0	5318104.0
SRR10215687_1	26091024.0	6603809.0
SRR10215687_2	25863651.0	6831182.0
SRR10215688_1	34100883.0	21578777.0
SRR10215688_2	34569015.0	21110645.0
SRR10215689_1	30717829.0	17651846.0
SRR10215689_2	31102974.0	17266701.0
