Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR10215662_1	(1.0, 48.36016812165334)	(2.0, 12.607669854829373)	(3.0, 2.5583647014035638)	(4.0, 0.7470798559346032)	(5.0, 0.38603192004826803)	(6.0, 0.276289909721377)	(7.0, 0.20798206158730626)	(8.0, 0.18936249896165078)	(9.0, 0.17724987563806283)	('>10', 2.7499340102930234)	('>50', 1.3188862265187535)	('>100', 4.665702232791999)	('>500', 4.07606284070971)	('>1k', 16.5275710417808)	('>5k', 4.307748643624356)	('>10k+', 0.8438962045039013)
SRR10215662_2	(1.0, 50.768778906428324)	(2.0, 11.584611052341927)	(3.0, 2.324062772933876)	(4.0, 0.7172071610709176)	(5.0, 0.3799273601592077)	(6.0, 0.2884602563999972)	(7.0, 0.2092660715422011)	(8.0, 0.2152134020447771)	(9.0, 0.1764384179270019)	('>10', 2.7801745080860094)	('>50', 1.4204194990602512)	('>100', 4.681835252529337)	('>500', 4.125511672829285)	('>1k', 15.790038635120753)	('>5k', 3.8993544054277365)	('>10k+', 0.638700626098623)
SRR10215663_1	(1.0, 52.69543737673623)	(2.0, 10.873071828106728)	(3.0, 2.06825232073087)	(4.0, 0.5798463491314598)	(5.0, 0.3498685065873163)	(6.0, 0.28212964399328266)	(7.0, 0.21759473809936322)	(8.0, 0.18869054509048966)	(9.0, 0.16472766662828595)	('>10', 2.7792641445977573)	('>50', 1.3997984701656545)	('>100', 5.173516925611821)	('>500', 4.634618928738849)	('>1k', 15.499555847166274)	('>5k', 2.737405075357868)	('>10k+', 0.3562216332578841)
SRR10215663_2	(1.0, 54.52740308648379)	(2.0, 10.28954202612265)	(3.0, 1.8741239334345028)	(4.0, 0.5888976638631918)	(5.0, 0.36775021283729953)	(6.0, 0.28319443649338943)	(7.0, 0.262412969306601)	(8.0, 0.18856213903224658)	(9.0, 0.1651346524165078)	('>10', 2.7387970267177644)	('>50', 1.376738601683962)	('>100', 5.2876317920289)	('>500', 4.6589126246416)	('>1k', 14.946016936827547)	('>5k', 2.2640179525049033)	('>10k+', 0.18086394560543664)
SRR10215664_1	(1.0, 33.24791602811644)	(2.0, 6.472933137661033)	(3.0, 2.501179910867572)	(4.0, 1.5718635955838094)	(5.0, 1.06123593136761)	(6.0, 0.7387676676137465)	(7.0, 0.5210328696157212)	(8.0, 0.41909259221843365)	(9.0, 0.32980422384743024)	('>10', 4.1341920611864955)	('>50', 2.2970070538811242)	('>100', 9.133668988787417)	('>500', 7.994240249128007)	('>1k', 24.811157001203274)	('>5k', 4.147350248068201)	('>10k+', 0.6185584408536658)
SRR10215664_2	(1.0, 33.823685407807666)	(2.0, 6.683994643764655)	(3.0, 2.6011601314173074)	(4.0, 1.5958661984627334)	(5.0, 1.0500093009123643)	(6.0, 0.7044766986572607)	(7.0, 0.5340342201302483)	(8.0, 0.41787737270537817)	(9.0, 0.34107022663208747)	('>10', 4.078791257331444)	('>50', 2.3123251865026453)	('>100', 9.374192218144206)	('>500', 8.098560866854047)	('>1k', 24.487440414644563)	('>5k', 3.6195252589879887)	('>10k+', 0.27699059704549545)
SRR10215665_1	(1.0, 32.3081508043421)	(2.0, 6.2958665175521675)	(3.0, 2.4296334672697815)	(4.0, 1.5368913985473704)	(5.0, 1.018222442943539)	(6.0, 0.7839129123998086)	(7.0, 0.6505675720988927)	(8.0, 0.4737499935252869)	(9.0, 0.37252764133161714)	('>10', 3.889957899928842)	('>50', 1.8521138270100455)	('>100', 6.7296902203295605)	('>500', 5.840127836749387)	('>1k', 24.677606597878444)	('>5k', 8.502190775464852)	('>10k+', 2.6387900926284247)
SRR10215665_2	(1.0, 33.473195188945034)	(2.0, 6.3663902265690675)	(3.0, 2.476734424910991)	(4.0, 1.5501051295113386)	(5.0, 1.0498268411931817)	(6.0, 0.7684913955822308)	(7.0, 0.6207135737931241)	(8.0, 0.449488659043518)	(9.0, 0.3840713614208098)	('>10', 3.906677949633626)	('>50', 1.8612106858492734)	('>100', 6.963657384255124)	('>500', 5.947196497160837)	('>1k', 24.494436426101014)	('>5k', 7.774444295921812)	('>10k+', 1.9133599601091438)
SRR10215666_1	(1.0, 55.23944218339083)	(2.0, 12.606947362750365)	(3.0, 2.5936255175041585)	(4.0, 0.9465589862960172)	(5.0, 0.5417204535299704)	(6.0, 0.3822460934349228)	(7.0, 0.30869140864358835)	(8.0, 0.2306121809463917)	(9.0, 0.2343289853783214)	('>10', 2.947240981087063)	('>50', 1.419268699527398)	('>100', 5.160120462587008)	('>500', 4.424964690211273)	('>1k', 11.683948568435433)	('>5k', 1.1295802245285889)	('>10k+', 0.15070320174854318)
SRR10215666_2	(1.0, 56.33628851731376)	(2.0, 12.147706541051674)	(3.0, 2.467856954815401)	(4.0, 0.898231840226478)	(5.0, 0.5478582054840956)	(6.0, 0.3902662968726076)	(7.0, 0.28278141495491727)	(8.0, 0.25029335870082686)	(9.0, 0.2159805395204275)	('>10', 2.950067105652011)	('>50', 1.3747423264506418)	('>100', 5.181687391279464)	('>500', 4.470482556322553)	('>1k', 11.50271909555197)	('>5k', 0.8940777306938615)	('>10k+', 0.08896012510927383)
SRR10215667_1	(1.0, 59.72924026431339)	(2.0, 9.302019495055692)	(3.0, 1.702168528169898)	(4.0, 0.7288580509064277)	(5.0, 0.4557092082993362)	(6.0, 0.3391793397362924)	(7.0, 0.27310670505038753)	(8.0, 0.24191717074084945)	(9.0, 0.2097660005065076)	('>10', 3.1468188864468303)	('>50', 1.5492730012810645)	('>100', 6.838374973878734)	('>500', 5.603710165969383)	('>1k', 9.589167262095295)	('>5k', 0.25248915749106315)	('>10k+', 0.03820179005869147)
SRR10215667_2	(1.0, 60.89398104548097)	(2.0, 8.869966808995656)	(3.0, 1.5803283067500322)	(4.0, 0.7239998993780534)	(5.0, 0.445183686805614)	(6.0, 0.3109858323295739)	(7.0, 0.2646452299128494)	(8.0, 0.24556375838312225)	(9.0, 0.22377749090772467)	('>10', 3.260108022658232)	('>50', 1.6286307941907285)	('>100', 6.904431707474916)	('>500', 5.531340448076812)	('>1k', 8.981912078067596)	('>5k', 0.1351448905883952)	('>10k+', 0.0)
SRR10215668_1	(1.0, 36.30070966167326)	(2.0, 7.307483837266078)	(3.0, 1.5793760547537634)	(4.0, 0.638890487757461)	(5.0, 0.4546893111129829)	(6.0, 0.3429189776314481)	(7.0, 0.29446464332164596)	(8.0, 0.2572869926171295)	(9.0, 0.1925193700228915)	('>10', 3.7352502658443565)	('>50', 2.1958761886441462)	('>100', 7.426165534269715)	('>500', 5.810888527939611)	('>1k', 22.731129773172025)	('>5k', 8.009503693931643)	('>10k+', 2.7228466800418927)
SRR10215668_2	(1.0, 37.892012940936695)	(2.0, 6.951632818757989)	(3.0, 1.5307061813791403)	(4.0, 0.7083968094788853)	(5.0, 0.45156468934462785)	(6.0, 0.33408858941553776)	(7.0, 0.2788410091296684)	(8.0, 0.270222123146106)	(9.0, 0.23129443147506332)	('>10', 3.92811270318416)	('>50', 2.2592904776215295)	('>100', 7.594481487236681)	('>500', 5.913312426812416)	('>1k', 22.529278961095574)	('>5k', 7.288779935646667)	('>10k+', 1.837984415338989)
SRR10215669_1	(1.0, 51.351524361699894)	(2.0, 6.37004172894182)	(3.0, 1.3032749812814632)	(4.0, 0.6924863822520765)	(5.0, 0.4993639517025923)	(6.0, 0.3740749574358172)	(7.0, 0.32091788271513594)	(8.0, 0.26286062312974967)	(9.0, 0.22103903919623724)	('>10', 3.7654616536654655)	('>50', 2.0631962259096936)	('>100', 9.08478882997781)	('>500', 7.530169781155645)	('>1k', 15.188142682148339)	('>5k', 0.9391433781254803)	('>10k+', 0.033513540662707085)
SRR10215669_2	(1.0, 52.22827028589937)	(2.0, 6.094584365797319)	(3.0, 1.2959739642881407)	(4.0, 0.6617558986976435)	(5.0, 0.4927533520331183)	(6.0, 0.3836348627044637)	(7.0, 0.3103289109351167)	(8.0, 0.24068725582810113)	(9.0, 0.21505466627892883)	('>10', 3.7877485721725077)	('>50', 2.0778400625746802)	('>100', 9.187655865591278)	('>500', 7.55153319339357)	('>1k', 14.83754972587144)	('>5k', 0.6346290179343297)	('>10k+', 0.0)
SRR10215670_1	(1.0, 27.437420412475692)	(2.0, 3.130769178384928)	(3.0, 0.7439942867982459)	(4.0, 0.4128724891923243)	(5.0, 0.2951573986939574)	(6.0, 0.23362362504259054)	(7.0, 0.1969473447632221)	(8.0, 0.17923814574390876)	(9.0, 0.14947818657292436)	('>10', 3.5858776182949166)	('>50', 2.6873959147822566)	('>100', 10.030451974854472)	('>500', 6.787016332053184)	('>1k', 25.793216886804966)	('>5k', 11.42085335346393)	('>10k+', 6.915686852078777)
SRR10215670_2	(1.0, 28.298549375415917)	(2.0, 3.0143361620384743)	(3.0, 0.7219714403619442)	(4.0, 0.41578982141486764)	(5.0, 0.27940742445823163)	(6.0, 0.23554922422717395)	(7.0, 0.1876964970809322)	(8.0, 0.17297972009429763)	(9.0, 0.16321940463531162)	('>10', 3.6410925898890625)	('>50', 2.714635305187675)	('>100', 9.985061632391082)	('>500', 6.755325114382553)	('>1k', 26.49991862528133)	('>5k', 11.379577500109809)	('>10k+', 5.534890163031416)
SRR10215671_1	(1.0, 33.307701943272285)	(2.0, 11.503036336849432)	(3.0, 3.3868966802118226)	(4.0, 1.2471334979396929)	(5.0, 0.6609342611585813)	(6.0, 0.5017399369452614)	(7.0, 0.34205824697082504)	(8.0, 0.2803543775315724)	(9.0, 0.2253098560122108)	('>10', 3.2014476129753846)	('>50', 1.8023547846971129)	('>100', 7.236901866462104)	('>500', 6.438464907691756)	('>1k', 23.309379909157506)	('>5k', 5.364494147054722)	('>10k+', 1.1917916350694824)
SRR10215671_2	(1.0, 34.48204968400969)	(2.0, 11.450294067576834)	(3.0, 3.2708424051295952)	(4.0, 1.2164063337755275)	(5.0, 0.6814973921457382)	(6.0, 0.45571193606269284)	(7.0, 0.32996984005438273)	(8.0, 0.2727231308644805)	(9.0, 0.23341870336012369)	('>10', 3.280468098359864)	('>50', 1.8112245255771284)	('>100', 7.409999843324627)	('>500', 6.55046328770922)	('>1k', 23.014001027703156)	('>5k', 4.77045998208684)	('>10k+', 0.7704697422600253)
SRR10215672_1	(1.0, 34.123828896636915)	(2.0, 11.229872242358505)	(3.0, 2.8150045399085912)	(4.0, 0.9053449382767191)	(5.0, 0.41880874509905525)	(6.0, 0.3134661651838829)	(7.0, 0.26522266079709084)	(8.0, 0.20209425269499237)	(9.0, 0.1823234012456067)	('>10', 3.107735243935021)	('>50', 1.6689249407799767)	('>100', 7.245781225506308)	('>500', 7.072589771352616)	('>1k', 24.57954256607355)	('>5k', 4.84252746270138)	('>10k+', 1.0269329474496969)
SRR10215672_2	(1.0, 35.83969149963299)	(2.0, 11.155224345195746)	(3.0, 2.703458481815631)	(4.0, 0.8917238915328772)	(5.0, 0.44249802632732854)	(6.0, 0.33567776060011517)	(7.0, 0.24977381376474497)	(8.0, 0.2192576914089511)	(9.0, 0.19001656764372224)	('>10', 3.1634463949080005)	('>50', 1.6967636386933254)	('>100', 7.395978132593061)	('>500', 7.22632684497881)	('>1k', 23.9862023039741)	('>5k', 3.892666192276805)	('>10k+', 0.6112944146537456)
SRR10215673_1	(1.0, 34.51268862681711)	(2.0, 9.935192620337201)	(3.0, 2.3594742847334675)	(4.0, 0.8260665745078909)	(5.0, 0.44702700765557646)	(6.0, 0.3059398207321637)	(7.0, 0.24163678789507892)	(8.0, 0.213845635023945)	(9.0, 0.18530091734361695)	('>10', 3.170475047025356)	('>50', 1.7071286033504582)	('>100', 7.3338144541998425)	('>500', 7.243134661046461)	('>1k', 25.279863966795844)	('>5k', 5.114947819893128)	('>10k+', 1.1234631726428723)
SRR10215673_2	(1.0, 36.31981944854404)	(2.0, 9.808797085854128)	(3.0, 2.3079117934834645)	(4.0, 0.7811092721693644)	(5.0, 0.4475871930154074)	(6.0, 0.3092059220446101)	(7.0, 0.2592318947063521)	(8.0, 0.2272976354275827)	(9.0, 0.18309277176465502)	('>10', 3.2217085506062815)	('>50', 1.7394881332449041)	('>100', 7.535453716231798)	('>500', 7.272036916087014)	('>1k', 24.727652997181217)	('>5k', 4.221096407683275)	('>10k+', 0.6385102619559377)
SRR10215674_1	(1.0, 34.62617984671459)	(2.0, 3.456653430808696)	(3.0, 0.9004298791557569)	(4.0, 0.6125838107844539)	(5.0, 0.4601034406685304)	(6.0, 0.3735224953923514)	(7.0, 0.34999196223040524)	(8.0, 0.2907554878233147)	(9.0, 0.2406173400495433)	('>10', 3.9393803616374576)	('>50', 2.1472944323869982)	('>100', 7.28781279280914)	('>500', 5.327624609804384)	('>1k', 24.332888691658688)	('>5k', 10.483157227321511)	('>10k+', 5.171004190754272)
SRR10215674_2	(1.0, 35.81454731376324)	(2.0, 3.2626376121420977)	(3.0, 0.9036139686775974)	(4.0, 0.5866229419550679)	(5.0, 0.5022129385250831)	(6.0, 0.39131914267299067)	(7.0, 0.31716126422576624)	(8.0, 0.29931354685607986)	(9.0, 0.2575550354929683)	('>10', 3.9831807894254503)	('>50', 2.185092056096173)	('>100', 7.414489362669737)	('>500', 5.445439771353282)	('>1k', 24.0683497017247)	('>5k', 10.210338958609388)	('>10k+', 4.358125595810424)
SRR10215675_1	(1.0, 33.49464053565145)	(2.0, 3.987537120578641)	(3.0, 0.9758734175964414)	(4.0, 0.5765919124262944)	(5.0, 0.4205681916767996)	(6.0, 0.38175427778094956)	(7.0, 0.3147122763522875)	(8.0, 0.26655753887477823)	(9.0, 0.24101569006789383)	('>10', 3.6305694043995773)	('>50', 1.8999092995430096)	('>100', 6.561712699793897)	('>500', 4.451314062177195)	('>1k', 21.317223779537713)	('>5k', 11.799171760676622)	('>10k+', 9.680848032866574)
SRR10215675_2	(1.0, 35.07910339353409)	(2.0, 3.807119317233395)	(3.0, 0.9533295063576421)	(4.0, 0.5970170140286618)	(5.0, 0.46513884258147187)	(6.0, 0.39928016685481793)	(7.0, 0.34089095441621725)	(8.0, 0.26155899181173725)	(9.0, 0.24216735062396666)	('>10', 3.749132934096701)	('>50', 1.932054170828535)	('>100', 6.678511714837818)	('>500', 4.621181721325906)	('>1k', 21.428439514831116)	('>5k', 11.27243032061581)	('>10k+', 8.172644086021997)
SRR10215676_1	(1.0, 27.39042198215608)	(2.0, 3.8710767379393545)	(3.0, 1.278896919771773)	(4.0, 0.6963710898679993)	(5.0, 0.4600546741803176)	(6.0, 0.2976013704559867)	(7.0, 0.22555641605236276)	(8.0, 0.18574074106870672)	(9.0, 0.17643840271290473)	('>10', 2.1848983189395725)	('>50', 1.4523558233224485)	('>100', 7.705723452920929)	('>500', 7.828429113326926)	('>1k', 31.096497936292668)	('>5k', 10.713412895796615)	('>10k+', 4.436524125195456)
SRR10215676_2	(1.0, 28.13350858232212)	(2.0, 3.830962680493776)	(3.0, 1.3139548616420866)	(4.0, 0.6506998499589235)	(5.0, 0.44040507203286106)	(6.0, 0.2911826368174506)	(7.0, 0.22668539658652165)	(8.0, 0.17970059674797936)	(9.0, 0.15035460436051334)	('>10', 2.10588454193211)	('>50', 1.4653129368694053)	('>100', 7.877756279351831)	('>500', 8.148414934304189)	('>1k', 31.773087095021978)	('>5k', 10.156120814171505)	('>10k+', 3.2559691173867154)
SRR10215677_1	(1.0, 23.647851527600135)	(2.0, 3.4500320930165107)	(3.0, 1.304058453147409)	(4.0, 0.724517993349961)	(5.0, 0.48278017436923293)	(6.0, 0.33768825785064654)	(7.0, 0.2737516224150515)	(8.0, 0.2113630811954212)	(9.0, 0.16493814752137467)	('>10', 2.606504232664192)	('>50', 1.8630514671962688)	('>100', 9.446137793502036)	('>500', 7.990085498663513)	('>1k', 29.427175478383116)	('>5k', 10.052597903981503)	('>10k+', 8.01746627514365)
SRR10215677_2	(1.0, 24.4588809082258)	(2.0, 3.4451390047338797)	(3.0, 1.3016945863819331)	(4.0, 0.6981815537865643)	(5.0, 0.4648172731544188)	(6.0, 0.3327890061139963)	(7.0, 0.26070262446250436)	(8.0, 0.19823632576816408)	(9.0, 0.17493114264418794)	('>10', 2.600254781719748)	('>50', 1.8658093405372111)	('>100', 9.551205351961888)	('>500', 8.287408211820974)	('>1k', 30.172690161986193)	('>5k', 9.535239122719043)	('>10k+', 6.652020603983547)
SRR10215678_1	(1.0, 42.818995844395104)	(2.0, 4.385251747115795)	(3.0, 0.7990761555809492)	(4.0, 0.3900162190907492)	(5.0, 0.2843878605090904)	(6.0, 0.24212420450456543)	(7.0, 0.22426279380956615)	(8.0, 0.18318612563908473)	(9.0, 0.1686971752610741)	('>10', 4.079892499919322)	('>50', 2.63495170811094)	('>100', 9.823541365666271)	('>500', 7.185238454757507)	('>1k', 21.837409845153687)	('>5k', 4.290525620702452)	('>10k+', 0.6524423797838569)
SRR10215678_2	(1.0, 40.488912614264585)	(2.0, 4.562035491133749)	(3.0, 0.7697014190121726)	(4.0, 0.3804076553037601)	(5.0, 0.2597839940666904)	(6.0, 0.22731271288622001)	(7.0, 0.18870064747573448)	(8.0, 0.16342408727689647)	(9.0, 0.14817498092682313)	('>10', 3.6616114645214206)	('>50', 2.498354425328472)	('>100', 9.261881556024774)	('>500', 7.095453619216863)	('>1k', 23.847925797952357)	('>5k', 5.549702297022243)	('>10k+', 0.8966172375870817)
SRR10215679_1	(1.0, 42.98615259980779)	(2.0, 4.1510702199555)	(3.0, 0.7931435143989122)	(4.0, 0.43752302084375977)	(5.0, 0.35148110930207543)	(6.0, 0.2990966210252115)	(7.0, 0.3041343207360504)	(8.0, 0.27420538166534886)	(9.0, 0.2613026741306366)	('>10', 5.6250012728265)	('>50', 3.6615032337090576)	('>100', 13.564344751987345)	('>500', 9.261138518355741)	('>1k', 16.903013987719195)	('>5k', 1.046739589056347)	('>10k+', 0.08014918448046088)
SRR10215679_2	(1.0, 40.98554371439659)	(2.0, 4.283278257608765)	(3.0, 0.7945355375626404)	(4.0, 0.42110316261334857)	(5.0, 0.34907697530597315)	(6.0, 0.25819093728369386)	(7.0, 0.265710681010338)	(8.0, 0.23816153107638635)	(9.0, 0.2215119082305778)	('>10', 5.179122471667321)	('>50', 3.432503973130064)	('>100', 13.099005521226442)	('>500', 9.543326083110546)	('>1k', 19.600054142313194)	('>5k', 1.2161104619266339)	('>10k+', 0.11276464153754137)
SRR10215680_1	(1.0, 36.07486572038265)	(2.0, 4.279386401875045)	(3.0, 1.6144914321940786)	(4.0, 0.7912207373568729)	(5.0, 0.537867638680541)	(6.0, 0.380050347463504)	(7.0, 0.3041954850459465)	(8.0, 0.20886694880701753)	(9.0, 0.18425586459392365)	('>10', 2.762306137682661)	('>50', 1.6943447846189725)	('>100', 9.15201928883506)	('>500', 8.760562461537354)	('>1k', 25.944268289400284)	('>5k', 5.0780071854216455)	('>10k+', 2.2332912761045125)
SRR10215680_2	(1.0, 37.04028336486906)	(2.0, 4.364872210808128)	(3.0, 1.497488703336721)	(4.0, 0.8055773596719036)	(5.0, 0.506218855848022)	(6.0, 0.3757553143138633)	(7.0, 0.2894659570288872)	(8.0, 0.20700363253267523)	(9.0, 0.18377382570472575)	('>10', 2.6574012230670645)	('>50', 1.6645825659531952)	('>100', 9.357984971625756)	('>500', 8.972067897886072)	('>1k', 26.080054447887058)	('>5k', 4.235941188193621)	('>10k+', 1.7615284812730878)
SRR10215681_1	(1.0, 33.20781265282896)	(2.0, 4.255430686856318)	(3.0, 1.4275008044526314)	(4.0, 0.7862452812881162)	(5.0, 0.45701485859983665)	(6.0, 0.349497644268537)	(7.0, 0.2526598481423522)	(8.0, 0.21408661630241904)	(9.0, 0.17310166074107372)	('>10', 2.381532780817099)	('>50', 1.455847571870057)	('>100', 7.966161328701986)	('>500', 7.874112229668552)	('>1k', 28.281089858587244)	('>5k', 7.659134142278868)	('>10k+', 3.2587720345958346)
SRR10215681_2	(1.0, 34.43824374896051)	(2.0, 4.158643537799522)	(3.0, 1.4552759472197605)	(4.0, 0.7660968290239859)	(5.0, 0.477712023636698)	(6.0, 0.3391096617656778)	(7.0, 0.27929791305377677)	(8.0, 0.2049164452692632)	(9.0, 0.13652274788121013)	('>10', 2.323887065937619)	('>50', 1.459314908540077)	('>100', 8.009588716121744)	('>500', 8.11149481730162)	('>1k', 28.645971462583937)	('>5k', 6.811215163174214)	('>10k+', 2.38270901173037)
SRR10215682_1	(1.0, 42.91374471665618)	(2.0, 5.371709304290128)	(3.0, 0.9040400798532768)	(4.0, 0.37701569750121816)	(5.0, 0.29739709128799685)	(6.0, 0.24204176505666888)	(7.0, 0.1960695946386897)	(8.0, 0.19155843292760266)	(9.0, 0.15085654756156602)	('>10', 3.187601591741293)	('>50', 1.7561800590674734)	('>100', 6.7602878130241475)	('>500', 6.145491029351406)	('>1k', 23.92694286426148)	('>5k', 6.200063835991595)	('>10k+', 1.378999576789298)
SRR10215682_2	(1.0, 44.42059552442859)	(2.0, 5.168832528573133)	(3.0, 0.9042567012650551)	(4.0, 0.437736815622802)	(5.0, 0.2875552104584808)	(6.0, 0.23971129013391373)	(7.0, 0.2015380026153338)	(8.0, 0.20320402329251855)	(9.0, 0.18172038988037986)	('>10', 3.341227159938809)	('>50', 1.78425535514922)	('>100', 7.131011023625729)	('>500', 6.314954791981389)	('>1k', 23.52141118384269)	('>5k', 5.205403524176533)	('>10k+', 0.6565864750154609)
SRR10215683_1	(1.0, 44.84451355416524)	(2.0, 6.005966487071759)	(3.0, 0.928330647503977)	(4.0, 0.3597526243039548)	(5.0, 0.26596023380727757)	(6.0, 0.23461715662713278)	(7.0, 0.18413926248408213)	(8.0, 0.15401126035462498)	(9.0, 0.15068339791058274)	('>10', 3.088179046184917)	('>50', 1.81394007679423)	('>100', 7.121582613841356)	('>500', 6.524151991519467)	('>1k', 22.545470935084275)	('>5k', 4.900058517263283)	('>10k+', 0.8786421950840504)
SRR10215683_2	(1.0, 45.94492169716766)	(2.0, 5.844350712781551)	(3.0, 0.932681828551932)	(4.0, 0.3458529571630659)	(5.0, 0.2912248823215767)	(6.0, 0.24862867475724942)	(7.0, 0.20519897077357482)	(8.0, 0.155185105023865)	(9.0, 0.15539495191196054)	('>10', 3.166911313996801)	('>50', 1.8305634695092974)	('>100', 7.296983937811523)	('>500', 6.570628706865297)	('>1k', 22.46688236783786)	('>5k', 4.104283731297172)	('>10k+', 0.4403066922294411)
SRR10215684_1	(1.0, 47.19006979277221)	(2.0, 5.550728113023632)	(3.0, 0.9555291316593516)	(4.0, 0.49444110979148775)	(5.0, 0.34753906843923676)	(6.0, 0.2839068121573104)	(7.0, 0.2608454079071237)	(8.0, 0.22339387897151838)	(9.0, 0.2055042232443989)	('>10', 3.7635520720020064)	('>50', 2.3321895698295907)	('>100', 8.121123117628919)	('>500', 5.787981438578236)	('>1k', 18.816377317288932)	('>5k', 4.538390211044049)	('>10k+', 1.1284287356620062)
SRR10215684_2	(1.0, 47.81271547750239)	(2.0, 5.4302974593998306)	(3.0, 0.9668678709339504)	(4.0, 0.513586098250973)	(5.0, 0.37191536149557053)	(6.0, 0.33272483565051064)	(7.0, 0.2690585783454749)	(8.0, 0.2075435438528915)	(9.0, 0.20547577223203445)	('>10', 3.7868769974125653)	('>50', 2.343619927741697)	('>100', 8.200316480227736)	('>500', 5.877695081908751)	('>1k', 19.11325515502426)	('>5k', 4.043817939797233)	('>10k+', 0.52423342022399)
