Sample	0	1	2	3	4	5	6	7	8	9	10
SRR10215662_1	(100, 83746095.0)										
SRR10215662_2	(100, 83746095.0)										
SRR10215663_1	(100, 69533732.0)										
SRR10215663_2	(100, 69533732.0)										
SRR10215664_1	(100, 38785701.0)										
SRR10215664_2	(100, 38785701.0)										
SRR10215665_1	(100, 60611111.0)										
SRR10215665_2	(100, 60611111.0)										
SRR10215666_1	(100, 68406160.0)										
SRR10215666_2	(100, 68406160.0)										
SRR10215667_1	(100, 43200443.0)										
SRR10215667_2	(100, 43200443.0)										
SRR10215668_1	(100, 65040909.0)										
SRR10215668_2	(100, 65040909.0)										
SRR10215669_1	(100, 33855578.0)										
SRR10215669_2	(100, 33855578.0)										
SRR10215670_1	(100, 68283099.0)										
SRR10215670_2	(100, 68283099.0)										
SRR10215671_1	(100, 48456000.0)										
SRR10215671_2	(100, 48456000.0)										
SRR10215672_1	(100, 45137408.0)										
SRR10215672_2	(100, 45137408.0)										
SRR10215673_1	(100, 44656330.0)										
SRR10215673_2	(100, 44656330.0)										
SRR10215674_1	(100, 74127155.0)										
SRR10215674_2	(100, 74127155.0)										
SRR10215675_1	(100, 101369643.0)										
SRR10215675_2	(100, 101369643.0)										
SRR10215676_1	(32, 604724.0)	(33, 42219.0)	(34, 84812.0)	(35, 194208.0)	(36, 360483.0)	(37, 446223.0)	(38, 571256.0)	(39, 1176364.0)	(40, 3383878.0)	(41, 10233853.0)	(42, 26075510.0)
SRR10215676_2	(32, 598099.0)	(33, 41790.0)	(34, 83684.0)	(35, 192293.0)	(36, 357431.0)	(37, 443015.0)	(38, 569410.0)	(39, 1178221.0)	(40, 3363853.0)	(41, 10151387.0)	(42, 26194347.0)
SRR10215677_1	(32, 1750215.0)	(33, 110097.0)	(34, 214751.0)	(35, 481475.0)	(36, 863450.0)	(37, 1019195.0)	(38, 1139882.0)	(39, 1858130.0)	(40, 4184605.0)	(41, 11190630.0)	(42, 23539127.0)
SRR10215677_2	(32, 1736210.0)	(33, 109018.0)	(34, 212466.0)	(35, 477097.0)	(36, 856152.0)	(37, 1010674.0)	(38, 1132095.0)	(39, 1860829.0)	(40, 4190984.0)	(41, 11182464.0)	(42, 23583568.0)
SRR10215678_1	(100, 51047751.0)										
SRR10215678_2	(100, 51047751.0)										
SRR10215679_1	(100, 29377657.0)										
SRR10215679_2	(100, 29377657.0)										
SRR10215680_1	(32, 732602.0)	(33, 47817.0)	(34, 92484.0)	(35, 202518.0)	(36, 340212.0)	(37, 407935.0)	(38, 498709.0)	(39, 1021794.0)	(40, 2733235.0)	(41, 8282949.0)	(42, 20287381.0)
SRR10215680_2	(32, 729948.0)	(33, 47570.0)	(34, 92073.0)	(35, 201242.0)	(36, 338265.0)	(37, 405894.0)	(38, 497337.0)	(39, 1019709.0)	(40, 2736074.0)	(41, 8278442.0)	(42, 20301082.0)
SRR10215681_1	(32, 766034.0)	(33, 51716.0)	(34, 99283.0)	(35, 211600.0)	(36, 351610.0)	(37, 425257.0)	(38, 533264.0)	(39, 1134169.0)	(40, 3200978.0)	(41, 9882506.0)	(42, 24798347.0)
SRR10215681_2	(32, 761317.0)	(33, 51209.0)	(34, 98524.0)	(35, 209700.0)	(36, 348588.0)	(37, 422793.0)	(38, 532632.0)	(39, 1136299.0)	(40, 3188692.0)	(41, 9819873.0)	(42, 24885137.0)
SRR10215682_1	(100, 55671929.0)										
SRR10215682_2	(100, 55671929.0)										
SRR10215683_1	(100, 52471115.0)										
SRR10215683_2	(100, 52471115.0)										
SRR10215684_1	(100, 61563687.0)										
SRR10215684_2	(100, 61563687.0)										
SRR10215685_1	(100, 43310360.0)										
SRR10215685_2	(100, 43310360.0)										
SRR10215686_1	(100, 28648573.0)										
SRR10215686_2	(100, 28648573.0)										
SRR10215687_1	(100, 32694833.0)										
SRR10215687_2	(100, 32694833.0)										
SRR10215688_1	(100, 55679660.0)										
SRR10215688_2	(100, 55679660.0)										
SRR10215689_1	(100, 48369675.0)										
SRR10215689_2	(100, 48369675.0)										
