Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR10215662_1	SRR10215662_1.fastq	Conventional base calls	Sanger / Illumina 1.9	83746095.0	0.0	100.0	45.0	56.089341836464534	100.0	100	pass	pass	fail	pass	warn	warn	pass	pass	warn	pass	fail
SRR10215662_2	SRR10215662_2.fastq	Conventional base calls	Sanger / Illumina 1.9	83746095.0	0.0	100.0	45.0	57.90873153069751	100.0	100	pass	fail	warn	pass	warn	pass	pass	pass	warn	pass	fail
SRR10215663_1	SRR10215663_1.fastq	Conventional base calls	Sanger / Illumina 1.9	69533732.0	0.0	100.0	45.0	59.35191508535817	100.0	100	pass	pass	pass	pass	warn	warn	pass	pass	warn	pass	fail
SRR10215663_2	SRR10215663_2.fastq	Conventional base calls	Sanger / Illumina 1.9	69533732.0	0.0	100.0	45.0	60.83707360847151	100.0	100	pass	fail	pass	pass	warn	pass	pass	pass	warn	pass	fail
SRR10215664_1	SRR10215664_1.fastq	Conventional base calls	Sanger / Illumina 1.9	38785701.0	0.0	100.0	48.0	38.51678583099465	100.0	100	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
SRR10215664_2	SRR10215664_2.fastq	Conventional base calls	Sanger / Illumina 1.9	38785701.0	0.0	100.0	48.0	39.22735991286446	100.0	100	pass	fail	pass	pass	warn	pass	pass	pass	fail	pass	fail
SRR10215665_1	SRR10215665_1.fastq	Conventional base calls	Sanger / Illumina 1.9	60611111.0	0.0	100.0	47.0	37.46330372025033	100.0	100	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
SRR10215665_2	SRR10215665_2.fastq	Conventional base calls	Sanger / Illumina 1.9	60611111.0	0.0	100.0	47.0	38.68031794089925	100.0	100	pass	fail	warn	pass	warn	pass	pass	pass	fail	pass	fail
SRR10215666_1	SRR10215666_1.fastq	Conventional base calls	Sanger / Illumina 1.9	68406160.0	0.0	100.0	45.0	63.118691610954336	100.0	100	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	fail
SRR10215666_2	SRR10215666_2.fastq	Conventional base calls	Sanger / Illumina 1.9	68406160.0	0.0	100.0	45.0	63.929143835730486	100.0	100	pass	fail	pass	pass	warn	pass	pass	pass	warn	pass	fail
SRR10215667_1	SRR10215667_1.fastq	Conventional base calls	Sanger / Illumina 1.9	43200443.0	0.0	100.0	45.0	65.59310458067905	100.0	100	pass	pass	fail	pass	warn	warn	pass	pass	warn	pass	fail
SRR10215667_2	SRR10215667_2.fastq	Conventional base calls	Sanger / Illumina 1.9	43200443.0	0.0	100.0	45.0	66.50183074120697	100.0	100	pass	fail	warn	pass	warn	pass	pass	pass	warn	pass	fail
SRR10215668_1	SRR10215668_1.fastq	Conventional base calls	Sanger / Illumina 1.9	65040909.0	0.0	100.0	45.0	41.148530047508416	100.0	100	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	fail
