Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR10215662_1	43.910658163535466	45.0	100.0	100	18.181818181818183	83.746095
SRR10215662_2	42.09126846930249	45.0	100.0	100	18.181818181818183	83.746095
SRR10215663_1	40.64808491464183	45.0	100.0	100	9.090909090909092	69.533732
SRR10215663_2	39.16292639152849	45.0	100.0	100	18.181818181818183	69.533732
SRR10215664_1	61.48321416900535	48.0	100.0	100	18.181818181818183	38.785700999999996
SRR10215664_2	60.77264008713554	48.0	100.0	100	27.27272727272727	38.785700999999996
SRR10215665_1	62.53669627974967	47.0	100.0	100	18.181818181818183	60.611110999999994
SRR10215665_2	61.31968205910075	47.0	100.0	100	27.27272727272727	60.611110999999994
SRR10215666_1	36.881308389045664	45.0	100.0	100	9.090909090909092	68.40616
SRR10215666_2	36.070856164269514	45.0	100.0	100	18.181818181818183	68.40616
SRR10215667_1	34.406895419320946	45.0	100.0	100	18.181818181818183	43.200443
SRR10215667_2	33.49816925879303	45.0	100.0	100	18.181818181818183	43.200443
SRR10215668_1	58.851469952491584	45.0	100.0	100	36.36363636363637	65.040909
SRR10215668_2	57.42411149359386	45.0	100.0	100	36.36363636363637	65.040909
SRR10215669_1	44.31781711110405	45.0	100.0	100	9.090909090909092	33.855578
SRR10215669_2	43.59241812812704	46.0	100.0	100	27.27272727272727	33.855578
SRR10215670_1	70.20969564711135	46.0	100.0	100	27.27272727272727	68.28309899999999
SRR10215670_2	69.41423932105195	46.0	100.0	100	36.36363636363637	68.28309899999999
SRR10215671_1	58.93803636243797	46.0	100.0	100	27.27272727272727	48.455999999999996
SRR10215671_2	57.837196749816435	46.0	100.0	100	27.27272727272727	48.455999999999996
SRR10215672_1	58.64820316463227	46.0	100.0	100	18.181818181818183	45.137408
SRR10215672_2	56.99671217410781	46.0	100.0	100	27.27272727272727	45.137408
SRR10215673_1	59.06998877018937	46.0	100.0	100	18.181818181818183	44.65633
SRR10215673_2	57.347053800770084	46.0	100.0	100	27.27272727272727	44.65633
SRR10215674_1	62.645425960888375	45.0	100.0	100	36.36363636363637	74.127155
SRR10215674_2	61.54791980938479	46.0	100.0	100	36.36363636363637	74.127155
SRR10215675_1	63.53082823159515	45.0	100.0	100	27.27272727272727	101.369643
SRR10215675_2	62.0167822595248	46.0	100.0	100	36.36363636363637	101.369643
SRR10215676_1	69.66949180008896	47.0	41.17368579775617	42	20.0	43.17353
SRR10215676_2	68.95783348417717	47.0	41.17950466408468	42	20.0	43.17353
SRR10215677_1	73.55369158479974	50.0	40.62891792394374	42	40.0	46.351557
SRR10215677_2	72.75948650103426	50.0	40.63546654969972	42	40.0	46.351557
SRR10215678_1	54.162676977738364	46.0	100.0	100	36.36363636363637	51.047751
SRR10215678_2	56.457435359591074	46.0	100.0	100	36.36363636363637	51.047751
SRR10215679_1	53.94324685080879	46.0	100.0	100	36.36363636363637	29.377657
SRR10215679_2	55.928097659525726	46.0	100.0	100	36.36363636363637	29.377657
SRR10215680_1	60.56220533036933	48.0	41.05319788628581	42	30.0	34.647636
SRR10215680_2	59.604574544035636	48.0	41.05531756914094	42	30.0	34.647636
SRR10215681_1	63.562187497029754	48.0	41.120554202166005	42	30.0	41.454764
SRR10215681_2	62.37825251935531	48.0	41.12501448566925	42	30.0	41.454764
SRR10215682_1	53.6076695007809	45.0	100.0	100	18.181818181818183	55.671929
SRR10215682_2	52.174012453716685	46.0	100.0	100	27.27272727272727	55.671929
SRR10215683_1	51.372651197587565	46.0	100.0	100	18.181818181818183	52.471115
SRR10215683_2	50.34137995069127	46.0	100.0	100	18.181818181818183	52.471115
SRR10215684_1	49.12049031917726	45.0	100.0	100	18.181818181818183	61.563686999999994
SRR10215684_2	48.53735187151656	46.0	100.0	100	27.27272727272727	61.563686999999994
SRR10215685_1	44.97450441522105	46.0	100.0	100	9.090909090909092	43.310359999999996
SRR10215685_2	43.671050353649996	46.0	100.0	100	27.27272727272727	43.310359999999996
SRR10215686_1	18.013274808309916	50.0	100.0	100	27.27272727272727	28.648573
SRR10215686_2	18.56324480204563	50.0	100.0	100	27.27272727272727	28.648573
SRR10215687_1	20.198329136327217	48.0	100.0	100	27.27272727272727	32.694832999999996
SRR10215687_2	20.893769080791998	49.0	100.0	100	27.27272727272727	32.694832999999996
SRR10215688_1	38.755225114314904	46.0	100.0	100	9.090909090909092	55.67966
SRR10215688_2	37.91446549405095	46.0	100.0	100	9.090909090909092	55.67966
SRR10215689_1	36.49362287262781	46.0	100.0	100	9.090909090909092	48.369675
SRR10215689_2	35.69736852648748	46.0	100.0	100	18.181818181818183	48.369675
