.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR10215662_1_val_1	1	1	0.25	1	0.25	1	1	0.5	0.5	1	1
SRR10215662_2_val_2	1	1	0.5	1	0.25	1	1	0.5	0.5	1	1
SRR10215663_1_val_1	1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR10215663_2_val_2	1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR10215664_1_val_1	1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
SRR10215664_2_val_2	1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
SRR10215665_1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
SRR10215665_2_val_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
SRR10215666_1_val_1	1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR10215666_2_val_2	1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR10215667_1_val_1	1	1	0.25	1	0.25	1	1	0.5	0.5	1	1
SRR10215667_2_val_2	1	1	0.5	1	0.25	1	1	0.5	0.5	1	1
SRR10215668_1_val_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	1
SRR10215668_2_val_2	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
SRR10215669_1_val_1	1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR10215669_2_val_2	1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR10215670_1_val_1	1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR10215670_2_val_2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR10215671_1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
SRR10215671_2_val_2	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
SRR10215672_1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
SRR10215672_2_val_2	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
SRR10215673_1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
SRR10215673_2_val_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
SRR10215674_1_val_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	1
SRR10215674_2_val_2	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
SRR10215675_1_val_1	1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR10215675_2_val_2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR10215676_1_val_1	1	1	0	1	0.25	0.5	1	0.5	0.25	1	1
SRR10215676_2_val_2	1	1	0	1	0.25	0.5	1	0.5	0.25	1	1
SRR10215677_1_val_1	1	1	0	1	0.25	0.5	1	0.5	0.25	1	1
SRR10215677_2_val_2	1	1	0	1	0.25	0.5	1	0.5	0.25	1	1
SRR10215678_1_val_1	1	1	0.25	1	0.25	1	0.5	0.5	0.25	1	1
SRR10215678_2_val_2	1	1	0.25	1	0.25	1	1	0.5	0.25	1	1
SRR10215679_1_val_1	1	1	0.25	1	0.25	1	0.5	0.5	0.25	1	1
SRR10215679_2_val_2	1	1	0.25	1	0.25	1	1	0.5	0.25	1	1
SRR10215680_1_val_1	1	1	0	1	0.25	0.5	1	0.5	0.25	1	1
SRR10215680_2_val_2	1	1	0	1	0.25	0.5	1	0.5	0.25	1	1
SRR10215681_1_val_1	1	1	0	1	0.25	0.5	1	0.5	0.25	1	1
SRR10215681_2_val_2	1	1	0	1	0.25	0.5	1	0.5	0.25	1	1
SRR10215682_1_val_1	1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR10215682_2_val_2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR10215683_1_val_1	1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR10215683_2_val_2	1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR10215684_1_val_1	1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR10215684_2_val_2	1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR10215685_1_val_1	1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR10215685_2_val_2	1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR10215686_1_val_1	1	1	0.25	1	0.25	1	0.5	0.5	1	1	1
SRR10215686_2_val_2	1	1	0.25	1	0.25	1	1	0.5	1	1	1
SRR10215687_1_val_1	1	1	0.25	1	0.25	0.5	0.5	0.5	1	1	1
SRR10215687_2_val_2	1	1	0.25	1	0.25	0.5	1	0.5	1	1	1
SRR10215688_1_val_1	1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR10215688_2_val_2	1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR10215689_1_val_1	1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR10215689_2_val_2	1	1	0.5	1	0.25	1	1	0.5	0.5	1	1
