Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR10215662_1_val_1	(1, 0.03418574026191657)	(2, 0.0)	(3, 0.001325057572633863)	(4, 1.6997781416491016)	(5, 0.00047190429016013863)	(6, 5.960896296759645e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00020614766359627106)	(12, 0.0)	(14, 0.0)	(16, 0.0014362034515005271)	(18, 0.0)	(20, 0.0)	(22, 0.0006595480851046071)	(24, 0.00015965035156653617)	(26, 0.0010719597768856248)	(28, 0.0011484779011862818)	(30, 0.007784567432182811)	(32, 0.0027592436536458933)	(34, 0.008693103156093033)	(36, 0.01765324699957151)	(38, 0.012028274551358837)	(40, 0.001299236895305086)	(42, 0.0005117632509338443)	(44, 0.003595303639173627)	(46, 0.0)	(48, 0.0025488229235507017)	(50, 0.00012384857834359274)	(52, 0.0014813420451790086)	(54, 0.010704721831035439)	(56, 0.0017763248145142932)	(58, 0.0003987126495783834)	(60, 0.0)	(62, 0.005121319250560413)	(64, 0.00031445589171605467)	(66, 0.00038194390099316624)	(68, 0.0021833693634342685)	(70, 0.0008127301519625159)	(72, 0.01493973278784155)	(74, 0.0037862685485225175)	(76, 0.0012812622905537963)	(78, 0.0023761397390124985)	(80, 0.005029612707970636)	(82, 0.00554055432587005)	(84, 0.0012836437010528261)	(86, 0.005397975974693238)	(88, 0.009389648268256615)	(90, 0.0033570109449578317)	(92, 0.009649921558777344)	(94, 4.196958652927363e-06)	(96, 0.0022620441328041804)	(98, 0.0011535460426953038)	(100, 0.0)
SRR10215662_2_val_2	(1, 0.0004917739444826707)	(2, 0.00040608606021675086)	(3, 0.0007525631574659053)	(4, 0.008673104111785285)	(5, 0.007878317938884)	(6, 0.0021595830541802133)	(7, 0.004732703288948127)	(8, 0.004565053080601762)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0005031261211027586)	(46, 0.0)	(48, 0.0)	(50, 0.003301429148608316)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.012425196606383847)	(76, 0.04388908216819489)	(78, 0.05115133445035537)	(80, 1.1669059180353226e-05)	(82, 1.3861266327866295e-05)	(84, 6.054003588752788e-06)	(86, 7.193805065045102e-06)	(88, 0.0)	(90, 2.127147045176317e-06)	(92, 3.90053091426451e-05)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR10215663_1_val_1	(1, 0.005398221580477941)	(2, 0.018281918040530296)	(3, 0.0)	(4, 0.00014318498586446822)	(5, 0.00020665874248479947)	(6, 0.0016591744753779614)	(7, 4.280788237185132e-05)	(8, 6.052148887054842e-05)	(9, 0.0006731170469504897)	(10, 3.026074443527421e-05)	(12, 0.004468257239296343)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 1.25527152198652e-05)	(24, 0.0008998281926559939)	(26, 0.0)	(28, 0.0035581539446166185)	(30, 0.004450069411424905)	(32, 0.009281723900700386)	(34, 0.0)	(36, 0.001986444389203613)	(38, 0.010786889944042668)	(40, 0.003464886803174716)	(42, 0.0005358240821630273)	(44, 0.008969764357792374)	(46, 0.020497431824807774)	(48, 0.03657112210660195)	(50, 0.033106114478716975)	(52, 0.06939917150857687)	(54, 0.05818337938318182)	(56, 0.00038589889340314863)	(58, 0.018170218350672587)	(60, 0.014572168973901366)	(62, 0.003761319527159545)	(64, 0.0)	(66, 0.0008481097184195972)	(68, 0.008189881161309115)	(70, 0.0020452228740649473)	(72, 0.0005789583074063587)	(74, 1.0829919823829262e-06)	(76, 0.0)	(78, 0.009129545533393055)	(80, 0.04472626304251337)	(82, 0.0017975483100326516)	(84, 0.0006352702437858938)	(86, 0.005776356081522153)	(88, 0.0015792583884961587)	(90, 0.0)	(92, 0.0067630204266554955)	(94, 0.010949318476723632)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR10215663_2_val_2	(1, 0.0)	(2, 0.00016385086011294815)	(3, 0.00012399524549087967)	(4, 0.0006111194242050498)	(5, 0.0008133497650651752)	(6, 6.199762274543983e-05)	(7, 4.1331748496959896e-05)	(8, 0.0)	(9, 0.0)	(10, 0.002183940067901863)	(12, 0.011280615071920267)	(14, 0.004187053736129526)	(16, 0.004198862807128658)	(18, 0.0038881366264640125)	(20, 0.0002857037076109733)	(22, 0.0)	(24, 0.00010209248384998629)	(26, 0.00016155866224299288)	(28, 0.0005431660607256684)	(30, 0.0009020612845240958)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0007957220708316776)	(44, 0.001814989261340728)	(46, 0.004741818571749066)	(48, 0.0017286100111905422)	(50, 0.0038106744852333904)	(52, 0.00021978036975441753)	(54, 1.815107257501262e-06)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 3.406641259523227e-05)	(70, 2.0964704504848533e-05)	(72, 0.00046702697833587666)	(74, 4.45447873119497e-05)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.00022314451928316602)	(94, 0.0010939909033692234)	(96, 5.011348330171261e-05)	(98, 9.04056981534837e-05)	(100, 0.0)
SRR10215664_1_val_1	(1, 0.0006388019850211103)	(2, 0.013988459794441865)	(3, 3.389561553173238e-05)	(4, 0.0004980048128123758)	(5, 0.0010872670520563387)	(6, 0.00368419267279522)	(7, 0.0011341994427925836)	(8, 0.0)	(9, 2.6073550409024913e-06)	(10, 0.0)	(12, 0.0026790573045273095)	(14, 0.0003806738359717637)	(16, 0.0)	(18, 0.0)	(20, 0.0006571122116494809)	(22, 0.0034242692716994084)	(24, 6.0052455297507114e-05)	(26, 0.004497077449199053)	(28, 0.009386808353652479)	(30, 0.018799813325500167)	(32, 0.016763822773738547)	(34, 0.0)	(36, 0.0019147821179505784)	(38, 0.003917792033814643)	(40, 0.009793250964213096)	(42, 0.005491937499509649)	(44, 0.01662215196605339)	(46, 0.04105128798319195)	(48, 0.07415004025258283)	(50, 0.07225528813048894)	(52, 0.19956865197274218)	(54, 0.08569557450956893)	(56, 0.0005652668786567959)	(58, 0.014944591168580487)	(60, 0.0338301123325294)	(62, 0.005767455375343936)	(64, 2.020359281703281e-06)	(66, 0.0019544676476595624)	(68, 0.008254825167110385)	(70, 0.0027570987426199477)	(72, 0.005964095197359212)	(74, 0.0008541731209686724)	(76, 0.00018182508073153207)	(78, 0.018047523903031378)	(80, 0.0827014106693299)	(82, 0.011015700252697323)	(84, 0.0)	(86, 0.0009961879299523226)	(88, 0.0007375033285796617)	(90, 0.0)	(92, 0.018876808245992856)	(94, 0.020141283104515)	(96, 2.227792481384964e-05)	(98, 0.0)	(100, 0.0)
SRR10215664_2_val_2	(1, 0.0009751507852975316)	(2, 0.0014053643670464426)	(3, 0.0007926359324343572)	(4, 0.009824513794120587)	(5, 0.004461184474984162)	(6, 0.0)	(7, 0.0005736181089985481)	(8, 0.0)	(9, 0.0)	(10, 0.0008239241929251872)	(12, 0.006642236966699096)	(14, 0.00527467924774574)	(16, 0.004654128748010947)	(18, 0.003407813038459556)	(20, 0.0003442243797412426)	(22, 2.218010408914095e-05)	(24, 0.00044652408029944375)	(26, 0.0009026003326932502)	(28, 9.189534034437018e-06)	(30, 0.000588618442197985)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.00015525747414332322)	(46, 0.0004139723007594022)	(48, 0.0005696859292987479)	(50, 0.0010683417050453925)	(52, 1.6806321879483244e-06)	(54, 3.4672810457527675e-06)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 6.6305009675006e-06)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 9.793844881894766e-05)	(92, 0.0004022734888495823)	(94, 0.0)	(96, 0.00013753293722828649)	(98, 0.0)	(100, 0.0)
SRR10215665_1_val_1	(1, 0.0060793688769309575)	(2, 0.001221891297507982)	(3, 0.0)	(4, 0.0007689056044509873)	(5, 0.0)	(6, 0.0011366430674492854)	(7, 0.008088552652039841)	(8, 0.0)	(9, 0.00020225560464906403)	(10, 6.101098817926312e-05)	(12, 2.5073008840793064e-06)	(14, 0.00227830073666673)	(16, 0.0)	(18, 0.0007597121678760299)	(20, 6.686587962461662e-06)	(22, 0.0)	(24, 0.000271077771334103)	(26, 0.009740878629096573)	(28, 0.018421998369426026)	(30, 0.026126291195061116)	(32, 0.027885401637903283)	(34, 0.001145493985159574)	(36, 0.003301080321520262)	(38, 0.013307891408612963)	(40, 0.02470724800539227)	(42, 0.011906219958293721)	(44, 0.014733919243528376)	(46, 0.03084525418543423)	(48, 0.05955272818217585)	(50, 0.041142377513471974)	(52, 0.24195643075819814)	(54, 0.0695510082985964)	(56, 0.0)	(58, 0.012416933798718277)	(60, 0.008056264384540076)	(62, 0.001084316834093835)	(64, 3.179781403970595e-05)	(66, 0.0073026377411240405)	(68, 0.012205999863484512)	(70, 0.011672473502661752)	(72, 0.010770782177681409)	(74, 0.003965476297879445)	(76, 0.0013144929655382958)	(78, 0.014567201451015224)	(80, 0.05761681026285674)	(82, 0.00916280309848167)	(84, 0.0)	(86, 0.00042697345942499786)	(88, 4.884982755359543e-06)	(90, 0.0)	(92, 0.018219209475884686)	(94, 0.02358954280451)	(96, 8.066730487949377e-05)	(98, 0.0)	(100, 0.0)
SRR10215665_2_val_2	(1, 0.0)	(2, 0.0003911389379163718)	(3, 1.6715339227195374e-05)	(4, 0.00012703657812668487)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0007254457224602793)	(14, 0.003026312167083723)	(16, 0.004601732889246887)	(18, 0.005171725956894249)	(20, 0.00571602509788087)	(22, 0.002011854128947887)	(24, 0.0004177535059921131)	(26, 0.0029122025126838915)	(28, 0.0011141971923526723)	(30, 0.0002109611462393298)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 3.1237627513297075e-05)	(40, 0.0009017883401779481)	(42, 0.003909541314023106)	(44, 0.0059656546119361345)	(46, 0.007364395095605134)	(48, 0.003995978025468894)	(50, 0.00848315442033998)	(52, 0.002756554991550535)	(54, 0.001003662952028317)	(56, 0.00034615953306046075)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 1.2436112580645081e-06)	(68, 0.0002855608586728332)	(70, 1.3023681924595955e-06)	(72, 1.4652283399190684e-05)	(74, 0.0006450726967607764)	(76, 3.068047665579011e-05)	(78, 0.000829320048899104)	(80, 0.0012120202258676079)	(82, 0.002842810772548034)	(84, 4.574556627109865e-05)	(86, 0.0)	(88, 0.0)	(90, 2.9601726530567136e-05)	(92, 0.0006885774021250511)	(94, 0.00032978305100490624)	(96, 0.0005256713769872015)	(98, 0.0)	(100, 0.0)
SRR10215666_1_val_1	(1, 0.09673552546976166)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0002846302086564451)	(6, 2.235315774788836e-05)	(7, 0.0)	(8, 0.0010058920986549763)	(9, 0.0)	(10, 0.0)	(12, 0.014139117380797652)	(14, 2.3843368264414252e-05)	(16, 0.0)	(18, 0.0)	(20, 0.0038500481144245926)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.002411296804228999)	(40, 0.010231354576551978)	(42, 0.0012789045600533463)	(44, 0.019146113508565724)	(46, 0.04693077217383957)	(48, 0.007604106050086426)	(50, 0.025486054291436005)	(52, 0.060023418937441515)	(54, 0.05253554601718515)	(56, 0.017927999355676717)	(58, 0.036230236158030144)	(60, 0.05675139110165338)	(62, 0.008972718664927787)	(64, 0.033177951634251836)	(66, 0.04984228821907559)	(68, 0.041161716418427516)	(70, 0.00035631242390482613)	(72, 0.0013694657313842846)	(74, 0.0)	(76, 0.0004939866675146206)	(78, 0.004464994801666753)	(80, 0.012484648702625029)	(82, 0.009278206237920325)	(84, 0.08497277073191029)	(86, 0.12158511885531754)	(88, 0.07652476044631897)	(90, 0.0029783655962120647)	(92, 0.0)	(94, 0.0017172120430628372)	(96, 0.0)	(98, 0.00011486001918414452)	(100, 0.0)
SRR10215666_2_val_2	(1, 0.0641878375783197)	(2, 0.10724449003230226)	(3, 0.029103811387750648)	(4, 0.04281672856082189)	(5, 0.02482988762635439)	(6, 0.0041606677621402865)	(7, 0.0045764364962510105)	(8, 0.0002891008402060228)	(9, 0.027381128030646715)	(10, 8.419689418371282e-05)	(12, 0.0001989431039562064)	(14, 0.0015766427264843922)	(16, 0.00302065671699798)	(18, 0.0008434591523536541)	(20, 0.005099648913429737)	(22, 0.005865265084328268)	(24, 0.012836713828424414)	(26, 0.0011017655958115505)	(28, 0.007292675946582442)	(30, 0.0009325074478302847)	(32, 0.002609329768218805)	(34, 0.0005934792137538929)	(36, 0.0)	(38, 0.001720038533520295)	(40, 0.002017381758061698)	(42, 6.84912010536295e-05)	(44, 0.000918900733234952)	(46, 0.01626645965506567)	(48, 0.0008675466176789667)	(50, 0.0016361241453031194)	(52, 0.00040843769729081617)	(54, 0.0034498094001554898)	(56, 0.0012437823306815424)	(58, 9.819977906424507e-07)	(60, 0.0012475810650729301)	(62, 0.0006112698095915902)	(64, 0.0)	(66, 0.00017453506344899605)	(68, 0.001995177950674318)	(70, 0.0027067718574965384)	(72, 0.0)	(74, 0.00514721079319636)	(76, 0.0)	(78, 0.0007952290541440842)	(80, 0.0)	(82, 1.1971767459670556e-05)	(84, 0.00027734932240823534)	(86, 0.08124189692872309)	(88, 0.0878814868990354)	(90, 0.07764681105437214)	(92, 0.0029103243595757877)	(94, 1.698872830547563e-05)	(96, 0.0007117566171972714)	(98, 0.0012436550561487228)	(100, 0.0)
