Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR10215662_1_val_1	(1, 31.21631121531586)	(2, 31.381027122786005)	(3, 31.42699137059671)	(4, 34.54166762755073)	(5, 34.86003734774738)	(6, 35.00728214137947)	(7, 34.95933176017829)	(8, 34.94514144915077)	(9, 36.495722628467654)	(10, 36.36496589131674)	(12, 36.287676071681915)	(14, 37.32621923334603)	(16, 37.323098567530806)	(18, 37.38001653353936)	(20, 37.4305607904638)	(22, 37.40025606975634)	(24, 37.356892121312896)	(26, 37.17867239481)	(28, 37.129795296202545)	(30, 37.05798575910687)	(32, 36.98700015170871)	(34, 36.93395814542383)	(36, 36.87988757209034)	(38, 36.830413547674056)	(40, 36.78527082149381)	(42, 36.74357056583491)	(44, 36.686890823795764)	(46, 36.56033449394998)	(48, 36.53199038765934)	(50, 36.42585678052475)	(52, 36.306336317781344)	(54, 36.161872017543104)	(56, 36.02693757167903)	(58, 35.896923329181114)	(60, 35.740280077180614)	(62, 35.54884150356203)	(64, 35.32681454299374)	(66, 35.110836924238285)	(68, 34.902608519943534)	(70, 34.6505363766226)	(72, 34.37152486392641)	(74, 34.09361351077124)	(76, 31.321146468014014)	(78, 33.409703068505266)	(80, 33.64824858877862)	(82, 33.53299343842687)	(84, 33.41144583531188)	(86, 33.278116314725615)	(88, 33.170942514456144)	(90, 33.082309492314984)	(92, 33.037027911294885)	(94, 32.927611130676055)	(96, 32.896055470608545)	(98, 33.052819350837225)	(100, 33.36416581659709)
SRR10215662_2_val_2	(1, 30.100526629043724)	(2, 30.16026817227979)	(3, 30.19169318551453)	(4, 33.911407110179454)	(5, 33.955887591553626)	(6, 34.02448120239425)	(7, 33.99396446831419)	(8, 33.9952635835694)	(9, 35.382213092778386)	(10, 35.25539034227752)	(12, 35.21823550440726)	(14, 36.214038691904655)	(16, 36.231078212013756)	(18, 36.213549569317166)	(20, 36.23118427790889)	(22, 36.173766920438105)	(24, 36.1898778216245)	(26, 36.10007174211168)	(28, 36.049008291364366)	(30, 36.02963217277285)	(32, 35.9424980671169)	(34, 35.89864872782475)	(36, 35.8532198512328)	(38, 35.82693864549319)	(40, 35.75672150132632)	(42, 35.69937805140388)	(44, 35.65016340417195)	(46, 35.57216439389269)	(48, 35.53366340376735)	(50, 34.0780322559236)	(52, 34.41868785032598)	(54, 35.166653703733886)	(56, 35.18330445968285)	(58, 35.14281862376102)	(60, 35.04196110954109)	(62, 34.85153977208718)	(64, 34.73209711450457)	(66, 34.59859927744241)	(68, 34.40283394531738)	(70, 34.23110649354361)	(72, 34.06184170803912)	(74, 33.79419448819674)	(76, 33.53893938192298)	(78, 33.34776411465876)	(80, 33.305625846296294)	(82, 33.17630707041537)	(84, 33.03215128032443)	(86, 32.87528502520334)	(88, 32.79645808810004)	(90, 32.75687193620031)	(92, 32.71985720974413)	(94, 32.689011841783)	(96, 32.73786580807185)	(98, 32.89716590485966)	(100, 33.128295849717446)
SRR10215663_1_val_1	(1, 31.62760698342994)	(2, 31.75975816380637)	(3, 31.870876222587587)	(4, 35.40486616093435)	(5, 35.5405281338348)	(6, 35.53763894128549)	(7, 35.45653331169912)	(8, 35.44336767366896)	(9, 37.0396447341367)	(10, 36.95466518309308)	(12, 36.908675154643106)	(14, 38.10431246164174)	(16, 38.05614839798217)	(18, 38.054239934018)	(20, 38.0760958444196)	(22, 38.03374112221525)	(24, 37.973562284301266)	(26, 37.828883249767614)	(28, 37.73402096069137)	(30, 37.6377507936855)	(32, 37.52507327894114)	(34, 37.481768354770054)	(36, 37.44227218010923)	(38, 37.392149885695275)	(40, 37.34569174066654)	(42, 37.26830305146213)	(44, 37.12501158361063)	(46, 36.899426591815676)	(48, 36.821451350276476)	(50, 36.74985616158628)	(52, 36.4676520213969)	(54, 36.348425434960944)	(56, 36.358227032654696)	(58, 36.256051863137145)	(60, 36.07804975985616)	(62, 35.8586950653994)	(64, 35.54141213872113)	(66, 35.28545778654012)	(68, 34.95033537657767)	(70, 34.69914149984052)	(72, 34.44302392188979)	(74, 34.017945494508695)	(76, 29.959825745141558)	(78, 33.21754340895997)	(80, 33.578757505094096)	(82, 33.55074704862122)	(84, 33.41121688332189)	(86, 33.27714141650735)	(88, 33.156142149447305)	(90, 32.99056643932215)	(92, 32.84511593791642)	(94, 32.83419624561484)	(96, 32.96960568424498)	(98, 33.07832754437952)	(100, 33.36785491618942)
SRR10215663_2_val_2	(1, 31.07709171159243)	(2, 31.152356456571926)	(3, 31.230023993227615)	(4, 34.853429943933634)	(5, 34.901824520659105)	(6, 34.99674629095163)	(7, 34.919503747999855)	(8, 34.871110824544324)	(9, 36.42021113349471)	(10, 36.34791011844454)	(12, 36.26114171456463)	(14, 37.42989370079502)	(16, 37.36651293322814)	(18, 37.41066761800543)	(20, 37.44131857438799)	(22, 37.42466025475219)	(24, 37.37324933933884)	(26, 37.296704723469375)	(28, 37.219238795506705)	(30, 37.1689410015927)	(32, 37.02405560936634)	(34, 36.97070064770621)	(36, 36.92341242401167)	(38, 36.88375658004948)	(40, 36.90906274500279)	(42, 36.88013641062675)	(44, 36.8054450857748)	(46, 36.70791841413866)	(48, 36.64424773896591)	(50, 34.69238803129588)	(52, 35.30169498188253)	(54, 36.302124217873754)	(56, 36.39259411253841)	(58, 36.254130319563885)	(60, 36.12598853132269)	(62, 35.95973679053823)	(64, 35.78478078322941)	(66, 35.57992463490933)	(68, 35.36522268774677)	(70, 35.116145698347566)	(72, 34.85557941389527)	(74, 34.636383065562356)	(76, 34.39829622290256)	(78, 34.19501675557839)	(80, 33.97136540563058)	(82, 33.76398027458492)	(84, 33.56064572765116)	(86, 33.42899222508224)	(88, 33.24449834545176)	(90, 33.18112406164946)	(92, 33.11768133566382)	(94, 33.098928331340105)	(96, 33.158572784051955)	(98, 33.27406757829043)	(100, 33.5123554067385)
SRR10215664_1_val_1	(1, 32.342172953525484)	(2, 32.427706714171286)	(3, 32.51621275526951)	(4, 36.049547958945524)	(5, 36.063887577316876)	(6, 36.07553298965091)	(7, 36.019785157594924)	(8, 36.002779622988456)	(9, 37.71881216830696)	(10, 37.668054526990204)	(12, 37.60736260223211)	(14, 38.98372552863667)	(16, 38.925354032534)	(18, 38.88838536227752)	(20, 38.87340352692202)	(22, 38.81094916990188)	(24, 38.729685786459825)	(26, 38.59060569207813)	(28, 38.48625495418221)	(30, 38.37619526096769)	(32, 38.215518480191264)	(34, 38.11617195326258)	(36, 38.04285024040189)	(38, 37.95397750787361)	(40, 37.86019219566738)	(42, 37.74532032668553)	(44, 37.53637530056557)	(46, 37.316202377318305)	(48, 37.15993624626348)	(50, 37.03084190620642)	(52, 36.710873515889574)	(54, 36.56008003341549)	(56, 36.494435387270016)	(58, 36.376628238585155)	(60, 36.14612377829159)	(62, 35.885869426212864)	(64, 35.566002543523346)	(66, 35.24786813561631)	(68, 34.93315978812648)	(70, 34.65317062863692)	(72, 34.35515751666071)	(74, 33.97659156539434)	(76, 29.715355525574218)	(78, 33.227390292085005)	(80, 33.618229034873266)	(82, 33.61546433546172)	(84, 33.54565533125104)	(86, 33.46618567959308)	(88, 33.34374035353585)	(90, 33.200393437695496)	(92, 33.084793575036585)	(94, 33.069685122946126)	(96, 33.20485722486234)	(98, 33.303922824263445)	(100, 33.54231855472758)
SRR10215664_2_val_2	(1, 32.122743246213865)	(2, 32.24152273914745)	(3, 32.328570747306806)	(4, 35.86824346636589)	(5, 35.92339916809209)	(6, 36.0128415103855)	(7, 35.95779821173512)	(8, 35.93895196269042)	(9, 37.696700754618085)	(10, 37.645066507499806)	(12, 37.580577530705966)	(14, 38.98475251364019)	(16, 38.9460950595237)	(18, 38.936828363267026)	(20, 38.922348601717076)	(22, 38.87525712793601)	(24, 38.80391585379394)	(26, 38.7277689609263)	(28, 38.63985595292732)	(30, 38.5585411812057)	(32, 38.44182925508788)	(34, 38.35548964394221)	(36, 38.27389863258546)	(38, 38.19488549842018)	(40, 38.104564697088946)	(42, 37.98427261225752)	(44, 37.90651963649951)	(46, 37.77432965543891)	(48, 37.632261331647314)	(50, 35.49850369974021)	(52, 36.145374758537315)	(54, 37.14990471446562)	(56, 37.21326039545162)	(58, 37.038894954851585)	(60, 36.793230256016116)	(62, 36.59996649791182)	(64, 36.38758645544385)	(66, 36.11542104296507)	(68, 35.80667694366529)	(70, 35.55237180874509)	(72, 35.28552721059435)	(74, 34.99125765237377)	(76, 34.75267264825415)	(78, 34.48828535636194)	(80, 34.32184983788781)	(82, 34.15677790425391)	(84, 33.94149438473986)	(86, 33.84811628950945)	(88, 33.68668884245566)	(90, 33.630539358831385)	(92, 33.59933006773719)	(94, 33.56199956200667)	(96, 33.60139824355056)	(98, 33.694178557158445)	(100, 33.84392939714638)
SRR10215665_1_val_1	(1, 32.50349973236234)	(2, 32.61236877602045)	(3, 32.69063823494442)	(4, 36.164556363446906)	(5, 36.18017342131017)	(6, 36.19702111259337)	(7, 36.14782111625069)	(8, 36.13597681074303)	(9, 37.883771192480154)	(10, 37.841236278858595)	(12, 37.79954034990119)	(14, 39.2309721144849)	(16, 39.180215117723876)	(18, 39.15749051375247)	(20, 39.15881776719203)	(22, 39.11256485665015)	(24, 39.06127638432571)	(26, 38.9297862131789)	(28, 38.85778010144253)	(30, 38.765520088068165)	(32, 38.64032021344191)	(34, 38.569228420865855)	(36, 38.505921241571244)	(38, 38.4382275678328)	(40, 38.331330890200235)	(42, 38.22967109608801)	(44, 38.05806822701888)	(46, 37.864164348898406)	(48, 37.720311249678474)	(50, 37.59575207340516)	(52, 37.239606149500446)	(54, 37.14024762814994)	(56, 37.06372641755543)	(58, 36.93159172535802)	(60, 36.70617431159292)	(62, 36.438588869491426)	(64, 36.1226925142498)	(66, 35.804375520862266)	(68, 35.46810043727401)	(70, 35.19241399699709)	(72, 34.87994498964612)	(74, 34.462537368909665)	(76, 30.224174795253386)	(78, 33.6398887287002)	(80, 33.96986788767491)	(82, 33.93204894047783)	(84, 33.82582040660691)	(86, 33.731128524390485)	(88, 33.602575332530314)	(90, 33.46354607715227)	(92, 33.360513589500954)	(94, 33.33346527866081)	(96, 33.452626699791374)	(98, 33.519524568782266)	(100, 33.727571898379175)
SRR10215665_2_val_2	(1, 32.09091788925583)	(2, 32.21884450905034)	(3, 32.31766910478276)	(4, 35.83326121500224)	(5, 35.876805091572564)	(6, 35.96942039009623)	(7, 35.924357573935)	(8, 35.83207609745103)	(9, 37.616211933384896)	(10, 37.58842143662691)	(12, 37.53737761300242)	(14, 38.92886477322324)	(16, 38.92906559966639)	(18, 38.915960397617134)	(20, 38.87156680182562)	(22, 38.85563213907375)	(24, 38.78923211551643)	(26, 38.72399039487433)	(28, 38.62781030487585)	(30, 38.55779892840235)	(32, 38.4603931359501)	(34, 38.42773701898919)	(36, 38.364703622873705)	(38, 38.285672081621925)	(40, 38.20982015881836)	(42, 38.11961840767364)	(44, 38.02532083947101)	(46, 37.93624854751452)	(48, 37.80326101670097)	(50, 35.76213991774084)	(52, 36.364031127518444)	(54, 37.340715635802496)	(56, 37.36046503443193)	(58, 37.23321072668173)	(60, 37.02815649560179)	(62, 36.79833936672348)	(64, 36.58559958797616)	(66, 36.28715309072131)	(68, 35.94891323083064)	(70, 35.692712780798374)	(72, 35.381710094758574)	(74, 35.08018031927976)	(76, 34.832712773988206)	(78, 34.57431334321782)	(80, 34.36759214886942)	(82, 34.16495981356542)	(84, 33.97996789692778)	(86, 33.888905605644084)	(88, 33.74290434696845)	(90, 33.65907949420263)	(92, 33.62232152248755)	(94, 33.57791722127533)	(96, 33.64458638031911)	(98, 33.74170642938854)	(100, 33.898346810496236)
SRR10215666_1_val_1	(1, 32.168558069174765)	(2, 32.34577737599053)	(3, 32.368019051089675)	(4, 35.95121082063315)	(5, 36.016315063168605)	(6, 35.98413986829787)	(7, 35.92880972281294)	(8, 35.919665224803545)	(9, 37.57046277876604)	(10, 37.48041728517234)	(12, 37.44479296080584)	(14, 38.871783963644944)	(16, 38.900983051642065)	(18, 38.89912481128533)	(20, 38.884300469528405)	(22, 38.829922524640274)	(24, 38.802323930410736)	(26, 38.68807001337433)	(28, 38.60509441118576)	(30, 38.514013294183755)	(32, 38.429809055242956)	(34, 38.3549914264289)	(36, 38.256407627265425)	(38, 38.14910087128867)	(40, 38.08405346126341)	(42, 38.15376462205704)	(44, 38.10482744948456)	(46, 38.047468129381514)	(48, 37.89365814968186)	(50, 37.751098219398685)	(52, 37.62537224553202)	(54, 37.536367706494445)	(56, 37.468081009958205)	(58, 37.30726469878621)	(60, 37.12133518920845)	(62, 37.03844709947844)	(64, 36.85467731524447)	(66, 36.629088106992)	(68, 36.39897988994847)	(70, 36.07802137334484)	(72, 35.788412235192155)	(74, 35.47052465057308)	(76, 32.97924301459577)	(78, 34.758923592753646)	(80, 34.80443613700878)	(82, 34.59278821478328)	(84, 34.323609165402374)	(86, 34.13318401676304)	(88, 34.029753328936174)	(90, 33.98422547212989)	(92, 33.94496565642777)	(94, 33.90187038696662)	(96, 33.918970226075906)	(98, 33.97075958478624)	(100, 34.082733465138645)
SRR10215666_2_val_2	(1, 31.39830196174442)	(2, 31.530641939623436)	(3, 31.614727321354195)	(4, 35.205252074101075)	(5, 35.27474015832563)	(6, 35.35444466388622)	(7, 35.31158942828565)	(8, 35.32455351467417)	(9, 36.93098559409023)	(10, 36.91974594950723)	(12, 36.88713255078306)	(14, 38.1514273765352)	(16, 38.14430662911356)	(18, 38.13077264896826)	(20, 38.12526981140478)	(22, 38.10051435635724)	(24, 38.13660766027591)	(26, 38.11184626649148)	(28, 38.07176256849057)	(30, 38.03206831309996)	(32, 37.97426631987423)	(34, 37.91544743354342)	(36, 37.868472470478665)	(38, 37.82402090866838)	(40, 37.79250642502123)	(42, 37.74811754918873)	(44, 37.665112193363456)	(46, 37.547337005639605)	(48, 37.50119891939654)	(50, 36.00792244727633)	(52, 36.36769692035657)	(54, 37.16875297661551)	(56, 37.21676127687027)	(58, 37.12913108705539)	(60, 36.98972935228794)	(62, 36.79592849892805)	(64, 36.58123386313541)	(66, 36.342044954840105)	(68, 36.0979399631896)	(70, 35.888168729925184)	(72, 35.6550476364086)	(74, 35.39737708739335)	(76, 35.17266405484665)	(78, 34.9333378483407)	(80, 34.69754252145255)	(82, 34.47826072984608)	(84, 34.22858872002454)	(86, 34.03035313526897)	(88, 33.84442782365206)	(90, 33.79542578612785)	(92, 33.785105821343635)	(94, 33.742420894241874)	(96, 33.761255566145834)	(98, 33.80071234581963)	(100, 33.87655279120937)
