Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
SRR10215662_1_val_1	(16.0, 1.0)	(17.0, 5.0)	(18.0, 45.0)	(19.0, 218.0)	(20.0, 1206.0)	(21.0, 5956.0)	(22.0, 25200.0)	(23.0, 82618.0)	(24.0, 210978.0)	(25.0, 435317.0)	(26.0, 769442.0)	(27.0, 1193460.0)	(28.0, 1690622.0)	(29.0, 2239751.0)	(30.0, 2832810.0)	(31.0, 3483633.0)	(32.0, 4222679.0)	(33.0, 5106322.0)	(34.0, 6233482.0)	(35.0, 7699105.0)	(36.0, 9812102.0)	(37.0, 12870712.0)	(38.0, 13975185.0)	(39.0, 7387605.0)	(40.0, 246349.0)								
SRR10215662_2_val_2	(11.0, 1.0)	(12.0, 1.0)	(13.0, 2.0)	(14.0, 19.0)	(15.0, 97.0)	(16.0, 293.0)	(17.0, 1136.0)	(18.0, 4254.0)	(19.0, 20714.0)	(20.0, 140190.0)	(21.0, 365876.0)	(22.0, 662038.0)	(23.0, 954078.0)	(24.0, 1215564.0)	(25.0, 1456675.0)	(26.0, 1677490.0)	(27.0, 1894086.0)	(28.0, 2130681.0)	(29.0, 2422903.0)	(30.0, 2800939.0)	(31.0, 3281532.0)	(32.0, 3911137.0)	(33.0, 4737105.0)	(34.0, 5811252.0)	(35.0, 7184599.0)	(36.0, 9110759.0)	(37.0, 11645321.0)	(38.0, 12331608.0)	(39.0, 6610761.0)	(40.0, 153692.0)			
SRR10215663_1_val_1	(16.0, 1.0)	(17.0, 3.0)	(18.0, 13.0)	(19.0, 91.0)	(20.0, 524.0)	(21.0, 2839.0)	(22.0, 12983.0)	(23.0, 45557.0)	(24.0, 126070.0)	(25.0, 278963.0)	(26.0, 517502.0)	(27.0, 836374.0)	(28.0, 1217840.0)	(29.0, 1639655.0)	(30.0, 2085986.0)	(31.0, 2564943.0)	(32.0, 3119103.0)	(33.0, 3799113.0)	(34.0, 4709004.0)	(35.0, 5979498.0)	(36.0, 7988248.0)	(37.0, 11322432.0)	(38.0, 13522812.0)	(39.0, 7730390.0)	(40.0, 244589.0)								
SRR10215663_2_val_2	(13.0, 2.0)	(14.0, 15.0)	(15.0, 75.0)	(16.0, 184.0)	(17.0, 579.0)	(18.0, 1901.0)	(19.0, 9305.0)	(20.0, 66514.0)	(21.0, 170755.0)	(22.0, 313604.0)	(23.0, 465896.0)	(24.0, 623196.0)	(25.0, 777221.0)	(26.0, 931167.0)	(27.0, 1092740.0)	(28.0, 1271824.0)	(29.0, 1488859.0)	(30.0, 1766580.0)	(31.0, 2132937.0)	(32.0, 2616843.0)	(33.0, 3269646.0)	(34.0, 4206437.0)	(35.0, 5533702.0)	(36.0, 7651059.0)	(37.0, 11094813.0)	(38.0, 13615563.0)	(39.0, 8434444.0)	(40.0, 208672.0)					
SRR10215664_1_val_1	(14.0, 1.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 5.0)	(18.0, 8.0)	(19.0, 46.0)	(20.0, 255.0)	(21.0, 1195.0)	(22.0, 4840.0)	(23.0, 16331.0)	(24.0, 44168.0)	(25.0, 98795.0)	(26.0, 186624.0)	(27.0, 308786.0)	(28.0, 457990.0)	(29.0, 626771.0)	(30.0, 818066.0)	(31.0, 1035834.0)	(32.0, 1305716.0)	(33.0, 1680988.0)	(34.0, 2244458.0)	(35.0, 3111514.0)	(36.0, 4527336.0)	(37.0, 6767867.0)	(38.0, 8469733.0)	(39.0, 6380761.0)	(40.0, 264954.0)						
SRR10215664_2_val_2	(13.0, 3.0)	(14.0, 6.0)	(15.0, 18.0)	(16.0, 54.0)	(17.0, 157.0)	(18.0, 584.0)	(19.0, 2125.0)	(20.0, 11697.0)	(21.0, 29125.0)	(22.0, 54567.0)	(23.0, 86442.0)	(24.0, 123812.0)	(25.0, 168697.0)	(26.0, 218723.0)	(27.0, 275277.0)	(28.0, 345559.0)	(29.0, 426485.0)	(30.0, 538764.0)	(31.0, 690740.0)	(32.0, 914022.0)	(33.0, 1247686.0)	(34.0, 1814020.0)	(35.0, 2756874.0)	(36.0, 4473548.0)	(37.0, 6999364.0)	(38.0, 9302211.0)	(39.0, 7618055.0)	(40.0, 254428.0)					
SRR10215665_1_val_1	(16.0, 2.0)	(17.0, 1.0)	(18.0, 8.0)	(19.0, 37.0)	(20.0, 235.0)	(21.0, 1210.0)	(22.0, 5144.0)	(23.0, 17999.0)	(24.0, 50000.0)	(25.0, 114094.0)	(26.0, 220602.0)	(27.0, 371192.0)	(28.0, 562299.0)	(29.0, 786230.0)	(30.0, 1044457.0)	(31.0, 1345474.0)	(32.0, 1726417.0)	(33.0, 2257137.0)	(34.0, 3085497.0)	(35.0, 4384013.0)	(36.0, 6630199.0)	(37.0, 10337875.0)	(38.0, 14294828.0)	(39.0, 11829584.0)	(40.0, 760755.0)								
SRR10215665_2_val_2	(13.0, 2.0)	(14.0, 4.0)	(15.0, 18.0)	(16.0, 82.0)	(17.0, 262.0)	(18.0, 862.0)	(19.0, 3718.0)	(20.0, 21683.0)	(21.0, 53772.0)	(22.0, 98792.0)	(23.0, 156483.0)	(24.0, 224775.0)	(25.0, 301735.0)	(26.0, 385128.0)	(27.0, 477065.0)	(28.0, 582166.0)	(29.0, 706229.0)	(30.0, 869147.0)	(31.0, 1095673.0)	(32.0, 1411869.0)	(33.0, 1891020.0)	(34.0, 2708984.0)	(35.0, 4061938.0)	(36.0, 6614031.0)	(37.0, 10545426.0)	(38.0, 14704568.0)	(39.0, 12384361.0)	(40.0, 525496.0)					
SRR10215666_1_val_1	(16.0, 2.0)	(17.0, 4.0)	(18.0, 29.0)	(19.0, 183.0)	(20.0, 841.0)	(21.0, 3524.0)	(22.0, 13137.0)	(23.0, 39194.0)	(24.0, 91116.0)	(25.0, 177233.0)	(26.0, 306108.0)	(27.0, 475296.0)	(28.0, 686174.0)	(29.0, 932708.0)	(30.0, 1219634.0)	(31.0, 1557207.0)	(32.0, 1956105.0)	(33.0, 2487320.0)	(34.0, 3275563.0)	(35.0, 4492791.0)	(36.0, 6691706.0)	(37.0, 11217170.0)	(38.0, 17093283.0)	(39.0, 13666661.0)	(40.0, 721624.0)								
SRR10215666_2_val_2	(11.0, 1.0)	(12.0, 3.0)	(13.0, 26.0)	(14.0, 63.0)	(15.0, 262.0)	(16.0, 721.0)	(17.0, 1970.0)	(18.0, 5231.0)	(19.0, 14540.0)	(20.0, 65585.0)	(21.0, 145000.0)	(22.0, 243217.0)	(23.0, 345486.0)	(24.0, 445737.0)	(25.0, 547762.0)	(26.0, 650814.0)	(27.0, 764201.0)	(28.0, 887518.0)	(29.0, 1031865.0)	(30.0, 1224616.0)	(31.0, 1491370.0)	(32.0, 1873387.0)	(33.0, 2408273.0)	(34.0, 3228618.0)	(35.0, 4485720.0)	(36.0, 6708707.0)	(37.0, 11017346.0)	(38.0, 16137703.0)	(39.0, 12904673.0)	(40.0, 474198.0)			
SRR10215667_1_val_1	(16.0, 1.0)	(17.0, 3.0)	(18.0, 26.0)	(19.0, 118.0)	(20.0, 689.0)	(21.0, 3462.0)	(22.0, 14555.0)	(23.0, 47734.0)	(24.0, 120593.0)	(25.0, 246725.0)	(26.0, 432545.0)	(27.0, 665044.0)	(28.0, 931902.0)	(29.0, 1219122.0)	(30.0, 1528573.0)	(31.0, 1859385.0)	(32.0, 2230837.0)	(33.0, 2671160.0)	(34.0, 3238017.0)	(35.0, 3974823.0)	(36.0, 5037882.0)	(37.0, 6545423.0)	(38.0, 7149435.0)	(39.0, 3907724.0)	(40.0, 116267.0)								
