Sample	Unique Reads	Duplicate Reads
SRR10215662_1_val_1	46174685.0	34350118.0
SRR10215662_2_val_2	47036674.0	33488129.0
SRR10215663_1_val_1	41251720.0	26492813.0
SRR10215663_2_val_2	41729963.0	26014570.0
SRR10215664_1_val_1	16321286.0	22031757.0
SRR10215664_2_val_2	16366180.0	21986863.0
SRR10215665_1_val_1	24296868.0	35528421.0
SRR10215665_2_val_2	24711339.0	35113950.0
SRR10215666_1_val_1	43627730.0	23476883.0
SRR10215666_2_val_2	43910088.0	23194525.0
SRR10215667_1_val_1	28243355.0	13698690.0
SRR10215667_2_val_2	28431450.0	13510595.0
SRR10215668_1_val_1	26865759.0	36285278.0
SRR10215668_2_val_2	27326705.0	35824332.0
SRR10215669_1_val_1	19070775.0	14134581.0
SRR10215669_2_val_2	19177897.0	14027459.0
SRR10215670_1_val_1	20801250.0	46377269.0
SRR10215670_2_val_2	20998913.0	46179606.0
SRR10215671_1_val_1	20667117.0	27163034.0
SRR10215671_2_val_2	20952520.0	26877631.0
SRR10215672_1_val_1	19091619.0	25088004.0
SRR10215672_2_val_2	19448082.0	24731541.0
SRR10215673_1_val_1	18751219.0	24957332.0
SRR10215673_2_val_2	19160955.0	24547596.0
SRR10215674_1_val_1	27919341.0	44188303.0
SRR10215674_2_val_2	28132966.0	43974678.0
SRR10215675_1_val_1	37471332.0	61651411.0
SRR10215675_2_val_2	38325910.0	60796833.0
SRR10215676_1_val_1	13129745.0	29601174.0
SRR10215676_2_val_2	13418234.0	29312685.0
SRR10215677_1_val_1	12224951.0	32978771.0
SRR10215677_2_val_2	12602062.0	32601660.0
SRR10215678_1_val_1	23576721.0	27132518.0
SRR10215678_2_val_2	22675789.0	28033450.0
SRR10215679_1_val_1	13632000.0	15465711.0
SRR10215679_2_val_2	13193277.0	15904434.0
SRR10215680_1_val_1	13728868.0	20353699.0
SRR10215680_2_val_2	14059119.0	20023448.0
SRR10215681_1_val_1	15154615.0	25726870.0
SRR10215681_2_val_2	15647318.0	25234167.0
SRR10215682_1_val_1	26055065.0	28351425.0
SRR10215682_2_val_2	26482911.0	27923579.0
SRR10215683_1_val_1	25963012.0	25906600.0
SRR10215683_2_val_2	26275015.0	25594597.0
SRR10215684_1_val_1	31577243.0	28922084.0
SRR10215684_2_val_2	31722011.0	28777316.0
SRR10215685_1_val_1	24010457.0	18390379.0
SRR10215685_2_val_2	24292371.0	18108465.0
SRR10215686_1_val_1	23955829.0	4337522.0
SRR10215686_2_val_2	23807734.0	4485617.0
SRR10215687_1_val_1	26656180.0	5666661.0
SRR10215687_2_val_2	26454829.0	5868012.0
SRR10215688_1_val_1	34686869.0	20183424.0
SRR10215688_2_val_2	34899617.0	19970676.0
SRR10215689_1_val_1	31142531.0	16519953.0
SRR10215689_2_val_2	31332508.0	16329976.0
