Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR10215662_1_val_1	(1.0, 49.650147017064484)	(2.0, 12.198992877576353)	(3.0, 2.407439250699779)	(4.0, 0.7385707059803651)	(5.0, 0.4416970048510814)	(6.0, 0.3592433787661595)	(7.0, 0.3392322539714723)	(8.0, 0.2821591335402762)	(9.0, 0.26559401460524473)	('>10', 5.385296243189914)	('>50', 2.963211118074681)	('>100', 7.5236122311886255)	('>500', 4.4203359262919495)	('>1k', 11.395119379663733)	('>5k', 1.4814526429076906)	('>10k+', 0.14789682162830192)
SRR10215662_2_val_2	(1.0, 51.163150507468366)	(2.0, 11.405224118267393)	(3.0, 2.2340153157046654)	(4.0, 0.7080268045624225)	(5.0, 0.4658566474452681)	(6.0, 0.3970556082052095)	(7.0, 0.3317046946448371)	(8.0, 0.2893371764494549)	(9.0, 0.2913178078152534)	('>10', 5.512082409794093)	('>50', 2.995930015940888)	('>100', 7.509838196395346)	('>500', 4.333385454950846)	('>1k', 10.95030639676612)	('>5k', 1.2919085732831266)	('>10k+', 0.12086027230679426)
SRR10215663_1_val_1	(1.0, 54.28076520199089)	(2.0, 10.404174556799479)	(3.0, 1.8982587920114071)	(4.0, 0.627337999394887)	(5.0, 0.4227346948388247)	(6.0, 0.34900112287374996)	(7.0, 0.359117472295385)	(8.0, 0.30666549834090556)	(9.0, 0.2702327348541455)	('>10', 5.6264877281781445)	('>50', 2.9304853501888917)	('>100', 7.440239741108323)	('>500', 4.543982658481173)	('>1k', 9.730505109618878)	('>5k', 0.75926554806105)	('>10k+', 0.05074579096388999)
SRR10215663_2_val_2	(1.0, 55.17896608263387)	(2.0, 10.03535131472503)	(3.0, 1.8266952727279624)	(4.0, 0.652997189706022)	(5.0, 0.4581052487353607)	(6.0, 0.3983710968329967)	(7.0, 0.3250676902406951)	(8.0, 0.31365408304056286)	(9.0, 0.2725387944260546)	('>10', 5.59906815738826)	('>50', 2.9387862994021963)	('>100', 7.4884370498149995)	('>500', 4.528029619588328)	('>1k', 9.365577769325382)	('>5k', 0.5856866338318316)	('>10k+', 0.03266769758034876)
SRR10215664_1_val_1	(1.0, 37.5105704770885)	(2.0, 6.166381133391073)	(3.0, 2.0554628522656255)	(4.0, 1.2197301991399574)	(5.0, 0.8102359359648827)	(6.0, 0.6100600233427572)	(7.0, 0.5032674016955854)	(8.0, 0.45509916601550227)	(9.0, 0.37529666904738007)	('>10', 8.259333303151646)	('>50', 4.797865114225745)	('>100', 12.760372193511646)	('>500', 7.526856782451774)	('>1k', 15.640853642037703)	('>5k', 1.2146323907602472)	('>10k+', 0.09398271590987481)
SRR10215664_2_val_2	(1.0, 37.44416737817093)	(2.0, 6.442456055414782)	(3.0, 2.15960801622602)	(4.0, 1.2050875195983917)	(5.0, 0.8401001520805069)	(6.0, 0.6100061192662819)	(7.0, 0.536311458156774)	(8.0, 0.41218814184229263)	(9.0, 0.4059378142964775)	('>10', 8.370499785109404)	('>50', 4.807002468670698)	('>100', 12.914817032480036)	('>500', 7.591706334845334)	('>1k', 15.171164544566304)	('>5k', 1.002124930053018)	('>10k+', 0.08682224922268893)
SRR10215665_1_val_1	(1.0, 35.538111671923055)	(2.0, 6.214656123378852)	(3.0, 2.14212253432152)	(4.0, 1.2851947192657327)	(5.0, 0.8730924623507061)	(6.0, 0.6867092774977906)	(7.0, 0.5460447069430469)	(8.0, 0.44292343927342076)	(9.0, 0.39490454759148047)	('>10', 6.997881178743534)	('>50', 4.236187188597448)	('>100', 11.402499693736624)	('>500', 6.577715344807841)	('>1k', 18.185036565112213)	('>5k', 3.763715987958063)	('>10k+', 0.7132045584989308)
SRR10215665_2_val_2	(1.0, 36.139213020328185)	(2.0, 6.3481851280031085)	(3.0, 2.1865645665716515)	(4.0, 1.299187380320938)	(5.0, 0.8716728367142027)	(6.0, 0.6575409856053175)	(7.0, 0.5594140239180704)	(8.0, 0.4441909436050068)	(9.0, 0.37863305322224794)	('>10', 7.240087472899134)	('>50', 4.271194210903221)	('>100', 11.51133799219285)	('>500', 6.466616088782503)	('>1k', 17.841052565709905)	('>5k', 3.257564182789495)	('>10k+', 0.5275455484341324)
SRR10215666_1_val_1	(1.0, 57.24790833450915)	(2.0, 12.24175905971122)	(3.0, 2.3429696679994563)	(4.0, 0.8853277137052735)	(5.0, 0.5441932540197185)	(6.0, 0.44939314110996026)	(7.0, 0.3812761171845057)	(8.0, 0.3510214990003512)	(9.0, 0.2854941724311412)	('>10', 5.229191153958305)	('>50', 2.5562800315194454)	('>100', 6.512040421226464)	('>500', 3.874185350676055)	('>1k', 6.827056942322465)	('>5k', 0.2719031406265422)	('>10k+', 0.0)
SRR10215666_2_val_2	(1.0, 57.84371219805718)	(2.0, 11.939644639503863)	(3.0, 2.2987640419007622)	(4.0, 0.8618104024530674)	(5.0, 0.5617411201468846)	(6.0, 0.44364403683853465)	(7.0, 0.358724975799104)	(8.0, 0.3348954689157983)	(9.0, 0.2878161027381412)	('>10', 5.20237713998348)	('>50', 2.5409296792283853)	('>100', 6.450765689707392)	('>500', 3.961170566951445)	('>1k', 6.6685000106739505)	('>5k', 0.24550392710197774)	('>10k+', 0.0)
