Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
SRR10215662_1_val_1	(20, 11896.0)	(22, 18221.0)	(24, 37529.0)	(26, 148861.0)	(28, 115234.0)	(30, 117810.0)	(32, 165251.0)	(34, 353298.0)	(36, 706339.0)	(38, 946581.0)	(40, 1620365.0)	(42, 1743427.0)	(44, 1567581.0)	(46, 1254133.0)	(48, 1122297.0)	(50, 1542100.0)	(52, 1620934.0)	(54, 1350668.0)	(56, 1129765.0)	(58, 986394.0)	(60, 1090920.0)	(62, 1201903.0)	(64, 1168773.0)	(66, 1095921.0)	(68, 919771.0)	(70, 963561.0)	(72, 1070673.0)	(74, 1017074.0)	(76, 862882.0)	(78, 796287.0)	(80, 827389.0)	(82, 886027.0)	(84, 859977.0)	(86, 803642.0)	(88, 757553.0)	(90, 804051.0)	(92, 919950.0)	(94, 1112642.0)	(96, 2196369.0)	(98, 14042668.0)	(100, 30568086.0)
SRR10215662_2_val_2	(20, 99745.0)	(22, 101731.0)	(24, 115397.0)	(26, 226151.0)	(28, 199116.0)	(30, 212660.0)	(32, 259619.0)	(34, 451276.0)	(36, 802484.0)	(38, 1043611.0)	(40, 1713045.0)	(42, 1832089.0)	(44, 1658850.0)	(46, 1345830.0)	(48, 1216929.0)	(50, 1580335.0)	(52, 1646524.0)	(54, 1394610.0)	(56, 1180951.0)	(58, 1041092.0)	(60, 1143460.0)	(62, 1254194.0)	(64, 1221503.0)	(66, 1149420.0)	(68, 971854.0)	(70, 1016000.0)	(72, 1124480.0)	(74, 1068317.0)	(76, 955234.0)	(78, 867901.0)	(80, 892385.0)	(82, 948478.0)	(84, 919184.0)	(86, 854918.0)	(88, 799500.0)	(90, 840112.0)	(92, 931096.0)	(94, 1078135.0)	(96, 2133285.0)	(98, 13417023.0)	(100, 28816279.0)
SRR10215663_1_val_1	(20, 23341.0)	(22, 32072.0)	(24, 51934.0)	(26, 168008.0)	(28, 132458.0)	(30, 141593.0)	(32, 183345.0)	(34, 353444.0)	(36, 663803.0)	(38, 883923.0)	(40, 1502604.0)	(42, 1608234.0)	(44, 1414090.0)	(46, 1100106.0)	(48, 982737.0)	(50, 1355521.0)	(52, 1432965.0)	(54, 1166747.0)	(56, 970584.0)	(58, 842097.0)	(60, 935365.0)	(62, 1037830.0)	(64, 995008.0)	(66, 927686.0)	(68, 759868.0)	(70, 789262.0)	(72, 897040.0)	(74, 860346.0)	(76, 668336.0)	(78, 627298.0)	(80, 662819.0)	(82, 733336.0)	(84, 714138.0)	(86, 678423.0)	(88, 664487.0)	(90, 733361.0)	(92, 823905.0)	(94, 977672.0)	(96, 2039954.0)	(98, 11870695.0)	(100, 24338098.0)
SRR10215663_2_val_2	(20, 68917.0)	(22, 71200.0)	(24, 84208.0)	(26, 190259.0)	(28, 163492.0)	(30, 175599.0)	(32, 212232.0)	(34, 380378.0)	(36, 694192.0)	(38, 907229.0)	(40, 1524023.0)	(42, 1615433.0)	(44, 1412495.0)	(46, 1111779.0)	(48, 1000768.0)	(50, 1335619.0)	(52, 1404734.0)	(54, 1155349.0)	(56, 962635.0)	(58, 830942.0)	(60, 919650.0)	(62, 1015688.0)	(64, 977089.0)	(66, 907233.0)	(68, 741517.0)	(70, 772429.0)	(72, 872758.0)	(74, 831332.0)	(76, 742173.0)	(78, 665351.0)	(80, 692286.0)	(82, 754988.0)	(84, 724239.0)	(86, 678995.0)	(88, 635147.0)	(90, 671515.0)	(92, 739703.0)	(94, 868580.0)	(96, 1807197.0)	(98, 11491359.0)	(100, 24933821.0)
SRR10215664_1_val_1	(20, 18078.0)	(22, 26897.0)	(24, 44159.0)	(26, 172106.0)	(28, 134307.0)	(30, 121259.0)	(32, 144123.0)	(34, 320439.0)	(36, 687617.0)	(38, 867459.0)	(40, 1171390.0)	(42, 1090632.0)	(44, 1039999.0)	(46, 950888.0)	(48, 843728.0)	(50, 1004244.0)	(52, 977279.0)	(54, 849136.0)	(56, 785935.0)	(58, 715458.0)	(60, 711827.0)	(62, 744538.0)	(64, 725313.0)	(66, 715190.0)	(68, 623477.0)	(70, 594241.0)	(72, 632382.0)	(74, 611162.0)	(76, 523001.0)	(78, 512696.0)	(80, 504182.0)	(82, 528470.0)	(84, 516652.0)	(86, 495790.0)	(88, 478137.0)	(90, 492839.0)	(92, 520470.0)	(94, 568396.0)	(96, 923814.0)	(98, 5228871.0)	(100, 9736462.0)
SRR10215664_2_val_2	(20, 24642.0)	(22, 25837.0)	(24, 35202.0)	(26, 151846.0)	(28, 118531.0)	(30, 104056.0)	(32, 122227.0)	(34, 297250.0)	(36, 669211.0)	(38, 846368.0)	(40, 1153796.0)	(42, 1062274.0)	(44, 1008078.0)	(46, 930204.0)	(48, 823232.0)	(50, 976643.0)	(52, 950793.0)	(54, 827958.0)	(56, 767362.0)	(58, 693307.0)	(60, 689541.0)	(62, 718729.0)	(64, 704548.0)	(66, 691401.0)	(68, 604756.0)	(70, 578924.0)	(72, 614497.0)	(74, 592628.0)	(76, 551731.0)	(78, 523177.0)	(80, 510752.0)	(82, 532414.0)	(84, 517062.0)	(86, 491428.0)	(88, 460530.0)	(90, 462367.0)	(92, 479132.0)	(94, 519408.0)	(96, 841981.0)	(98, 5263607.0)	(100, 10415613.0)
SRR10215665_1_val_1	(20, 22483.0)	(22, 31428.0)	(24, 56304.0)	(26, 233134.0)	(28, 168849.0)	(30, 151575.0)	(32, 167318.0)	(34, 359547.0)	(36, 796468.0)	(38, 1051868.0)	(40, 1599374.0)	(42, 1528087.0)	(44, 1409649.0)	(46, 1309980.0)	(48, 1159206.0)	(50, 1504691.0)	(52, 1500298.0)	(54, 1228561.0)	(56, 1118152.0)	(58, 1057605.0)	(60, 1086992.0)	(62, 1142196.0)	(64, 1017196.0)	(66, 1087912.0)	(68, 877316.0)	(70, 861839.0)	(72, 910356.0)	(74, 864955.0)	(76, 738288.0)	(78, 721269.0)	(80, 724723.0)	(82, 793531.0)	(84, 839962.0)	(86, 805690.0)	(88, 771882.0)	(90, 798559.0)	(92, 847760.0)	(94, 917767.0)	(96, 1526373.0)	(98, 8980233.0)	(100, 17055913.0)
SRR10215665_2_val_2	(20, 44305.0)	(22, 45128.0)	(24, 58992.0)	(26, 221903.0)	(28, 164773.0)	(30, 147219.0)	(32, 156629.0)	(34, 345601.0)	(36, 788005.0)	(38, 1038473.0)	(40, 1588421.0)	(42, 1500054.0)	(44, 1373908.0)	(46, 1289965.0)	(48, 1138252.0)	(50, 1470196.0)	(52, 1466664.0)	(54, 1203278.0)	(56, 1096404.0)	(58, 1032439.0)	(60, 1061953.0)	(62, 1108571.0)	(64, 989837.0)	(66, 1052852.0)	(68, 849213.0)	(70, 838142.0)	(72, 876778.0)	(74, 828895.0)	(76, 773371.0)	(78, 734418.0)	(80, 734045.0)	(82, 803412.0)	(84, 847164.0)	(86, 806437.0)	(88, 756484.0)	(90, 768728.0)	(92, 802892.0)	(94, 874365.0)	(96, 1451293.0)	(98, 8958541.0)	(100, 17737289.0)
SRR10215666_1_val_1	(20, 8336.0)	(22, 13066.0)	(24, 30397.0)	(26, 179982.0)	(28, 132340.0)	(30, 138190.0)	(32, 221978.0)	(34, 520387.0)	(36, 907746.0)	(38, 1058788.0)	(40, 1715877.0)	(42, 1789063.0)	(44, 1531440.0)	(46, 1188089.0)	(48, 1009663.0)	(50, 1384362.0)	(52, 1490985.0)	(54, 1168107.0)	(56, 936984.0)	(58, 790746.0)	(60, 879464.0)	(62, 975055.0)	(64, 914286.0)	(66, 824830.0)	(68, 677647.0)	(70, 708045.0)	(72, 788331.0)	(74, 732031.0)	(76, 610158.0)	(78, 546740.0)	(80, 563344.0)	(82, 600515.0)	(84, 594391.0)	(86, 541835.0)	(88, 485143.0)	(90, 498452.0)	(92, 545619.0)	(94, 641433.0)	(96, 1545602.0)	(98, 11504518.0)	(100, 25710648.0)
SRR10215666_2_val_2	(20, 46298.0)	(22, 46750.0)	(24, 59313.0)	(26, 209215.0)	(28, 162197.0)	(30, 169763.0)	(32, 254391.0)	(34, 553756.0)	(36, 941210.0)	(38, 1094036.0)	(40, 1752579.0)	(42, 1826279.0)	(44, 1569141.0)	(46, 1222667.0)	(48, 1045868.0)	(50, 1397191.0)	(52, 1497562.0)	(54, 1183436.0)	(56, 954923.0)	(58, 808960.0)	(60, 897923.0)	(62, 992388.0)	(64, 928361.0)	(66, 831226.0)	(68, 678705.0)	(70, 710733.0)	(72, 792238.0)	(74, 740378.0)	(76, 647343.0)	(78, 575354.0)	(80, 590923.0)	(82, 646338.0)	(84, 700228.0)	(86, 574841.0)	(88, 503410.0)	(90, 516018.0)	(92, 565110.0)	(94, 655235.0)	(96, 1534744.0)	(98, 11239435.0)	(100, 24988147.0)
