Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR10215662_1_val_1	42.65781146443928	43.0	83.87406999927711	98	18.181818181818183	80.52480299999999
SRR10215662_2_val_2	41.587347781970784	43.0	82.39233031715706	98	9.090909090909092	80.52480299999999
SRR10215663_1_val_1	39.10693918095015	43.0	82.91492998409186	98	9.090909090909092	67.74453299999999
SRR10215663_2_val_2	38.40098889925887	43.0	82.67188020175739	98	9.090909090909092	67.74453299999999
SRR10215664_1_val_1	57.44461315651931	47.0	76.40948822496301	82	27.27272727272727	38.353043
SRR10215664_2_val_2	57.32755974760344	47.0	77.12460159940895	84	27.27272727272727	38.353043
SRR10215665_1_val_1	59.38696253523524	46.0	78.85594037832395	90	18.181818181818183	59.825289
SRR10215665_2_val_2	58.69415864267683	46.0	79.22652700432421	90	18.181818181818183	59.825289
SRR10215666_1_val_1	34.98549939673737	44.0	82.33330388925721	98	9.090909090909092	67.104613
SRR10215666_2_val_2	34.564726126507466	44.0	81.6741424989665	98	9.090909090909092	67.104613
SRR10215667_1_val_1	32.66099808388118	43.0	82.3958603472959	98	18.181818181818183	41.942045
SRR10215667_2_val_2	32.21253452732037	43.0	81.32921879464867	98	9.090909090909092	41.942045
SRR10215668_1_val_1	57.45792920620618	43.0	79.02919818244632	90	27.27272727272727	63.151036999999995
SRR10215668_2_val_2	56.72801929746177	43.0	78.04841153281457	86	18.181818181818183	63.151036999999995
SRR10215669_1_val_1	42.56717253230906	44.0	81.25395294662704	96	9.090909090909092	33.205356
SRR10215669_2_val_2	42.24457034754702	44.0	80.62805705200088	96	9.090909090909092	33.205356
SRR10215670_1_val_1	69.03586109163402	44.0	74.46776755379202	76	18.181818181818183	67.178519
SRR10215670_2_val_2	68.7416265643147	44.0	74.07782129731082	76	18.181818181818183	67.178519
SRR10215671_1_val_1	56.79061052756922	45.0	81.2515889297527	96	18.181818181818183	47.830151
SRR10215671_2_val_2	56.193908471031015	45.0	81.54829043922525	98	18.181818181818183	47.830151
SRR10215672_1_val_1	56.786371127479846	45.0	82.09813726794364	98	18.181818181818183	44.179623
SRR10215672_2_val_2	55.979521128697115	45.0	82.23228893329397	98	18.181818181818183	44.179623
SRR10215673_1_val_1	57.099428045495465	45.0	82.2698318116288	98	18.181818181818183	43.708551
SRR10215673_2_val_2	56.16200014687544	45.0	82.41201140481641	98	18.181818181818183	43.708551
SRR10215674_1_val_1	61.28102475890053	44.0	79.29837874053963	90	27.27272727272727	72.107644
SRR10215674_2_val_2	60.98476700724453	44.0	78.43574195823122	86	18.181818181818183	72.107644
SRR10215675_1_val_1	62.19703903765498	44.0	78.08546457900181	86	18.181818181818183	99.122743
SRR10215675_2_val_2	61.334898301350755	44.0	78.04401455577153	86	18.181818181818183	99.122743
SRR10215676_1_val_1	69.27343251236493	47.0	40.92835707558735	42	20.0	42.730919
SRR10215676_2_val_2	68.59830376950235	47.0	40.89230365019765	42	20.0	42.730919
SRR10215677_1_val_1	72.95587720062366	49.0	40.43254732431104	41	20.0	45.203722
SRR10215677_2_val_2	72.12162824730368	49.0	40.3811738555511	41	20.0	45.203722
SRR10215678_1_val_1	53.50606428222843	44.0	78.60030010507553	90	27.27272727272727	50.709239
SRR10215678_2_val_2	55.28272842249471	44.0	78.52409840936481	90	27.27272727272727	50.709239
SRR10215679_1_val_1	53.15095548416278	44.0	76.38380378099157	84	27.27272727272727	29.097711
SRR10215679_2_val_2	54.65871187285091	44.0	76.14984434686289	82	27.27272727272727	29.097711
SRR10215680_1_val_1	59.71879722585675	48.0	40.82863409320078	42	20.0	34.082567
SRR10215680_2_val_2	58.74982455235592	48.0	40.78632642312417	42	20.0	34.082567
SRR10215681_1_val_1	62.930371848628816	48.0	40.89111386242452	42	20.0	40.881485
SRR10215681_2_val_2	61.7251734156318	48.0	40.85052705399522	42	20.0	40.881485
SRR10215682_1_val_1	52.11037388192759	44.0	81.41225083625133	96	18.181818181818183	54.40649
SRR10215682_2_val_2	51.32398562252197	44.0	81.36538212628678	98	18.181818181818183	54.40649
SRR10215683_1_val_1	49.94562300616967	44.0	81.59651238571054	98	9.090909090909092	51.869612
SRR10215683_2_val_2	49.34410780969948	44.0	81.73953585771955	98	9.090909090909092	51.869612
SRR10215684_1_val_1	47.805630165073595	44.0	77.55797543830529	88	9.090909090909092	60.499326999999994
SRR10215684_2_val_2	47.56634175243505	44.0	77.05784190789429	86	9.090909090909092	60.499326999999994
SRR10215685_1_val_1	43.37268160768528	44.0	76.61126643823721	84	9.090909090909092	42.400836
SRR10215685_2_val_2	42.707804022545716	44.0	76.51201707438032	84	9.090909090909092	42.400836
SRR10215686_1_val_1	15.330538035088495	49.0	78.60833838664074	96	18.181818181818183	28.293350999999998
SRR10215686_2_val_2	15.853964866761942	49.0	78.07760641360579	96	18.181818181818183	28.293350999999998
SRR10215687_1_val_1	17.531447523375505	48.0	79.01490591436563	98	18.181818181818183	32.322841
SRR10215687_2_val_2	18.15438312697789	48.0	78.58933323651841	96	18.181818181818183	32.322841
SRR10215688_1_val_1	36.783882704236426	44.0	79.28268446643797	94	9.090909090909092	54.870293
SRR10215688_2_val_2	36.39615469625568	44.0	79.36754357225685	94	9.090909090909092	54.870293
SRR10215689_1_val_1	34.660287330364355	44.0	79.23875088004226	94	9.090909090909092	47.662484
SRR10215689_2_val_2	34.26169762742727	44.0	79.32007580637216	94	9.090909090909092	47.662484
