Module	Section	Sample Name	Source
FastQC	all_sections	SRR10215681_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215681_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215667_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215667_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215664_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215664_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215682_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215682_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215679_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215679_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215681_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215681_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215688_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215688_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215689_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215689_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215676_2_val_2	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215676_2_val_2_fastqc.zip
FastQC	all_sections	SRR10215663_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215663_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215666_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215666_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215677_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215677_1_val_1_fastqc.zip
FastQC	all_sections	SRR10215678_1_val_1	/home/flanary/Dry_Lab/13cRA/atac-seq/untreated/GSE138293/04_post-trim_qc/fastqc_output/SRR10215678_1_val_1_fastqc.zip
