run,sample,cell_line,replicate,rep_name,assay,instrument,layout,platform,study
SRR10215662,GSM4104571,COG-N-415,rep1,COG-N-415_rep1,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215663,GSM4104572,COG-N-415,rep2,COG-N-415_rep2,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215664,GSM4104573,COG-N-440,rep1,COG-N-440_rep1,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215665,GSM4104574,COG-N-440,rep2,COG-N-440_rep2,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215666,GSM4104575,COG-N-453,rep1,COG-N-453_rep1,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215667,GSM4104576,COG-N-453,rep2,COG-N-453_rep2,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215668,GSM4104577,KELLY,rep1,KELLY_rep1,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215669,GSM4104578,KELLY,rep2,KELLY_rep2,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215670,GSM4104579,LA-N-5,rep1,LA-N-5_rep1,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215671,GSM4104580,LA-N-5,rep2,LA-N-5_rep2,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215672,GSM4104581,NB-1,rep1,NB-1_rep1,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215673,GSM4104582,NB-1,rep2,NB-1_rep2,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215674,GSM4104583,NB-1643,rep1,NB-1643_rep1,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215675,GSM4104584,NB-1643,rep2,NB-1643_rep2,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215676,GSM4104585,NB-69,rep1,NB-69_rep1,ATAC-seq,NextSeq 500,PAIRED,ILLUMINA,SRP223941
SRR10215677,GSM4104586,NB-69,rep2,NB-69_rep2,ATAC-seq,NextSeq 500,PAIRED,ILLUMINA,SRP223941
SRR10215678,GSM4104587,NBL-S,rep1,NBL-S_rep1,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215679,GSM4104588,NBL-S,rep2,NBL-S_rep2,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215680,GSM4104589,NGP,rep1,NGP_rep1,ATAC-seq,NextSeq 500,PAIRED,ILLUMINA,SRP223941
SRR10215681,GSM4104590,NGP,rep2,NGP_rep2,ATAC-seq,NextSeq 500,PAIRED,ILLUMINA,SRP223941
SRR10215682,GSM4104591,SK-N-AS,rep1,SK-N-AS_rep1,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215683,GSM4104592,SK-N-AS,rep2,SK-N-AS_rep2,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215684,GSM4104593,SK-N-BE(2)-C,rep1,SK-N-BE(2)-C_rep1,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215685,GSM4104594,SK-N-BE(2)-C,rep2,SK-N-BE(2)-C_rep2,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215686,GSM4104595,SK-N-FI,rep1,SK-N-FI_rep1,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215687,GSM4104596,SK-N-FI,rep2,SK-N-FI_rep2,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215688,GSM4104597,SK-N-SH,rep1,SK-N-SH_rep1,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
SRR10215689,GSM4104598,SK-N-SH,rep2,SK-N-SH_rep2,ATAC-seq,Illumina HiSeq 2500,PAIRED,ILLUMINA,SRP223941
