Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
IMR5_rep1_R1	61.5545264803	50.0	101.0	43808923.0	9.09090909091
IMR5_rep1_R2	61.917219305	50.0	101.0	43808923.0	9.09090909091
IMR5_rep2_R1	64.8954430994	48.0	101.0	30482349.0	9.09090909091
IMR5_rep2_R2	65.9765177039	49.0	101.0	30482349.0	9.09090909091
SHEP_rep1_R1	57.8184117323	50.0	101.0	22498888.0	9.09090909091
SHEP_rep1_R2	58.875415154	51.0	101.0	22498888.0	9.09090909091
SHEP_rep2_R1	60.0691928613	48.0	101.0	16816450.0	9.09090909091
SHEP_rep2_R2	61.227445351	49.0	101.0	16816450.0	9.09090909091
SKNAS_rep1_R1	58.3403557627	52.0	101.0	38254966.0	9.09090909091
SKNAS_rep1_R2	58.6715136152	52.0	101.0	38254966.0	9.09090909091
SKNAS_rep2_R1	62.845673765	48.0	101.0	26084604.0	9.09090909091
SKNAS_rep2_R2	64.44818992	48.0	101.0	26084604.0	9.09090909091
SY5Y_rep1_R1	58.5573142495	49.0	101.0	26029501.0	9.09090909091
SY5Y_rep1_R2	58.8291784863	49.0	101.0	26029501.0	9.09090909091
SY5Y_rep2_R1	69.3012919677	48.0	101.0	38665078.0	9.09090909091
SY5Y_rep2_R2	70.0227938909	49.0	101.0	38665078.0	9.09090909091
