IMR5	SHEP	SKNAS	SY5Y
ENSG00000223972.5	8	2	1	0
ENSG00000227232.5	142	183	117	138
ENSG00000278267.1	8	4	3	11
ENSG00000243485.3	2	0	0	0
ENSG00000274890.1	0	0	0	0
ENSG00000237613.2	0	0	0	1
ENSG00000268020.3	0	0	0	0
ENSG00000240361.1	0	0	0	0
ENSG00000186092.4	0	0	0	0
ENSG00000238009.5	2	1	1	1
ENSG00000239945.1	0	0	0	0
ENSG00000233750.3	8	4	0	10
ENSG00000268903.1	5	4	10	12
ENSG00000269981.1	2	1	4	9
ENSG00000239906.1	0	0	0	0
ENSG00000241860.5	16	5	10	10
ENSG00000222623.1	0	0	0	0
ENSG00000241599.1	0	0	0	0
ENSG00000279928.1	4	3	4	2
ENSG00000279457.2	259	241	160	207
ENSG00000273874.1	0	0	0	0
ENSG00000275135.1	0	0	0	0
ENSG00000228463.7	30	23	21	19
ENSG00000241670.3	0	0	0	0
ENSG00000236679.2	1	1	3	3
ENSG00000236743.1	0	0	0	0
ENSG00000236601.1	0	0	0	0
ENSG00000237094.10	27	13	47	55
ENSG00000269732.1	0	0	0	0
ENSG00000278566.1	0	0	0	0
ENSG00000224813.2	0	0	0	0
ENSG00000233653.3	0	0	0	0
ENSG00000250575.1	1	0	0	1
ENSG00000278757.1	0	0	0	0
ENSG00000231709.1	0	4	0	2
ENSG00000235146.2	0	0	0	0
ENSG00000239664.2	0	0	0	0
ENSG00000230021.6	3	4	0	0
ENSG00000223659.1	0	0	0	0
ENSG00000225972.1	149	77	89	130
ENSG00000225630.1	299	310	364	286
ENSG00000276171.1	2	1	1	4
ENSG00000237973.1	512	349	354	532
ENSG00000278791.1	0	0	0	0
ENSG00000229344.1	133	66	97	109
ENSG00000240409.1	0	1	2	2
ENSG00000248527.1	495	416	397	464
ENSG00000198744.5	70	36	71	65
ENSG00000268663.1	0	0	0	0
ENSG00000273547.1	0	0	0	0
ENSG00000229376.3	15	7	3	5
ENSG00000224956.5	28	11	34	13
ENSG00000235373.1	5	3	2	7
ENSG00000223181.1	1	0	0	0
ENSG00000240618.1	15	5	19	27
ENSG00000229905.1	4	0	2	0
ENSG00000228327.2	85	29	63	88
ENSG00000237491.7	93	58	98	101
ENSG00000230092.6	11	12	7	12
ENSG00000177757.2	23	10	26	26
ENSG00000228794.7	1088	636	682	1076
ENSG00000225880.5	70	27	29	69
ENSG00000230368.2	4	0	0	0
ENSG00000234711.1	0	0	0	2
ENSG00000272438.1	193	0	16	159
ENSG00000230699.2	479	11	54	272
ENSG00000241180.1	33	0	1	28
ENSG00000223764.2	1422	28	380	941
ENSG00000187634.9	2431	70	689	1765
ENSG00000188976.9	3539	3227	3389	2958
ENSG00000187961.12	968	318	722	715
ENSG00000277294.1	0	0	0	0
ENSG00000187583.9	34	28	206	97
ENSG00000187642.8	239	250	283	708
ENSG00000272512.1	34	16	7	9
ENSG00000188290.9	141	83	75	219
ENSG00000187608.7	207	422	324	68
ENSG00000231702.2	0	0	0	0
ENSG00000224969.1	0	2	3	7
ENSG00000188157.12	1931	4137	2173	1519
ENSG00000242590.1	0	0	0	0
ENSG00000217801.8	17	164	12	43
ENSG00000273443.1	4	3	2	1
ENSG00000237330.2	12	2	2	65
ENSG00000131591.16	962	581	729	736
ENSG00000223823.1	0	0	0	9
ENSG00000207730.2	0	0	1	0
ENSG00000207607.2	0	0	0	0
ENSG00000198976.1	0	1	0	0
ENSG00000272141.1	3	0	4	24
ENSG00000205231.1	2	0	0	3
ENSG00000162571.12	0	2	4	2
ENSG00000186891.12	24	4	8	4
ENSG00000186827.9	10	3	22	6
ENSG00000078808.15	2397	2329	2571	1972
ENSG00000176022.4	1420	1617	1369	1188
