Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_sequence_quality_scores
SRR4787012_1	pass	0.0	fail	99.250182506	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	pass	80046676.0	pass	fail	warn	51.0	40.2867241364	SRR4787012_1.fastq	pass
SRR4787012_2	pass	0.0	fail	99.2316271321	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	pass	80046676.0	pass	warn	pass	52.0	45.1279024439	SRR4787012_2.fastq	pass
SRR4787013_1	pass	0.0	warn	99.3380988795	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	92123053.0	pass	fail	warn	48.0	61.5091181803	SRR4787013_1.fastq	pass
SRR4787013_2	pass	0.0	fail	99.3149713351	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	92123053.0	pass	warn	warn	49.0	43.8402275523	SRR4787013_2.fastq	pass
SRR4787014_1	pass	0.0	fail	99.3260836454	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	84109551.0	pass	fail	warn	48.0	48.9198550089	SRR4787014_1.fastq	pass
SRR4787014_2	pass	0.0	warn	99.2954816511	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	84109551.0	pass	fail	warn	48.0	53.2914488468	SRR4787014_2.fastq	pass
SRR4787015_1	pass	0.0	fail	99.3179636025	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	83328330.0	pass	fail	warn	48.0	49.0198770594	SRR4787015_1.fastq	pass
SRR4787015_2	pass	0.0	warn	99.2820139321	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	83328330.0	pass	warn	warn	49.0	53.7738323206	SRR4787015_2.fastq	pass
SRR4787016_1	pass	0.0	fail	99.2821370097	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	83215194.0	pass	fail	warn	49.0	41.2069315178	SRR4787016_1.fastq	pass
SRR4787016_2	pass	0.0	fail	99.25489112	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	83215194.0	pass	fail	warn	50.0	45.7802401986	SRR4787016_2.fastq	pass
SRR4787017_1	pass	0.0	fail	99.2046693275	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	76440472.0	pass	fail	warn	54.0	36.1289605667	SRR4787017_1.fastq	pass
SRR4787017_2	pass	0.0	fail	99.2021866898	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	76440472.0	pass	warn	warn	54.0	40.6432887445	SRR4787017_2.fastq	pass
SRR4787018_1	pass	0.0	warn	99.2939354422	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	83033886.0	pass	fail	warn	47.0	51.2646448261	SRR4787018_1.fastq	pass
SRR4787018_2	pass	0.0	warn	99.2653526778	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	83033886.0	pass	fail	warn	48.0	55.9876319771	SRR4787018_2.fastq	pass
