Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
SRR4787012_1	59.7132758636	51.0	99.250182506	80046676.0	20.0
SRR4787012_2	54.8720975561	52.0	99.2316271321	80046676.0	10.0
SRR4787013_1	38.4908818197	48.0	99.3380988795	92123053.0	10.0
SRR4787013_2	56.1597724477	49.0	99.3149713351	92123053.0	20.0
SRR4787014_1	51.0801449911	48.0	99.3260836454	84109551.0	20.0
SRR4787014_2	46.7085511532	48.0	99.2954816511	84109551.0	10.0
SRR4787015_1	50.9801229406	48.0	99.3179636025	83328330.0	30.0
SRR4787015_2	46.2261676794	49.0	99.2820139321	83328330.0	10.0
SRR4787016_1	58.7930684822	49.0	99.2821370097	83215194.0	30.0
SRR4787016_2	54.2197598014	50.0	99.25489112	83215194.0	30.0
SRR4787017_1	63.8710394333	54.0	99.2046693275	76440472.0	20.0
SRR4787017_2	59.3567112555	54.0	99.2021866898	76440472.0	20.0
SRR4787018_1	48.7353551739	47.0	99.2939354422	83033886.0	10.0
SRR4787018_2	44.0123680229	48.0	99.2653526778	83033886.0	20.0
SRR4787019_1	51.1841583176	50.0	99.2301057335	68717462.0	20.0
SRR4787019_2	46.636082875	51.0	99.2133773509	68717462.0	0.0
SRR4787020_1	48.4683852538	48.0	99.3267508878	71117034.0	10.0
SRR4787020_2	43.9051220353	48.0	99.2997893585	71117034.0	10.0
SRR4787021_1	59.857140659	51.0	99.2833718776	78475162.0	20.0
SRR4787021_2	50.3174236102	52.0	99.2996947748	78475162.0	10.0
SRR4787022_1	69.5236914262	54.0	99.1505777452	82702208.0	30.0
SRR4787022_2	64.8514939948	55.0	99.1536678682	82702208.0	10.0
SRR4787023_1	52.7749401133	48.0	99.4284212285	86372417.0	20.0
SRR4787023_2	47.4060498151	49.0	99.395670333	86372417.0	10.0
SRR4787024_1	70.5427296644	55.0	99.0299776756	101302784.0	30.0
SRR4787024_2	66.6766119047	56.0	99.0235751073	101302784.0	20.0
SRR4787025_1	44.0116473992	46.0	99.2212375322	81418179.0	20.0
SRR4787025_2	39.378195431	47.0	99.1959937596	81418179.0	20.0
SRR4787026_1	55.0376516258	48.0	99.2028917648	79149728.0	20.0
SRR4787026_2	49.6829172032	49.0	99.2098401399	79149728.0	0.0
SRR4787027_1	65.4137131943	53.0	99.1412829447	90209190.0	20.0
SRR4787027_2	64.4877666815	53.0	99.0988175373	90209190.0	20.0
SRR4787028_1	36.3020097738	49.0	99.2055381819	85581588.0	10.0
SRR4787028_2	52.9978640544	49.0	99.1883482695	85581588.0	10.0
SRR4787029_1	45.7688128467	49.0	98.6574300855	72798220.0	10.0
SRR4787029_2	46.7577264189	49.0	98.6129392999	72798220.0	0.0
SRR4787030_1	49.6160073873	48.0	99.3378415667	94227745.0	10.0
SRR4787030_2	43.9306717807	48.0	99.3127196454	94227745.0	10.0
SRR4787031_1	33.6006833854	48.0	99.1208214017	94432922.0	20.0
SRR4787031_2	47.8871638952	49.0	99.1159621429	94432922.0	10.0
SRR4787032_1	57.5964449443	49.0	99.1651238232	78615452.0	30.0
SRR4787032_2	53.6195659223	50.0	99.1549591548	78615452.0	20.0
SRR4787033_1	29.4888644573	46.0	99.1840729907	97220939.0	10.0
SRR4787033_2	42.0980757132	47.0	99.1754842442	97220939.0	10.0
SRR4787034_1	56.7306888718	50.0	99.3859704961	76622253.0	20.0
SRR4787034_2	52.2118830582	50.0	99.3615050709	76622253.0	10.0
SRR4787035_1	33.6815106948	47.0	99.0008712112	89523640.0	10.0
SRR4787035_2	49.1321856571	48.0	99.0000664406	89523640.0	0.0
SRR4787036_1	45.5826139283	48.0	99.1651543362	70193101.0	20.0
SRR4787036_2	41.3228302256	48.0	99.1405040219	70193101.0	10.0
SRR4787037_1	59.9106159696	51.0	99.0820027084	75599003.0	20.0
SRR4787037_2	55.3446993058	52.0	99.0735242368	75599003.0	10.0
SRR4787038_1	32.771724295	48.0	99.1483638058	89780846.0	10.0
SRR4787038_2	48.517656135	49.0	99.13639495	89780846.0	0.0
SRR4787039_1	59.5861660793	49.0	99.2642796522	90730939.0	20.0
SRR4787039_2	56.1599669661	49.0	99.2428363383	90730939.0	20.0
SRR4787040_1	44.0656206612	48.0	99.1107607147	79287986.0	20.0
SRR4787040_2	46.2413375689	48.0	99.0433222002	79287986.0	10.0
SRR4787041_1	62.5328035203	53.0	99.031897326	85733989.0	20.0
SRR4787041_2	62.3917644167	54.0	98.9875063436	85733989.0	20.0
SRR4787043_1	54.5801216149	48.0	99.3431022643	91999285.0	20.0
SRR4787043_2	49.7426724136	48.0	99.3057186477	91999285.0	0.0
SRR4787044_1	51.8699130732	50.0	99.0608596376	78330634.0	20.0
SRR4787044_2	53.808386748	51.0	98.9972406709	78330634.0	10.0
SRR4787045_1	55.4343560568	49.0	99.2448241884	85701728.0	20.0
SRR4787045_2	51.1340851571	49.0	99.2409588754	85701728.0	10.0
SRR4787046_1	60.3690817017	49.0	99.2805692268	91036609.0	30.0
SRR4787046_2	57.1830972939	50.0	99.2647172084	91036609.0	20.0
SRR4787047_1	54.6742608727	48.0	99.2176933814	91354183.0	20.0
SRR4787047_2	50.6512333831	49.0	99.2038657496	91354183.0	10.0
SRR4787048_1	46.1225489853	49.0	99.0193796026	74275104.0	10.0
SRR4787048_2	48.5626125721	49.0	98.9601204732	74275104.0	10.0
SRR4787049_1	48.3313556522	47.0	99.1116758575	92676799.0	10.0
SRR4787049_2	44.298833446	47.0	99.103770837	92676799.0	0.0
SRR4787050_1	43.2543978821	47.0	99.3310963077	79285934.0	10.0
SRR4787050_2	38.5555443868	47.0	99.301611557	79285934.0	10.0
SRR4787051_1	37.7116773423	48.0	99.2989661487	93253454.0	20.0
SRR4787051_2	53.7305750592	49.0	99.2825383819	93253454.0	10.0
SRR4787052_1	36.1759576372	48.0	99.2330921117	63052537.0	0.0
SRR4787052_2	32.0134979078	48.0	99.2193891897	63052537.0	10.0
