p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
4.485411139617928e-115,3.1998046525411366,0.246,0.061,1.8771445619301026e-110,0,LY6H
4.877895111362517e-75,2.9377081477858367,0.327,0.142,2.0413991041052134e-70,0,NEFL
3.58853455722409e-67,2.4009081447145006,0.278,0.11,1.5018017121982816e-62,0,SIX3
8.734426323380991e-52,3.734381384157671,0.212,0.083,3.655357416334945e-47,0,NYAP2
1.1216954838520416e-42,2.100874833869498,0.305,0.163,4.6942955999207944e-38,0,NEFM
1.5594332397696166e-38,2.5258376816767867,0.209,0.094,6.526228108435846e-34,0,FEV
1.2996987403529588e-31,2.671207406762198,0.296,0.172,5.4392392283771326e-27,0,MYCN
5.924069570619688e-27,2.0252316016378384,0.647,0.628,2.4792231153043394e-22,0,H2AZ1
3.653804718167072e-25,2.1829100760587705,0.323,0.228,1.5291172745529197e-20,0,PFN2
0.02288905874587492,2.076514123515919,0.229,0.232,1,0,SLC25A4
0,7.5357021785475276,0.234,0.007,0,1,GZMK
0,7.367619910053931,0.375,0.016,0,1,GZMA
0,7.069498296415187,0.328,0.027,0,1,KLRB1
0,6.738956990301582,0.311,0.012,0,1,CTSW
0,6.670486847588071,0.542,0.067,0,1,CCL5
0,6.648054476876151,0.382,0.01,0,1,GZMM
0,6.069638094345324,0.365,0.025,0,1,CST7
0,5.869406633557023,0.397,0.055,0,1,NKG7
0,5.815212634619181,0.513,0.021,0,1,CD2
0,5.774652511389132,0.254,0.011,0,1,TRAT1
0,5.770276499180956,0.511,0.032,0,1,IL7R
0,5.7451079688362405,0.664,0.038,0,1,TRAC
0,5.574458455541828,0.201,0.008,0,1,ICOS
0,5.458027828940461,0.2,0.008,0,1,CD6
0,5.169154053096559,0.621,0.041,0,1,CD7
0,5.124421502093936,0.217,0.011,0,1,SH2D1A
0,5.035280919239711,0.588,0.029,0,1,CD3E
0,4.926415617436698,0.273,0.012,0,1,CD96
0,4.786554010839168,0.341,0.022,0,1,CD247
0,4.601982458277099,0.474,0.031,0,1,LCK
0,4.469841978229695,0.312,0.03,0,1,CD27
0,4.4320513243757,0.755,0.1,0,1,IL32
0,4.261458176901318,0.448,0.033,0,1,TRBC1
0,4.097464360346579,0.484,0.058,0,1,PLAAT4
0,4.087788012139003,0.661,0.094,0,1,HCST
0,4.081331699143085,0.298,0.021,0,1,SKAP1
0,4.059062964231926,0.727,0.048,0,1,CD3D
0,4.013741292803992,0.444,0.024,0,1,CD3G
0,3.9330705500072667,0.743,0.114,0,1,PTPRC
0,3.9200420916634684,0.335,0.04,0,1,BIN2
0,3.8006138147039485,0.625,0.093,0,1,TNFAIP3
0,3.732262146147881,0.662,0.067,0,1,TRBC2
0,3.628638627392593,0.518,0.069,0,1,ACAP1
0,3.5885762247532194,0.456,0.078,0,1,RGCC
0,3.5880625373789528,0.345,0.042,0,1,ITM2A
0,3.550882765753371,0.383,0.057,0,1,SAMSN1
0,3.493249153282199,0.667,0.146,0,1,LTB
0,3.4769767252789685,0.243,0.019,0,1,CD8B
0,3.427739594278337,0.504,0.072,0,1,FYB1
0,3.396948526298252,0.537,0.08,0,1,CYTIP
0,3.2884148905208117,0.559,0.114,0,1,DUSP2
0,3.2638620915526895,0.516,0.089,0,1,RAC2
0,3.1239842316820536,0.515,0.115,0,1,STK17B
0,3.1147420747677597,0.791,0.355,0,1,ZFP36L2
0,3.0555380364516465,0.662,0.172,0,1,CORO1A
0,3.019998956920607,0.582,0.081,0,1,CD69
0,2.959265983464073,0.685,0.169,0,1,S100A4
0,2.9306403093935067,0.57,0.125,0,1,GYPC
0,2.8797314162091245,0.788,0.199,0,1,ARHGDIB
0,2.8608036410155697,0.856,0.172,0,1,CD52
0,2.7243093000401086,0.58,0.142,0,1,GMFG
0,2.697180724971379,0.567,0.131,0,1,GPSM3
0,2.654401730284204,0.583,0.129,0,1,RGS1
0,2.581320988608399,0.845,0.246,0,1,CXCR4
0,2.5408680474403327,0.801,0.188,0,1,SRGN
0,2.450892644631609,0.936,0.416,0,1,HLA-A
0,2.4462289540411017,0.989,0.638,0,1,B2M
0,2.3677509264141574,0.91,0.352,0,1,HLA-C
0,2.326431253633556,0.827,0.274,0,1,HLA-E
0,2.110317066968849,0.933,0.372,0,1,HLA-B
0,2.019345397054715,0.989,0.875,0,1,TMSB4X
2.7796538984767437e-306,2.5644065592356884,0.462,0.086,1.1632851565125173e-301,1,RHOH
1.707495490187074e-300,4.10971643995604,0.301,0.035,7.145868626432904e-296,1,RUNX3
8.996256620669546e-289,3.4197374629555606,0.314,0.04,3.764933395750205e-284,1,TBC1D10C
1.4599769300992524e-286,3.342580092344985,0.358,0.055,6.110003452465371e-282,1,IL2RG
1.0524707300342235e-285,4.220877647545381,0.251,0.024,4.4045900051932254e-281,1,PTPN22
4.198080527580272e-280,2.6742397598304573,0.611,0.186,1.7568967007923437e-275,1,FXYD5
3.5589515663358085e-279,2.8826324192678174,0.737,0.327,1.4894212305115358e-274,1,TSC22D3
2.9853801099931115e-278,3.810617978486448,0.26,0.027,1.249381576032117e-273,1,GIMAP7
1.1893603476970832e-277,4.574350655236051,0.231,0.021,4.977473055112293e-273,1,LAT
3.518896970246658e-275,2.324815962765701,0.82,0.458,1.4726583820482264e-270,1,SH3BGRL3
3.593658739670349e-273,2.810203467118471,0.421,0.08,1.503946182552041e-268,1,CLEC2D
2.525170113944865e-271,2.640486510801416,0.451,0.093,1.056783692685926e-266,1,CD48
3.183105720528567e-269,2.314644697553219,0.502,0.116,1.3321297440412052e-264,1,ISG20
2.2661113277033204e-265,3.767207797497436,0.341,0.054,9.483675906438397e-261,1,TUBA4A
4.844966885537598e-264,4.057320268129889,0.214,0.018,2.0276186415974849e-259,1,RNF125
2.2027236236664053e-258,4.266273076499749,0.237,0.024,9.218398365043906e-254,1,SYTL3
8.450896156704088e-254,3.100860227419324,0.361,0.063,3.536700041580661e-249,1,ICAM3
2.0288675977033715e-252,3.4224248818045666,0.276,0.035,8.49081089638861e-248,1,IFITM1
8.107310283078451e-252,3.7438663680318838,0.304,0.044,3.392909353468332e-247,1,PTGER4
1.2727056338071178e-250,2.9580844569109557,0.5,0.126,5.326273077482788e-246,1,ANXA1
6.5120283465061165e-248,3.426136654661999,0.303,0.044,2.7252838630128095e-243,1,PTPN7
8.668247663757303e-241,2.1622177363218937,0.826,0.515,3.6276616472824316e-236,1,BTG1
6.033981252155408e-237,3.898081891648786,0.273,0.037,2.525221154027038e-232,1,SLA
1.4500890735256091e-236,4.083279694540404,0.263,0.035,6.068622772704674e-232,1,CD8A
2.548363136754884e-230,2.8270183761732675,0.366,0.07,1.0664899727319188e-225,1,ETS1
1.7685259251429336e-229,2.325400185715869,0.533,0.151,7.401280996723177e-225,1,NR4A2
4.009685217453528e-229,7.364287973692469,0.238,0.029,1.6780532635043016e-224,1,GNLY
1.3708427191521054e-227,2.7232882622213004,0.601,0.221,5.736976779651561e-223,1,CREM
1.674738830953962e-226,3.2692496826617576,0.28,0.041,7.008782007542331e-222,1,TRAF3IP3
1.4135701010094758e-225,3.947137113578213,0.248,0.032,5.915790872724656e-221,1,DOK2
5.041830220377188e-223,2.1497320865204035,0.563,0.174,2.110005947227853e-218,1,IFITM2
6.412846474941817e-219,3.378410630516979,0.326,0.06,2.6837762497631505e-214,1,ADGRE5
4.298176351159668e-217,2.8079190286359115,0.399,0.09,1.7987868029603212e-212,1,STK17A
6.015271063792801e-217,2.992658149465708,0.403,0.094,2.5173909401972873e-212,1,CLEC2B
1.3156029594663723e-214,2.7023359054718012,0.586,0.226,5.505798385366768e-210,1,STK4
1.2557387407701853e-212,2.9720268405276196,0.325,0.06,5.255266630123226e-208,1,CEMIP2
1.9584375012577485e-211,4.118690811647362,0.204,0.022,8.196060942763678e-207,1,STAT4
3.562229726591298e-205,4.227860274426444,0.209,0.024,1.490793140578458e-200,1,PCED1B-AS1
3.931604754978662e-205,2.969179269307503,0.254,0.036,1.64537658995857e-200,1,CCR7
2.3852372344955227e-198,2.346117088366521,0.484,0.144,9.982217826363762e-194,1,ELF1
5.8333466024855445e-198,2.067676075232203,0.701,0.356,2.4412555531402004e-193,1,MYL12A
1.9604222038505748e-196,2.516304063148837,0.401,0.098,8.204366923114655e-192,1,LSP1
1.7376519268192288e-193,2.2033826654425743,0.466,0.132,7.272073313738473e-189,1,SLC2A3
1.876695106107899e-192,3.1418193730537833,0.292,0.053,7.853969019061557e-188,1,IKZF1
1.139007624987968e-191,2.5184255245431646,0.355,0.077,4.766746910574646e-187,1,ITGB2
2.7090359707161345e-190,3.0779683370912183,0.24,0.035,1.1337315537447023e-185,1,LEF1
8.440397078167666e-190,2.863365467944735,0.412,0.112,3.532306177213168e-185,1,LCP1
1.287946246320959e-187,3.473779219597248,0.297,0.058,5.390055040853213e-183,1,SPOCK2
2.4417693559671996e-185,3.188347466213875,0.251,0.04,1.0218804754722731e-180,1,GIMAP4
1.278071823842497e-175,3.468698486507077,0.224,0.033,5.34873058278085e-171,1,HOPX
6.5745471615253975e-174,3.3613682720790257,0.209,0.029,2.7514479870983785e-169,1,SIT1
9.84040761930697e-174,2.9905314138645966,0.558,0.259,4.118210588679967e-169,1,LEPROTL1
4.493325833910967e-171,2.2763951504270037,0.365,0.089,1.8804568614917396e-166,1,CD53
6.727940426374657e-169,2.8914557682975404,0.284,0.056,2.815643068437794e-164,1,GPR65
6.349824723420252e-163,2.013060241914122,0.411,0.114,2.6574016467513754e-158,1,BIRC3
5.553467072409212e-162,2.0953263128651325,0.453,0.145,2.3241259698032555e-157,1,EMP3
1.1255392530715201e-159,3.2211565644819737,0.281,0.059,4.710381774104312e-155,1,ITGA4
3.8510164638870975e-155,2.3280422789053534,0.236,0.041,1.6116503901367502e-150,1,PRKCH
7.014411686848428e-152,2.2600548042272175,0.508,0.201,2.9355312909460674e-147,1,ZNF331
6.876858541425819e-151,2.9782021621966654,0.223,0.038,2.8779652995867055e-146,1,TENT5C
1.4512261740337664e-148,3.0956510682460046,0.267,0.057,6.073381538331312e-144,1,EMB
1.334751235005379e-146,4.333750022086737,0.35,0.101,5.585933918497511e-142,1,CCL4
1.9534471485426114e-146,2.5511740719417846,0.322,0.082,8.17517631665083e-142,1,HLA-F
3.44245820480973e-146,2.726262483450437,0.28,0.062,1.440668758712872e-141,1,CNN2
1.275409797913327e-144,3.263422458155901,0.213,0.037,5.337590004267273e-140,1,IL27RA
3.948183642982263e-144,2.5265773835685637,0.341,0.092,1.6523148545880771e-139,1,KLF2
4.0033267273216153e-143,3.705987543284004,0.205,0.035,1.675392235384096e-138,1,RCAN3
1.6310022915168387e-136,2.706262941401606,0.252,0.054,6.82574458999797e-132,1,SOCS1
3.555087494571516e-134,2.180618955703295,0.506,0.216,1.4878041164781797e-129,1,REL
2.9101852998963808e-133,2.137633709470017,0.568,0.292,1.2179125480066354e-128,1,YPEL5
2.3049454640194448e-130,2.4948841374115007,0.258,0.057,9.646196766921376e-126,1,SELL
9.071321453729671e-130,2.813482883207425,0.383,0.133,3.7963480283858674e-125,1,CNOT6L
2.907120302487742e-129,2.1392667483916523,0.397,0.134,1.2166298465911202e-124,1,PSMB9
8.312846214244661e-128,3.3359595149781702,0.239,0.053,3.478926140661391e-123,1,APOBEC3G
1.992745294003479e-127,2.9920507345154554,0.301,0.083,8.33963905540456e-123,1,PIK3IP1
6.088504767611462e-125,3.342098655725687,0.2,0.037,2.548039245245397e-120,1,EVI2A
3.054722322176981e-124,3.0316582980138027,0.22,0.045,1.2784012918310665e-119,1,AKNA
3.124396702944502e-123,3.030377379322182,0.247,0.058,1.307560020182274e-118,1,RHOF
1.2694007495895417e-120,3.064461818598413,0.205,0.04,5.312442137032232e-116,1,PBXIP1
1.0294536810351202e-118,2.5381352626982023,0.372,0.132,4.308263655131978e-114,1,CRIP1
5.5967610351711255e-118,3.00297749830009,0.224,0.049,2.342244493219116e-113,1,OXNAD1
7.308278981594552e-116,2.2846978760408407,0.486,0.233,3.05851475379732e-111,1,ARL4C
4.48948615557474e-114,2.3019841720028555,0.33,0.104,1.8788499561080288e-109,1,TGFB1
7.923428452287123e-114,2.8170212770698573,0.208,0.043,3.3159548072821613e-109,1,RASSF5
9.986210622922458e-113,2.1637794922273454,0.41,0.16,4.179229145693049e-108,1,IRF1
4.997900988815008e-112,2.4251691691625745,0.266,0.07,2.0916215638190807e-107,1,HCLS1
1.5098973366015227e-111,2.0681538516369598,0.436,0.182,6.318920353677373e-107,1,CDC42SE2
5.016772024419302e-111,2.3503040983923933,0.513,0.254,2.099519092219478e-106,1,DNAJB1
9.648412551948126e-111,2.603677311699005,0.24,0.058,4.037860652990291e-106,1,TAGAP
2.519039352424444e-109,2.144135223882963,0.371,0.133,1.0542179689896298e-104,1,WIPF1
1.5032571505134693e-107,2.6239526270426428,0.291,0.087,6.291131174898869e-103,1,MBP
3.462734871838034e-104,2.788245547139139,0.204,0.045,1.449154543864217e-99,1,WAS
1.9585651466794018e-103,2.1074145291928894,0.442,0.196,8.196595138853296e-99,1,LITAF
1.293904775564536e-101,2.7380267494418353,0.236,0.061,5.414991485737584e-97,1,BTN3A2
5.546758681638205e-99,2.3597564307464944,0.306,0.101,2.321318508265589e-94,1,VPS37B
4.050022726680027e-98,2.330098905251025,0.485,0.26,1.6949345111155912e-93,1,PPP2R5C
9.582993624207942e-98,2.2263792270778207,0.384,0.158,4.010482831731023e-93,1,LBH
1.0157247626042105e-96,2.2118814174312043,0.233,0.06,4.2508081314986205e-92,1,RIPOR2
1.919501170838221e-96,2.6759707971184334,0.253,0.073,8.033112399957954e-92,1,TNFRSF1B
3.224563368610723e-96,2.2592998106602247,0.278,0.085,1.3494797697635874e-91,1,TNFAIP8
8.145669606514896e-90,3.0204571699721483,0.282,0.097,3.408962730326484e-85,1,BCL11B
1.8782946138147327e-88,2.0807053295353946,0.423,0.202,7.860662958814656e-84,1,RGS10
1.1772378686202776e-87,2.2385271444633412,0.217,0.057,4.926740480175862e-83,1,APBB1IP
1.661796513691353e-87,2.1634809793097327,0.377,0.164,6.954618409798312e-83,1,CIB1
6.014119896522372e-85,2.2021576206929057,0.246,0.073,2.5169091766946124e-80,1,EVI2B
7.21563540431762e-80,2.29971012271741,0.229,0.068,3.019743416706924e-75,1,ARID5A
8.25325549377903e-80,2.5510068974203035,0.268,0.093,3.453987424146524e-75,1,TCF7
5.35808336179226e-75,2.1772739782275017,0.382,0.189,2.2423578869100607e-70,1,ABRACL
1.0593561816007177e-74,2.3495908857313568,0.26,0.092,4.433405619999004e-70,1,SEPTIN1
4.319331749255627e-74,2.4643468290729302,0.203,0.058,1.80764033706348e-69,1,CARD16
1.5558822163559853e-72,2.2632415717981798,0.253,0.088,6.511367075449799e-68,1,FMNL1
2.959039165665264e-68,2.187641909386507,0.478,0.317,1.238357890830913e-63,1,FAM177A1
3.5157934281645913e-63,2.059390411792661,0.381,0.194,1.4713595496868815e-58,1,ID2
4.1430591363448665e-59,2.0205559176474672,0.276,0.116,1.7338702485603268e-54,1,RHOG
3.0004029281353704e-58,2.4087604354310197,0.241,0.094,1.2556686254246526e-53,1,MCUB
6.013183434129053e-58,2.3836095576052396,0.265,0.111,2.5165172671830086e-53,1,RESF1
6.911458128232536e-58,2.217895471449146,0.204,0.069,2.8924452266653164e-53,1,TAP1
6.731098812065983e-54,2.0516199505044876,0.218,0.08,2.816964852849614e-49,1,GLIPR1
3.0108194438666664e-53,2.1811143102043333,0.343,0.186,1.2600279372581998e-48,1,PDCD4
3.5620223780818033e-50,2.0888017017048464,0.205,0.076,1.4907063652272346e-45,1,CSRNP1
1.2795022583537427e-48,2.052218089828818,0.307,0.157,5.354716951210413e-44,1,SMAP2
1.8532297373905e-43,2.1687733108037084,0.221,0.095,7.755766450979243e-39,1,SUN2
4.778300307234674e-41,2.580410245842712,0.213,0.094,1.9997186785777113e-36,1,SC5D
1.555498437271011e-36,2.1461704734713116,0.293,0.168,6.509760959979181e-32,1,TOB1
1.0572738823177232e-29,2.966653654903766,0.2,0.102,4.424691197499672e-25,1,LYAR
7.464715195198267e-29,2.042976610020931,0.227,0.123,3.1239833091904746e-24,1,GABARAPL1
2.916977182040763e-28,2.137222261344328,0.277,0.175,1.2207549506840593e-23,1,CKLF
2.048303143369238e-27,2.1933277525035177,0.25,0.148,8.572148655000261e-23,1,CCNH
4.467745610219582e-25,2.0361610143439535,0.2,0.106,1.869751537876895e-20,1,TSPYL2
1.3162079629777069e-15,2.1801652809730174,0.241,0.175,5.508330325061703e-11,1,CORO1B
0,7.223314068272643,0.291,0.001,0,10,TRIM29
