p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.699916443717912e-172,3.0589354512524434,0.272,0.165,1.548415031695946e-167,0,MYCN
0,3.005824392222898,0.323,0.131,0,0,NEFL
0,2.984403412318795,0.254,0.065,0,0,LY6H
1.154586295601258e-210,2.8854786975797473,0.225,0.114,4.831943647091265e-206,0,NYAP2
0,2.295161218621313,0.268,0.106,0,0,SIX3
1.7699397534466958e-202,2.22594528655117,0.325,0.216,7.407197868174422e-198,0,PFN2
6.987898029006215e-271,2.139268731973419,0.301,0.163,2.924435325139101e-266,0,NEFM
0,7.451614521141496,0.116,0.001,0,1,CD40LG
0,7.238625636412211,0.119,0.001,0,1,LINC02446
0,6.682695570707365,0.704,0.018,0,1,TRAC
0,6.504332895016238,0.3,0.005,0,1,TRAT1
0,6.472171175952887,0.296,0.006,0,1,CD8B
0,6.40644160476089,0.782,0.018,0,1,CD3D
0,6.292078663912242,0.483,0.007,0,1,CD3G
0,6.198004995813785,0.228,0.004,0,1,ICOS
0,6.1115768826066414,0.642,0.014,0,1,CD3E
0,6.047160889856336,0.573,0.014,0,1,CD2
0,6.033559726317336,0.132,0.005,0,1,IFNG
0,5.8823120529157515,0.234,0.006,0,1,CD6
0,5.871446176579619,0.182,0.004,0,1,CD5
0,5.869854813254276,0.111,0.003,0,1,CD28
0,5.830400967451575,0.213,0.005,0,1,GPR171
0,5.735891324595981,0.336,0.013,0,1,CD27
0,5.659893904668977,0.177,0.005,0,1,TRGC2
0,5.645320465564769,0.243,0.009,0,1,GZMK
0,5.602542591857151,0.69,0.03,0,1,TRBC2
0,5.578167113066685,0.144,0.004,0,1,RGL4
0,5.559508207473962,0.52,0.019,0,1,IL7R
0,5.459766091192781,0.225,0.006,0,1,SH2D1A
0,5.456965366382232,0.494,0.017,0,1,LCK
0,5.436216648902235,0.22,0.009,0,1,FLT3LG
0,5.416675773539075,0.167,0.005,0,1,LINC00861
0,5.400429399894557,0.193,0.007,0,1,GZMH
0,5.383714361584977,0.468,0.021,0,1,TRBC1
0,5.376974397692696,0.188,0.006,0,1,ITK
0,5.249959863734372,0.403,0.012,0,1,GZMM
0,5.119645853883855,0.221,0.013,0,1,PCED1B-AS1
0,5.1041902771321315,0.232,0.008,0,1,SIT1
0,5.092310269564355,0.538,0.042,0,1,CCL5
0,5.081787027147625,0.13,0.012,0,1,PRKCQ-AS1
0,5.0701799727696,0.142,0.005,0,1,LINC01871
0,5.016305886790218,0.37,0.016,0,1,GZMA
0,4.957082458209105,0.788,0.054,0,1,IL32
0,4.9059871783893465,0.2,0.007,0,1,TC2N
0,4.849486939787674,0.377,0.021,0,1,ITM2A
0,4.838182401303936,0.163,0.008,0,1,SUSD3
0,4.825260362046121,0.293,0.03,0,1,CD8A
0,4.776995473034798,0.123,0.005,0,1,ZNF831
0,4.773269479660486,0.709,0.068,0,1,LTB
0,4.7657758368422725,0.128,0.009,0,1,BATF
0,4.707425030381919,0.109,0.004,0,1,THEMIS
0,4.679574055256089,0.281,0.016,0,1,GIMAP7
0,4.64689371226627,0.376,0.028,0,1,TUBA4A
0,4.628574132552878,0.175,0.008,0,1,ZAP70
0,4.604874690253997,0.131,0.007,0,1,AQP3
0,4.539767296030938,0.167,0.008,0,1,PYHIN1
0,4.5374324739723875,0.168,0.006,0,1,MAL
0,4.520252326043677,0.117,0.005,0,1,GPR174
0,4.519972785704839,0.279,0.013,0,1,CD96
0,4.507070431408383,0.109,0.006,0,1,LDLRAP1
0,4.505544826871556,0.245,0.015,0,1,LEF1
0,4.499619428181849,0.153,0.008,0,1,AC243960.1
0,4.476651208085952,0.245,0.017,0,1,LAT
0,4.438646804248558,0.495,0.037,0,1,PLAAT4
0,4.414431647792648,0.279,0.017,0,1,CCR7
0,4.379649065678997,0.128,0.008,0,1,TRG-AS1
0,4.374587018714679,0.509,0.034,0,1,ACAP1
0,4.347999750240933,0.136,0.007,0,1,GRAP2
0,4.323175608849647,0.252,0.017,0,1,PTPN22
0,4.318819249309064,0.549,0.042,0,1,CYTIP
0,4.305169127064699,0.746,0.073,0,1,PTPRC
0,4.290691952245414,0.593,0.029,0,1,CD7
0,4.276291082791369,0.313,0.02,0,1,TBC1D10C
0,4.2655276737524686,0.164,0.015,0,1,GIMAP1
0,4.2480791499687784,0.364,0.024,0,1,CST7
0,4.244855670059803,0.21,0.013,0,1,RNF125
0,4.199379882603534,0.278,0.017,0,1,SKAP1
0,4.185722205596814,0.288,0.02,0,1,TRAF3IP3
0,4.1785492181528525,0.312,0.017,0,1,CD247
0,4.167057223688445,0.382,0.029,0,1,IL2RG
0,4.161301925229239,0.175,0.014,0,1,AC114760.2
0,4.14634730436747,0.116,0.007,0,1,C16orf54
0,4.129751654223656,0.153,0.01,0,1,ANXA2R
0,4.104663091713304,0.157,0.018,0,1,AC016831.5
0,4.086170833182341,0.166,0.011,0,1,S1PR4
0,4.0833538078427924,0.299,0.027,0,1,IKZF1
0,4.050399530880037,0.164,0.013,0,1,DENND2D
0,4.030114357865159,0.145,0.008,0,1,P2RY10
0,4.025861650038572,0.509,0.036,0,1,RHOH
0,4.023483721089475,0.307,0.026,0,1,RUNX3
0,4.0201150264878605,0.122,0.008,0,1,ITGB7
0,4.016435107522019,0.205,0.014,0,1,TENT5C
0,4.01597778245713,0.137,0.01,0,1,RASAL3
0,4.013337349231679,0.517,0.047,0,1,RAC2
0,3.9817056286347885,0.173,0.011,0,1,SAMD3
0,3.972268947398048,0.31,0.034,0,1,PTGER4
0,3.9673940908661396,0.886,0.093,0,1,CD52
0,3.9660975162848615,0.314,0.028,0,1,BIN2
0,3.961345825820155,0.45,0.048,0,1,CLEC2D
0,3.9460095816847667,0.137,0.011,0,1,PSTPIP1
0,3.9421333657877637,0.434,0.049,0,1,RGCC
0,3.9401746671429607,0.135,0.015,0,1,CRYBG1
0,3.9061740624013637,0.666,0.066,0,1,HCST
0,3.898981037320878,0.368,0.033,0,1,ICAM3
0,3.8906048108578855,0.112,0.011,0,1,GIMAP2
0,3.880339021433754,0.222,0.024,0,1,EVI2A
0,3.868655826116436,0.297,0.029,0,1,KLRB1
0,3.8654681566974767,0.505,0.068,0,1,ANXA1
0,3.8646442316774787,0.54,0.055,0,1,FYB1
0,3.8619966551073306,0.142,0.011,0,1,IKZF3
0,3.856885077136543,0.366,0.032,0,1,ETS1
0,3.841300716095674,0.218,0.021,0,1,STAT4
0,3.8228055622218973,0.118,0.013,0,1,ARHGAP45
