T.cells	NK.cells	B.cells	Plasma.cells	Myeloid.cells	Endothelial.cells	Fibroblasts	Schwann.Cell.Precursors	Cluster.1	Cluster.13	Cluster.14	Cluster.15	Cluster.16	Cluster.17	Cluster.18	Cluster.2	Cluster.21	Cluster.3	Cluster.4	Cluster.6	Cluster.8	Cluster.9
SJBALL031914_D1	0.0304193577620402	2.79681017955539e-08	0.457761712588667	1.91417263404642e-06	0.0038563762057968	0.167653154451281	-3.07179493978505e-21	0.0110892054127399	-2.34769750593553e-17	8.05689133577335e-05	0.000156102064975192	-3.55132172452311e-18	0.317682024786555	0.000144024818982423	0.00057972943789139	-4.81650563508192e-18	0.0105758014169769	4.96183719223168e-18	9.1694082543652e-18	2.9100496193576e-17	4.17530804498317e-18	6.92073579655726e-19
SJBALL031914_D2	0.00255115003378127	1.20968300383061e-20	2.31186017956258e-20	-9.26224291275701e-20	0.000527149072332564	0.0368462163798485	0.00262903103770912	0.0153347238964498	8.11130307198347e-19	0.112782030638623	0.000639127634515815	1.24548022883138e-19	0.212097929836562	0.204971292519351	0.303864678668586	2.28885113259939e-18	0.0201962534944982	0.087560416787742	-8.05683147694555e-20	3.41430320116644e-18	-1.50597062288669e-18	-1.97502299531711e-18
SJBALL031914_D3	9.88210882080986e-20	6.16286494979501e-20	1.25866570251362e-19	-8.26036703020355e-20	9.35358915144752e-21	0.0369727734616824	0.0520758119630492	0.0427305022962204	-1.16005080229124e-18	0.083886531410554	0.000816800836082933	7.35373924206464e-05	0.227211102181399	0.136173272633199	0.327403507781953	0.0237189375950478	0.00011166015367758	0.0688255622947143	1.81113164548701e-18	2.74512391920735e-18	-2.09460394903009e-18	-8.05192245792289e-19
SJNBL030002_D1	-3.107885754382e-19	-1.72977959553985e-20	-2.11736809743066e-20	2.4638456245626e-20	5.22652687081033e-06	0.101839477552364	0.298363483950538	0.117146443742835	-5.81325966826763e-18	0.0033552730449109	0.000511271979758004	3.34062777157136e-06	0.115716444554223	0.0496953214391192	0.296258740611658	-1.44417551484227e-18	0.0171049759699514	3.61153358705272e-19	7.04251644862704e-19	2.66074454543537e-18	-6.64216222291705e-19	2.79974387637012e-19
SJNBL030003_D1	0.00185055579179644	3.97655047782512e-20	1.04720058139258e-05	-2.02248174482232e-20	0.0139436762821969	0.0539176204701008	0.0792981160762238	0.0584050088598302	8.49801847517818e-20	0.0871630222031909	0.000481530028576144	0.124545674307472	0.0444302859950643	0.14346040348491	0.351210102623736	1.68905793357295e-19	4.16638922618664e-05	0.0412418679788262	-1.77871331332852e-17	-3.95928625701392e-19	2.07441214988179e-18	-9.95428254989751e-20
SJNBL030014_D1	1.9027764319121e-19	-2.93315138168974e-20	9.78513265042787e-20	-1.53779591908276e-20	0.0115586842121577	0.0659653196879227	0.0777953555282726	0.0491870532954781	-3.5375033730651e-18	0.10203761915685	0.000683643094272568	0.000148434075140907	0.0484313886850846	0.183041212984386	0.386130996425728	5.51518726632583e-19	0.000217478393261676	0.0739735172594056	4.05122319952442e-18	-3.76641373258379e-19	-2.32804627361083e-18	0.000829297202039363
SJNBL030096_D1	3.188932719097e-05	9.26948359486305e-21	0.000131456189817384	0.00246447389924757	0.0100156632458693	0.067625348894679	0.0596080168915988	0.038335576694542	-9.36722677284777e-20	0.0407306244362579	0.000889420251746684	0.0249450005965508	0.180534213530307	0.0954766447248438	0.337899326809125	-1.74908481187287e-19	0.000235926508743264	-9.40575708599825e-19	0.000759121341681056	-4.20708044668941e-18	-2.37092518275271e-19	0.1403172966578
SJNBL030107_D1	2.03460804711989e-19	1.56279202696624e-19	2.05736483553285e-19	3.34538231190176e-20	7.1559423017314e-21	0.0556851766220583	0.0257790207188067	0.0216034468787537	9.830214228226e-18	0.111564403744489	0.0535273577602949	1.64533536984996e-18	0.366108675134091	0.081005633776274	0.171259912335915	1.25819784481221e-19	0.0211343348204818	2.82630598878776e-19	0.0881640838227596	-4.9340241393047e-18	-8.73169635712662e-20	0.0041679543860751
SJNBL030147_D1	0.0311728645363945	-9.0201652134032e-20	0.019565689183769	0.00109250785446812	0.0263517299576874	0.0592066899144577	0.0780198780680634	0.0883487879315747	-1.33286835963054e-18	0.0717528586285265	0.000928891344447717	-2.10915717747665e-19	0.220036300525065	0.112651295890499	0.231012860353911	4.66747144911826e-18	0.000304750968860991	0.0595548948422752	-8.80088841928688e-19	1.3570563835451e-19	-2.63587051693744e-18	3.561403297394e-19
SJNBL030152_D1	1.37483717808479e-19	3.18328590726113e-21	-5.18039991681833e-22	4.06273702671373e-20	0.000370134627363137	0.062678983832706	0.0414602908869717	0.0487855782911965	6.22173896843762e-22	0.198770061837118	0.000294002458675787	0.0205700395188971	0.0765522264106289	0.130800275280532	0.40204611278433	0.00480619475256546	0.0127985974064558	6.75019125595786e-05	-6.69911339182705e-18	-4.37548180604275e-19	1.50037950772194e-19	-3.98328325941617e-20
SJNBL030158_D1	1.29163094020522e-19	-5.79799758978425e-20	-2.69382933639861e-20	7.33771861475436e-20	-4.21819746613886e-19	0.0260025922992304	5.78693245460411e-19	0.0228716389388261	3.54076907564678e-18	0.0997784153028525	0.000497503842793682	0.0203278532642916	0.106908627283166	0.101474969798292	0.418334153009657	8.98674249895432e-18	0.140003425270042	0.0638008209908472	2.02101296906864e-19	3.86198559111491e-18	6.18264221189929e-18	-4.04435822544496e-19
SJNBL030177_D1	-7.12521454973382e-20	-1.07203780208798e-19	7.86268535172261e-21	-1.72005054369995e-20	2.19018877838412e-19	0.0413797415028157	0.0387301826221544	0.0437765982154668	-2.80739363529171e-18	0.00207559209944038	0.142508519296827	-1.3236945896835e-18	0.254897417678029	0.074889409856907	0.225614584078104	2.68365444366884e-18	0.157999878291207	-4.54859192902633e-19	0.00916147311730274	2.25834073546825e-18	-4.10162396770506e-18	0.00896660324174621
SJNBL030203_D1	7.0563501824843e-19	2.63662883006302e-19	1.93622775873387e-07	1.64231756586081e-20	0.00587114201474209	0.132693328329664	0.298059323654839	0.156077532687522	-2.55223410224641e-18	0.00544568619004888	0.00132156148240745	-1.57699227489329e-21	0.213773263991964	-3.62623476491737e-19	0.186567736873337	6.01284710274037e-19	0.000190231152699447	-5.62863120477148e-18	-2.45052045353323e-18	-3.62292729134189e-18	8.46233386642424e-19	1.14140863829751e-19
SJNBL030224_D1	-2.92146836717823e-19	-1.89729224095935e-19	1.83386276503087e-19	4.23072749530869e-20	0.00527668618569116	0.0651178799102857	0.0235453332404932	0.0291327748311897	-4.85550167071854e-19	0.135721943547949	0.000737568127102319	2.49758383316929e-18	0.23117064030998	0.134508001355122	0.351290206021084	-8.37584254965192e-20	0.0231955975605678	0.000303368910535683	-6.69009786770283e-18	1.78549811349462e-18	-3.90666264310302e-18	9.91414039460254e-19
SJNBL030259_D1	0.0145263706428915	4.0578355183995e-21	0.00865338033002501	9.99556970080275e-21	0.00964915694359186	0.0549693451483362	0.0543418211836256	0.0445493109697867	-6.83809722503145e-18	0.114120594927134	0.000615284527491764	7.72424196276826e-05	0.0797829757123581	0.105403129426896	0.415363368322496	-6.50007989188214e-19	0.0241613876596362	0.0737866317861032	-3.40732239763613e-18	7.9173908437343e-18	-8.40672813302161e-18	-6.06361847792226e-20
SJNBL030307_D1	0.00108192309096555	1.07413499392493e-21	0.0019393087822327	2.66754765273232e-20	1.00185673459989e-20	0.0527921400881463	0.0196516816496153	0.0118393033205323	1.50073447518029e-17	0.141216530281884	0.000595585634906051	0.0753216321782726	0.174821807752056	0.0966589731669851	0.394497398809135	-6.90617956104587e-18	0.000221701604867916	0.0293620136404007	-4.84635557830124e-18	-5.79364470701733e-18	1.408903937682e-18	2.50056817986803e-20
SJNBL030309_D1	-5.55964156337975e-19	1.16014259632426e-19	-3.70227859360694e-20	6.96979405232152e-21	1.97103504971372e-05	0.0526225654212591	0.0137158050821672	0.0375095140812377	3.06663929913072e-19	0.0808231137622907	0.000864917289119799	0.123924275835796	0.173308111451815	0.144331572245172	0.362275200784786	-1.89712628186527e-18	0.000260999598505707	0.0103442140973531	5.77213905609297e-19	3.30382583454564e-18	-1.52043388700242e-18	-3.42970361832085e-19
SJNBL030339_D1	2.66935543505977e-19	6.73665139634215e-20	1.05804662212703e-20	2.35666352182941e-20	0.00676853392894071	0.115845245729902	0.0338146418446522	0.0180025338036126	-1.64664493086518e-18	0.0709444088006563	0.000506777814802124	0.105551678866106	0.22604651147858	0.0304217819238682	0.275750025838613	0.116258415530437	8.94444398290507e-05	2.12152491677492e-18	3.20173440901089e-18	-1.70368733803398e-19	-4.44868751746928e-18	-3.37583686751234e-19
SJNBL030342_D1	0.00616589616963943	-1.05425757697573e-19	0.00606898721871748	-4.08637435647539e-21	0.0472195572886951	0.122718772340882	0.0726041863721695	0.548591716879182	5.55257812423598e-18	0.00640696993763784	0.000839575613535063	-3.84315825650236e-19	0.106983051948745	0.017428710835755	0.0648124585964732	3.23300928846674e-18	0.000160116798568061	7.04882423215435e-19	-8.84505835814922e-19	-6.71366776746244e-18	9.34561558894699e-19	4.35595892914212e-19
SJNBL030513_D2	6.89329321343951e-19	0.000115593012366835	8.30265344304848e-20	-7.09408836331729e-22	0.0062943895400507	0.128597121165923	0.120384637236972	0.144757385289209	4.19536972435415e-18	0.0523369206965645	0.00113485028230637	0.0120215243207205	0.206475606963109	0.0553307757023093	0.271974340170658	0.00046215409591129	0.000114701523899084	6.62665933357945e-18	-9.62966705368203e-19	7.32756124746523e-18	1.36106820580718e-18	-3.72729663733836e-19
SJNBL030555_D1	1.41041843848073e-19	-9.79284592006186e-20	0.00269307068498001	9.15503904446296e-21	2.85638232864264e-19	0.109715365447424	0.0586369040565683	0.0389777097018818	-5.66628617512105e-18	0.0509310223975403	0.000878980406843088	6.41021755361317e-05	0.259979769083788	0.085794138474018	0.30164294349044	1.20486400401773e-18	0.0902966156710647	0.000389378409915265	2.23705341663656e-19	6.39565140400149e-18	1.68851750808461e-18	-3.72542829424563e-19
SJNBL030641_D1	0.000136633934001396	-6.91233296726511e-20	0.010188432897899	0.00436455649914544	0.00885351799354395	0.0895663962849887	0.107549893313363	0.052425402364168	-1.20088318166521e-17	0.0674041690829226	0.000711702759118893	0.000168053372383283	0.234821033396008	0.181953255081247	0.224923606197213	1.08750821898331e-18	0.0164742742784685	0.000459072545529812	2.71358042789638e-19	1.09368231211231e-18	2.2938859437187e-18	-6.77888385397616e-19
SJNBL030721_D1	0.10680100688033	0.0171757493333472	0.145808965113267	0.0124687544070876	0.0623812318797001	0.114909252424294	-8.1591803296733e-20	0.0417467026898346	-2.38109630567053e-18	0.0057788999089994	0.00107852409605803	-1.24700826509407e-18	0.397466382891026	0.000923119628675902	0.0660103481349129	-5.33763418758879e-19	0.0274510626124681	2.36195398495166e-18	7.1558727870323e-19	7.78245181490415e-18	-1.97722970011189e-19	-2.23305106146995e-18
SJNBL030749_D1	0.00732869751656842	-1.90502397223511e-19	0.00506381346741532	2.11429097622152e-21	0.0147425244786098	0.130927673332338	0.132427727431002	0.432218190287972	-1.4426851679122e-17	0.00210443355717434	0.0013905106839992	-1.9583513900156e-18	0.193838049823281	3.85588627282853e-19	0.079917529238472	2.32052321633976e-18	4.08501831678739e-05	-2.15226409152297e-18	-1.29971020334533e-17	2.70871700021102e-18	-1.60955368788148e-18	-1.33780735317587e-19
SJNBL030749_D2	7.37468020587505e-19	-2.71969827961018e-19	0.00187450642649211	0	1.89949780571166e-20	0.0437303068244093	-3.87921621376972e-20	0.0111572641693404	-4.62271710551211e-18	0.0649885566874656	0.00154095304227563	0.00109217085986997	0.463597135955209	0.143255426981736	0.230847847214517	1.81401374180428e-19	0.0379158318386853	3.94749008282769e-19	7.19416129813501e-18	9.21066816323802e-18	2.54086671973031e-18	-1.43065285160283e-18
SJNBL030758_D1	7.92174185161459e-19	-7.75944197852039e-20	2.14854650865003e-05	2.31022987320533e-20	0.0226952188304753	0.0630837442366877	0.0880002225820735	0.185141656953907	-5.58439679920526e-20	0.0419732523012896	0.00135031217461679	0.00099072090201049	0.158139205146507	0.0701169024533899	0.298591611126036	0.0694393509514694	0.000456316876451221	-1.81327614593469e-18	-6.75080536872678e-19	-1.36097862859797e-18	-1.04634578028516e-18	-5.62320091610949e-19
SJNBL030793_D1	2.09713452786642e-19	-1.84306384086623e-20	1.82427274867494e-19	0	-1.12181368282463e-19	0.0704088374090799	0.0104946327982715	0.0452181621633161	-1.44844073483639e-18	0.156779671031923	0.000781620898670207	0.0145250831359081	0.228973444477483	0.086658300571707	0.376587148570973	7.74758492336808e-05	0.000153984801597213	0.0093416382918372	2.34411863175804e-18	3.41545216512649e-18	-1.28979709359055e-18	4.40051045582979e-19
SJNBL030793_D2	0.000949364071846355	0.000488928562883106	-1.99645488205637e-20	-6.01785839682806e-21	0.00350045632711068	0.0839065295739398	0.124818084456122	0.0829051196107474	-4.5739730817188e-18	0.068563834671087	0.000598484343731014	0.00519552941540915	0.197193117217285	0.063361284049578	0.363146072385042	0.00527477857257051	9.84167426480925e-05	3.79646477045167e-18	-4.97160317630859e-19	-5.11651420041658e-19	-2.98402585565416e-18	3.39525407449402e-19
SJNBL030810_D1	0.0344910121254618	4.06211562735556e-20	0.0118085936470456	-4.52526352094775e-20	0.0028867152236389	0.0228249150572186	-1.80521701583813e-19	0.0113563215803437	-4.59700695287307e-18	0.112534740005446	0.000954898152193548	7.33850685727127e-19	0.25243726905209	0.22571899606907	0.275724264788502	-7.40430311462481e-18	0.0217905124732932	0.0274717618256961	6.17500858232443e-18	1.02486932640947e-17	4.69155104553633e-18	1.00238607560971e-18
SJNBL030810_D2	2.11084555218227e-19	-2.43502362738223e-20	-4.55965493982739e-20	-8.16696478032487e-21	0.00525782339019676	0.0752307981350148	0.126165624247965	0.204787460003288	-6.33805475265996e-18	0.0706907541069457	0.000998242823247525	0.000418124037415124	0.200260383373587	0.101874978681637	0.211461001924529	-1.13187047881193e-18	0.000151961053680967	0.00270284822249383	-3.79184858813665e-18	-2.11543759811226e-18	-3.91682970712107e-18	1.36153498241532e-18
SJNBL030820_D1	-1.68997241281076e-19	-9.36364279552224e-20	1.50049704102387e-19	-4.6453984398658e-20	5.04138273382097e-20	0.10060546120885	0.112480211174699	0.0637139225489176	3.30395664643219e-18	0.0660905354092439	0.0445549861064605	-1.9402192091281e-18	0.381862440723558	0.0339783462714098	0.150256101349875	-1.57315577691485e-18	0.0464579952069861	-2.03552478366658e-21	9.07905716222527e-20	-9.25937479631842e-19	-1.0602728626983e-20	1.23549377977074e-20
SJNBL030842_D1	1.46948737484596e-19	-1.13202098065701e-19	0.00106817482602434	-2.37297033223384e-21	0.00245865211978439	0.163902076787715	0.646988497215763	0.131948727114056	4.55580111260976e-18	0.000527447501040753	0.000287640011184752	-3.66966056533515e-18	0.0521108630524765	8.63749429573805e-19	0.000579070460885925	-1.75544005027397e-18	0.000128850911069051	4.07755722501529e-18	7.19539968996525e-18	1.27275778801268e-18	-5.11151310648651e-19	-2.80341688191666e-19
SJNBL030875_D1	0.002158682669191	1.29560029689589e-19	-1.26086098108982e-19	-9.50688223697993e-21	0.0100258635215701	0.0752999143865125	0.0969523659753586	0.249126917417873	-4.33233606466735e-18	0.0577165869546084	0.0013491720378644	0.0310114194313747	0.152487354200073	0.0683507016954379	0.255521021710136	-2.31267641743005e-18	3.73884724853015e-18	1.46091285359903e-18	3.21943771274342e-18	-2.0693499065106e-19	5.18388966608268e-20	-2.0174518598577e-19
SJNBL030882_D1	-3.20475797852921e-20	-2.46324827125706e-20	1.91050873189342e-20	3.01619887619835e-21	0.00198599028365507	0.0500389341286814	0.0508757260014957	0.0414100449993185	-2.67630129503289e-18	0.161511620156401	0.000596481138037672	2.4394768044629e-05	0.117531383505295	0.138283197335585	0.397121752656789	-2.77899291755305e-18	0.000163861266322678	0.0404566137603744	1.03054385008106e-18	-3.43368248935898e-18	-2.22171252668674e-18	-5.38116210539618e-19
SJNBL030917_D1	0.00187997828479818	0.00202487843715336	0.00495391786192332	8.10711614465981e-21	0.0172849070009135	0.162841138399657	0.277946063084522	0.0719213864078946	-1.83697238626103e-18	0.0324521413393661	0.00122816618493963	0.000193279851343732	0.167876035088723	0.0435844367636712	0.215686280157747	-2.30931563105236e-18	0.000127391137347486	2.95225726426482e-19	1.37936003281157e-20	2.83461766563381e-18	4.93216834587956e-19	2.21215990563481e-18
SJNBL030925_D1	0.0088865846725099	0.000504321379918624	0.00590295561458034	2.02108059451101e-21	0.0275891618968272	0.163204948053526	0.302922120161748	0.288198283810342	-1.72560277262938e-18	0.0010422546502563	0.00105991270029341	1.0022433483188e-05	0.101958396345591	0.000237132054118639	0.0982305298343734	-2.16179092431347e-18	0.000253376392430998	2.10615738963064e-18	1.68752259307206e-18	8.28000749553334e-19	-3.00866440789882e-18	-4.54370784391293e-19
SJNBL030955_D1	0.00662690044944341	7.131002857779e-05	-9.77657913830764e-20	-2.74350000806321e-20	0.039778744339014	0.0773626984835427	0.158521352487219	0.0602083506676739	-2.45910152140488e-18	0.102039606433655	0.00143347511004794	0.000159665393486478	0.215310638853114	0.0449319490103679	0.293499648229667	-1.35804824875347e-18	5.56605141902729e-05	-3.87800719939728e-18	1.04003403890044e-18	3.99076464917451e-21	-2.16389799210292e-18	-1.24997933180151e-18
SJNBL031053_D1	3.98638848727017e-05	-7.80037610551858e-21	6.56351712883209e-20	2.25105096732949e-20	0.00170921372177353	0.0245015242220829	0.00224900864001251	0.0285304938955839	-5.9410787791417e-18	0.191942166449496	0.000526105785203209	0.00490471045058084	0.162267728934905	0.171996165102483	0.323569654976871	2.15636855270113e-19	0.000142303955045097	0.0876210599810905	4.32369223423602e-18	5.8921178692118e-18	8.17588010147463e-18	-8.14176440086011e-19
SJNBL031070_D1	4.65940283698029e-05	0.00024588565409077	7.5451708925298e-20	2.26056570688872e-21	0.0101517443370576	0.131870699329968	0.119471325188253	0.0778435340990342	-1.74390417945595e-18	0.0818388146134048	0.000559970078642107	0.000839763048231079	0.0779936476651154	0.0487379683466097	0.427800647273039	0.0223271523738695	0.000272253964314271	4.35352310358775e-18	1.48473178898529e-18	7.10418908778126e-18	-6.76265694360145e-19	-1.50754031725149e-19
SJNBL031145_D1	0.000443283048948655	5.79235030558221e-20	-4.76103310846979e-20	6.09865245136368e-05	0.00864865382032826	0.112762664708481	0.207236413333693	0.0196868183641901	-1.70673538202621e-18	0.0798828270242399	0.000661792176443635	0.00022866665335954	0.196621605065293	0.0807795025188164	0.262531660929318	0.000473125034308311	0.000112944029212981	0.0298690567688532	-1.73771202942395e-18	5.59256579433136e-19	3.5216131550547e-18	-7.79107370469332e-19
SJNBL031228_D1	0.0042778247994236	-1.1871712933999e-20	0.00109546425491453	-4.40565527781086e-22	0.0187313375231356	0.115193714873492	0.0860108135451927	0.328980248195222	6.60492105608746e-18	0.070176569289017	0.00160481475540331	0.000545520135618404	0.227786660909309	0.0217609267647774	0.123574230520853	7.35873168151336e-18	0.000261874433641235	-9.32897775666671e-18	2.62681445403199e-19	8.46778639553162e-19	-1.64598421268226e-18	8.53175664795043e-19
SJNBL031239_D1	7.93587858939769e-19	-5.16717015913155e-20	4.30696881755021e-19	-3.0643013052204e-20	5.65824613169338e-19	0.0695633710531288	0.0103224757437134	0.0407714599891237	1.97300461314152e-17	0.0989547695284386	0.0795437924086286	4.24595401586755e-19	0.343819895803215	0.172840646991825	0.0951444236190267	-1.62846738626227e-17	0.0492273168125057	3.55994652525076e-18	0.0271922097101319	5.32718550950681e-18	2.93803451944064e-18	0.012619638340262
SJNBL031246_D1	0.00200153753892954	-1.17098246307706e-20	0.00792917646429783	0.00049949347392881	0.0174746474935745	0.110633070515006	0.097952394363911	0.144013624465849	1.30016303398895e-17	0.0564879862753273	0.00155306736426848	1.87121197089913e-18	0.282222420064615	0.0611191582758287	0.211589010404155	1.96736480893634e-18	0.00628316672084078	0.000241246579467779	3.32346699700839e-18	1.33541833601679e-18	2.3790642679196e-18	-2.47870812305214e-19
SJNBL031261_D1	4.84473881365827e-19	-8.042485681561e-20	1.19429261686168e-19	-6.80903113747574e-23	0.0019630992842332	0.0651698717100798	0.133508375903789	0.113765241305701	-3.84280211044548e-18	0.0864887814852852	0.000871942187811201	0.000688719087624363	0.147046425546082	0.112936661938579	0.33104434931313	0.00636786921440958	0.00014866302327583	1.41132250120479e-18	7.9430376667736e-19	-3.71596722714065e-18	2.0710888510613e-18	-4.6962193784228e-19
SJNBL031277_D1	9.5051802986595e-19	-1.2954802499363e-19	1.66804342118215e-19	1.99206991692592e-22	1.02160259084812e-19	0.0479543678238718	0.000938198441188231	0.0173098642348369	2.10445987794415e-17	0.197594905344064	0.00068360263833273	0.0847142744341215	0.181765807245421	0.136096710112458	0.326672692297014	4.01144006618743e-18	0.00626957742869202	-6.29132772538022e-18	6.6539896183687e-18	-1.66251188788879e-18	-8.26380745683954e-18	1.40001910066857e-19
SJNBL031338_D1	4.58174676772583e-19	7.66126637001339e-20	7.52696927288297e-20	2.10901398545406e-20	1.43089887105259e-19	0.0191648227740919	0.00674962194538169	0.0572241075616879	-3.41035312977607e-18	0.120580147347792	0.000616601444923958	0.000166195450193501	0.146795965868006	0.148337414935976	0.449193589339563	-6.49239832936723e-19	0.0347373270304309	0.0164342063019546	3.89768020185838e-18	-2.33684931197719e-18	1.07398505402902e-18	-4.88740508098193e-19
SJNBL031497_D1	7.90553735730926e-19	4.05971406770602e-20	1.14264474656584e-19	1.05130508185985e-21	0.00406475335298902	0.0791832977105847	0.129138459656079	0.217685778956503	-1.1208660014665e-18	0.0677874653613356	0.00102216151380868	0.000841976635849111	0.149620831174859	0.0826438405306553	0.267832658042419	6.93943206351684e-05	0.000109382744282187	-3.86304631035234e-18	-1.80215125074968e-19	3.54308021560259e-18	-1.25327818282111e-17	3.51515800126289e-19
SJNBL031585_D1	0.0237477639691391	3.57825967792197e-06	0.00562184298930383	4.91225001449097e-21	0.00715017184738488	0.121354418927305	0.0254798865208737	0.0548075666307644	-2.04921005836667e-18	0.0782624130672116	0.000718296089331678	0.000820273342043061	0.271520586940097	0.0714827866369013	0.306903505315254	5.8160908495247e-19	1.33619810779576e-06	0.032125573266605	6.07110422821884e-19	2.03201924772344e-18	2.76050088090952e-18	-2.00998959462895e-19
